󠀁 Language Tag
󠀠 Tag Space
󠀡 Tag Exclamation Mark
󠀢 Tag Quotation Mark
󠀣 Tag Number Sign
󠀤 Tag Dollar Sign
󠀥 Tag Percent Sign
󠀦 Tag Ampersand
󠀧 Tag Apostrophe
󠀨 Tag Left Parenthesis
󠀩 Tag Right Parenthesis
󠀪 Tag Asterisk
󠀫 Tag Plus Sign
󠀬 Tag Comma
󠀭 Tag Hyphen-Minus
󠀮 Tag Full Stop
󠀯 Tag Solidus
󠀰 Tag Digit Zero
󠀱 Tag Digit One
󠀲 Tag Digit Two
󠀳 Tag Digit Three
󠀴 Tag Digit Four
󠀵 Tag Digit Five
󠀶 Tag Digit Six
󠀷 Tag Digit Seven
󠀸 Tag Digit Eight
󠀹 Tag Digit Nine
󠀺 Tag Colon
󠀻 Tag Semicolon
󠀼 Tag Less-Than Sign
󠀽 Tag Equals Sign
󠀾 Tag Greater-Than Sign
󠀿 Tag Question Mark
󠁀 Tag Commercial At
󠁁 Tag Latin Capital Letter A
󠁂 Tag Latin Capital Letter B
󠁃 Tag Latin Capital Letter C
󠁄 Tag Latin Capital Letter D
󠁅 Tag Latin Capital Letter E
󠁆 Tag Latin Capital Letter F
󠁇 Tag Latin Capital Letter G
󠁈 Tag Latin Capital Letter H
󠁉 Tag Latin Capital Letter I
󠁊 Tag Latin Capital Letter J
󠁋 Tag Latin Capital Letter K
󠁌 Tag Latin Capital Letter L
󠁍 Tag Latin Capital Letter M
󠁎 Tag Latin Capital Letter N
󠁏 Tag Latin Capital Letter O
󠁐 Tag Latin Capital Letter P
󠁑 Tag Latin Capital Letter Q
󠁒 Tag Latin Capital Letter R
󠁓 Tag Latin Capital Letter S
󠁔 Tag Latin Capital Letter T
󠁕 Tag Latin Capital Letter U
󠁖 Tag Latin Capital Letter V
󠁗 Tag Latin Capital Letter W
󠁘 Tag Latin Capital Letter X
󠁙 Tag Latin Capital Letter Y
󠁚 Tag Latin Capital Letter Z
󠁛 Tag Left Square Bracket
󠁜 Tag Reverse Solidus
󠁝 Tag Right Square Bracket
󠁞 Tag Circumflex Accent
󠁟 Tag Low Line
󠁠 Tag Grave Accent
󠁡 Tag Latin Small Letter A
󠁢 Tag Latin Small Letter B
󠁣 Tag Latin Small Letter C
󠁤 Tag Latin Small Letter D
󠁥 Tag Latin Small Letter E
󠁦 Tag Latin Small Letter F
󠁧 Tag Latin Small Letter G
󠁨 Tag Latin Small Letter H
󠁩 Tag Latin Small Letter I
󠁪 Tag Latin Small Letter J
󠁫 Tag Latin Small Letter K
󠁬 Tag Latin Small Letter L
󠁭 Tag Latin Small Letter M
󠁮 Tag Latin Small Letter N
󠁯 Tag Latin Small Letter O
󠁰 Tag Latin Small Letter P
󠁱 Tag Latin Small Letter Q
󠁲 Tag Latin Small Letter R
󠁳 Tag Latin Small Letter S
󠁴 Tag Latin Small Letter T
󠁵 Tag Latin Small Letter U
󠁶 Tag Latin Small Letter V
󠁷 Tag Latin Small Letter W
󠁸 Tag Latin Small Letter X
󠁹 Tag Latin Small Letter Y
󠁺 Tag Latin Small Letter Z
󠁻 Tag Left Curly Bracket
󠁼 Tag Vertical Line
󠁽 Tag Right Curly Bracket
󠁾 Tag Tilde
󠁿 Cancel Tag
