ꪜ Tai Viet Letter Low Po
꫞ Tai Viet Symbol Ho Hoi
ꪇ Tai Viet Letter High Go
ꪱ Tai Viet Vowel Aa
ꪝ Tai Viet Letter High Po
꫟ Tai Viet Symbol Koi Koi
ꪈ Tai Viet Letter Low Ngo
ꪲ Tai Viet Vowel I
ꪞ Tai Viet Letter Low Pho
ꪉ Tai Viet Letter High Ngo
ꪳ Tai Viet Vowel Ue
ꫝ Tai Viet Symbol Sam
ꪟ Tai Viet Letter High Pho
ꪊ Tai Viet Letter Low Co
ꪴ Tai Viet Vowel U
ꪠ Tai Viet Letter Low Fo
ꪋ Tai Viet Letter High Co
ꪵ Tai Viet Vowel E
ꪡ Tai Viet Letter High Fo
ꪌ Tai Viet Letter Low Cho
ꪶ Tai Viet Vowel O
ꪢ Tai Viet Letter Low Mo
ꪍ Tai Viet Letter High Cho
ꪷ Tai Viet Mai Khit
ꪣ Tai Viet Letter High Mo
ꪎ Tai Viet Letter Low So
ꪸ Tai Viet Vowel Ia
ꪤ Tai Viet Letter Low Yo
ꪏ Tai Viet Letter High So
ꪹ Tai Viet Vowel Uea
ꪥ Tai Viet Letter High Yo
ꪐ Tai Viet Letter Low Nyo
ꪺ Tai Viet Vowel Ua
ꪦ Tai Viet Letter Low Ro
ꪑ Tai Viet Letter High Nyo
ꪻ Tai Viet Vowel Aue
ꪧ Tai Viet Letter High Ro
ꪒ Tai Viet Letter Low Do
ꪼ Tai Viet Vowel Ay
ꪨ Tai Viet Letter Low Lo
ꪓ Tai Viet Letter High Do
ꪽ Tai Viet Vowel An
ꪩ Tai Viet Letter High Lo
ꪔ Tai Viet Letter Low To
ꪾ Tai Viet Vowel Am
ꪀ Tai Viet Letter Low Ko
ꪪ Tai Viet Letter Low Vo
ꪕ Tai Viet Letter High To
꪿ Tai Viet Tone Mai Ek
ꪁ Tai Viet Letter High Ko
ꪫ Tai Viet Letter High Vo
ꪖ Tai Viet Letter Low Tho
ꫀ Tai Viet Tone Mai Nueng
ꪂ Tai Viet Letter Low Kho
ꪬ Tai Viet Letter Low Ho
ꪗ Tai Viet Letter High Tho
꫁ Tai Viet Tone Mai Tho
ꪃ Tai Viet Letter High Kho
ꪭ Tai Viet Letter High Ho
ꪘ Tai Viet Letter Low No
ꫂ Tai Viet Tone Mai Song
ꪄ Tai Viet Letter Low Khho
ꪮ Tai Viet Letter Low O
ꪙ Tai Viet Letter High No
ꫛ Tai Viet Symbol Kon
ꪰ Tai Viet Mai Kang
ꪅ Tai Viet Letter High Khho
ꪯ Tai Viet Letter High O
ꪚ Tai Viet Letter Low Bo
ꫜ Tai Viet Symbol Nueng
ꪆ Tai Viet Letter Low Go
ꪛ Tai Viet Letter High Bo
