𑚁 Takri Letter Aa
𑚫 Takri Sign Anusvara
𑚖 Takri Letter Dda
𑛇 Takri Digit Seven
𑚂 Takri Letter I
𑚬 Takri Sign Visarga
𑚗 Takri Letter Ddha
𑛈 Takri Digit Eight
𑚃 Takri Letter Ii
𑚭 Takri Vowel Sign Aa
𑚘 Takri Letter Nna
𑛉 Takri Digit Nine
𑚄 Takri Letter U
𑚮 Takri Vowel Sign I
𑚙 Takri Letter Ta
𑚅 Takri Letter Uu
𑚯 Takri Vowel Sign Ii
𑚚 Takri Letter Tha
𑚆 Takri Letter E
𑚰 Takri Vowel Sign U
𑚛 Takri Letter Da
𑚇 Takri Letter Ai
𑚱 Takri Vowel Sign Uu
𑚜 Takri Letter Dha
𑚈 Takri Letter O
𑚲 Takri Vowel Sign E
𑚝 Takri Letter Na
𑚉 Takri Letter Au
𑚳 Takri Vowel Sign Ai
𑚞 Takri Letter Pa
𑚊 Takri Letter Ka
𑚴 Takri Vowel Sign O
𑚟 Takri Letter Pha
𑚋 Takri Letter Kha
𑚵 Takri Vowel Sign Au
𑚠 Takri Letter Ba
𑚌 Takri Letter Ga
𑚶 Takri Sign Virama
𑚡 Takri Letter Bha
𑚍 Takri Letter Gha
𑚷 Takri Sign Nukta
𑚢 Takri Letter Ma
𑚎 Takri Letter Nga
𑚸 Takri Letter Archaic Kha
𑚣 Takri Letter Ya
𑛆 Takri Digit Six
𑚏 Takri Letter Ca
𑛀 Takri Digit Zero
𑚤 Takri Letter Ra
𑚪 Takri Letter Rra
𑚐 Takri Letter Cha
𑛁 Takri Digit One
𑚥 Takri Letter La
𑚑 Takri Letter Ja
𑛂 Takri Digit Two
𑚦 Takri Letter Va
𑚒 Takri Letter Jha
𑛃 Takri Digit Three
𑚧 Takri Letter Sha
𑚓 Takri Letter Nya
𑛄 Takri Digit Four
𑚨 Takri Letter Sa
𑚔 Takri Letter Tta
𑛅 Takri Digit Five
𑚩 Takri Letter Ha
𑚕 Takri Letter Ttha
𑚀 Takri Letter A
