ஹ Tamil Letter Ha
ங Tamil Letter Nga
௬ Tamil Digit Six
ா Tamil Vowel Sign Aa
ச Tamil Letter Ca
௭ Tamil Digit Seven
ி Tamil Vowel Sign I
ஜ Tamil Letter Ja
௮ Tamil Digit Eight
ீ Tamil Vowel Sign Ii
ஞ Tamil Letter Nya
௯ Tamil Digit Nine
ு Tamil Vowel Sign U
௫ Tamil Digit Five
ட Tamil Letter Tta
௰ Tamil Number Ten
ூ Tamil Vowel Sign Uu
ண Tamil Letter Nna
௱ Tamil Number One Hundred
ஂ Tamil Sign Anusvara
ெ Tamil Vowel Sign E
த Tamil Letter Ta
௲ Tamil Number One Thousand
ஃ Tamil Sign Visarga
ே Tamil Vowel Sign Ee
ந Tamil Letter Na
௳ Tamil Day Sign
அ Tamil Letter A
ை Tamil Vowel Sign Ai
ன Tamil Letter Nnna
௴ Tamil Month Sign
ஆ Tamil Letter Aa
ொ Tamil Vowel Sign O
ப Tamil Letter Pa
௵ Tamil Year Sign
இ Tamil Letter I
ோ Tamil Vowel Sign Oo
ம Tamil Letter Ma
௶ Tamil Debit Sign
ஈ Tamil Letter Ii
ௌ Tamil Vowel Sign Au
ய Tamil Letter Ya
௷ Tamil Credit Sign
உ Tamil Letter U
் Tamil Sign Virama
ர Tamil Letter Ra
௸ Tamil As Above Sign
ஊ Tamil Letter Uu
ௐ Tamil Om
ற Tamil Letter Rra
௹ Tamil Rupee Sign
எ Tamil Letter E
ௗ Tamil Au Length Mark
ல Tamil Letter La
௺ Tamil Number Sign
ஏ Tamil Letter Ee
௦ Tamil Digit Zero
ள Tamil Letter Lla
ஐ Tamil Letter Ai
௧ Tamil Digit One
ழ Tamil Letter Llla
ஒ Tamil Letter O
௨ Tamil Digit Two
வ Tamil Letter Va
ஓ Tamil Letter Oo
௩ Tamil Digit Three
ஶ Tamil Letter Sha
ஔ Tamil Letter Au
௪ Tamil Digit Four
ஷ Tamil Letter Ssa
க Tamil Letter Ka
ஸ Tamil Letter Sa
