𘠀 Tangut Component-001
𘠁 Tangut Component-002
𘠂 Tangut Component-003
𘠃 Tangut Component-004
𘠄 Tangut Component-005
𘠅 Tangut Component-006
𘠆 Tangut Component-007
𘠇 Tangut Component-008
𘠈 Tangut Component-009
𘠉 Tangut Component-010
𘠊 Tangut Component-011
𘠋 Tangut Component-012
𘠌 Tangut Component-013
𘠍 Tangut Component-014
𘠎 Tangut Component-015
𘠏 Tangut Component-016
𘠐 Tangut Component-017
𘠑 Tangut Component-018
𘠒 Tangut Component-019
𘠓 Tangut Component-020
𘠔 Tangut Component-021
𘠕 Tangut Component-022
𘠖 Tangut Component-023
𘠗 Tangut Component-024
𘠘 Tangut Component-025
𘠙 Tangut Component-026
𘠚 Tangut Component-027
𘠛 Tangut Component-028
𘠜 Tangut Component-029
𘠝 Tangut Component-030
𘠞 Tangut Component-031
𘠟 Tangut Component-032
𘠠 Tangut Component-033
𘠡 Tangut Component-034
𘠢 Tangut Component-035
𘠣 Tangut Component-036
𘠤 Tangut Component-037
𘠥 Tangut Component-038
𘠦 Tangut Component-039
𘠧 Tangut Component-040
𘠨 Tangut Component-041
𘠩 Tangut Component-042
𘠪 Tangut Component-043
𘠫 Tangut Component-044
𘠬 Tangut Component-045
𘠭 Tangut Component-046
𘠮 Tangut Component-047
𘠯 Tangut Component-048
𘠰 Tangut Component-049
𘠱 Tangut Component-050
𘠲 Tangut Component-051
𘠳 Tangut Component-052
𘠴 Tangut Component-053
𘠵 Tangut Component-054
𘠶 Tangut Component-055
𘠷 Tangut Component-056
𘠸 Tangut Component-057
𘠹 Tangut Component-058
𘠺 Tangut Component-059
𘠻 Tangut Component-060
𘠼 Tangut Component-061
𘠽 Tangut Component-062
𘠾 Tangut Component-063
𘠿 Tangut Component-064
𘡀 Tangut Component-065
𘡁 Tangut Component-066
𘡂 Tangut Component-067
𘡃 Tangut Component-068
𘡄 Tangut Component-069
𘡅 Tangut Component-070
𘡆 Tangut Component-071
𘡇 Tangut Component-072
𘡈 Tangut Component-073
𘡉 Tangut Component-074
𘡊 Tangut Component-075
𘡋 Tangut Component-076
𘡌 Tangut Component-077
𘡍 Tangut Component-078
𘡎 Tangut Component-079
𘡏 Tangut Component-080
𘡐 Tangut Component-081
𘡑 Tangut Component-082
𘡒 Tangut Component-083
𘡓 Tangut Component-084
𘡔 Tangut Component-085
𘡕 Tangut Component-086
𘡖 Tangut Component-087
𘡗 Tangut Component-088
𘡘 Tangut Component-089
𘡙 Tangut Component-090
𘡚 Tangut Component-091
𘡛 Tangut Component-092
𘡜 Tangut Component-093
𘡝 Tangut Component-094
𘡞 Tangut Component-095
𘡟 Tangut Component-096
𘡠 Tangut Component-097
𘡡 Tangut Component-098
𘡢 Tangut Component-099
𘡣 Tangut Component-100
𘡤 Tangut Component-101
𘡥 Tangut Component-102
𘡦 Tangut Component-103
𘡧 Tangut Component-104
𘡨 Tangut Component-105
𘡩 Tangut Component-106
𘡪 Tangut Component-107
𘡫 Tangut Component-108
𘡬 Tangut Component-109
𘡭 Tangut Component-110
𘡮 Tangut Component-111
𘡯 Tangut Component-112
𘡰 Tangut Component-113
𘡱 Tangut Component-114
𘡲 Tangut Component-115
𘡳 Tangut Component-116
𘡴 Tangut Component-117
𘡵 Tangut Component-118
𘡶 Tangut Component-119
𘡷 Tangut Component-120
𘡸 Tangut Component-121
𘡹 Tangut Component-122
𘡺 Tangut Component-123
𘡻 Tangut Component-124
𘡼 Tangut Component-125
𘡽 Tangut Component-126
𘡾 Tangut Component-127
𘡿 Tangut Component-128
𘢀 Tangut Component-129
𘢁 Tangut Component-130
𘢂 Tangut Component-131
𘢃 Tangut Component-132
𘢄 Tangut Component-133
𘢅 Tangut Component-134
𘢆 Tangut Component-135
𘢇 Tangut Component-136
𘢈 Tangut Component-137
𘢉 Tangut Component-138
𘢊 Tangut Component-139
