ఝ Telugu Letter Jha
్ Telugu Sign Virama
ఞ Telugu Letter Nya
ౕ Telugu Length Mark
ట Telugu Letter Tta
ౖ Telugu Ai Length Mark
ఠ Telugu Letter Ttha
ౘ Telugu Letter Tsa
డ Telugu Letter Dda
ౙ Telugu Letter Dza
ఢ Telugu Letter Ddha
ౚ Telugu Letter Rrra
ణ Telugu Letter Nna
ౠ Telugu Letter Vocalic Rr
త Telugu Letter Ta
ౡ Telugu Letter Vocalic Ll
థ Telugu Letter Tha
ౢ Telugu Vowel Sign Vocalic L
ద Telugu Letter Da
ౣ Telugu Vowel Sign Vocalic Ll
ధ Telugu Letter Dha
౦ Telugu Digit Zero
న Telugu Letter Na
౧ Telugu Digit One
ప Telugu Letter Pa
౨ Telugu Digit Two
ఫ Telugu Letter Pha
౩ Telugu Digit Three
బ Telugu Letter Ba
౪ Telugu Digit Four
ఀ Telugu Sign Combining Candrabindu Above
భ Telugu Letter Bha
౫ Telugu Digit Five
ఁ Telugu Sign Candrabindu
మ Telugu Letter Ma
౬ Telugu Digit Six
ం Telugu Sign Anusvara
య Telugu Letter Ya
౭ Telugu Digit Seven
ః Telugu Sign Visarga
ర Telugu Letter Ra
౮ Telugu Digit Eight
ఄ Telugu Sign Combining Anusvara Above
ఱ Telugu Letter Rra
౯ Telugu Digit Nine
ల Telugu Letter La
అ Telugu Letter A
౷ Telugu Sign Siddham
ఆ Telugu Letter Aa
ళ Telugu Letter Lla
౸ Telugu Fraction Digit Zero For Odd Powers Of Four
ఇ Telugu Letter I
ఴ Telugu Letter Llla
౹ Telugu Fraction Digit One For Odd Powers Of Four
ఈ Telugu Letter Ii
వ Telugu Letter Va
౺ Telugu Fraction Digit Two For Odd Powers Of Four
ఉ Telugu Letter U
శ Telugu Letter Sha
౻ Telugu Fraction Digit Three For Odd Powers Of Four
ఊ Telugu Letter Uu
ష Telugu Letter Ssa
౼ Telugu Fraction Digit One For Even Powers Of Four
ఋ Telugu Letter Vocalic R
స Telugu Letter Sa
౽ Telugu Fraction Digit Two For Even Powers Of Four
ఌ Telugu Letter Vocalic L
హ Telugu Letter Ha
౾ Telugu Fraction Digit Three For Even Powers Of Four
ఎ Telugu Letter E
ఽ Telugu Sign Avagraha
౿ Telugu Sign Tuumu
ఏ Telugu Letter Ee
ా Telugu Vowel Sign Aa
ఐ Telugu Letter Ai
ి Telugu Vowel Sign I
ఒ Telugu Letter O
ీ Telugu Vowel Sign Ii
ఓ Telugu Letter Oo
ు Telugu Vowel Sign U
ఔ Telugu Letter Au
ూ Telugu Vowel Sign Uu
క Telugu Letter Ka
ృ Telugu Vowel Sign Vocalic R
ఖ Telugu Letter Kha
ౄ Telugu Vowel Sign Vocalic Rr
గ Telugu Letter Ga
ె Telugu Vowel Sign E
ఘ Telugu Letter Gha
ే Telugu Vowel Sign Ee
ఙ Telugu Letter Nga
ై Telugu Vowel Sign Ai
చ Telugu Letter Ca
ొ Telugu Vowel Sign O
ఛ Telugu Letter Cha
ో Telugu Vowel Sign Oo
ౌ Telugu Vowel Sign Au
జ Telugu Letter Ja
