ފ Thaana Letter Faafu
ޟ Thaana Letter Daadhu
ދ Thaana Letter Dhaalu
ޠ Thaana Letter To
ތ Thaana Letter Thaa
ޡ Thaana Letter Zo
ލ Thaana Letter Laamu
ޢ Thaana Letter Ainu
ގ Thaana Letter Gaafu
ޣ Thaana Letter Ghainu
ޏ Thaana Letter Gnaviyani
ޤ Thaana Letter Qaafu
ސ Thaana Letter Seenu
ޥ Thaana Letter Waavu
ޑ Thaana Letter Daviyani
ަ Thaana Abafili
ޒ Thaana Letter Zaviyani
ާ Thaana Aabaafili
ޓ Thaana Letter Taviyani
ި Thaana Ibifili
ޔ Thaana Letter Yaa
ީ Thaana Eebeefili
ޕ Thaana Letter Paviyani
ހ Thaana Letter Haa
ު Thaana Ubufili
ޖ Thaana Letter Javiyani
ށ Thaana Letter Shaviyani
ޫ Thaana Ooboofili
ޗ Thaana Letter Chaviyani
ނ Thaana Letter Noonu
ެ Thaana Ebefili
ޘ Thaana Letter Ttaa
ރ Thaana Letter Raa
ޭ Thaana Eybeyfili
ޙ Thaana Letter Hhaa
ބ Thaana Letter Baa
ޮ Thaana Obofili
ޚ Thaana Letter Khaa
ޅ Thaana Letter Lhaviyani
ޯ Thaana Oaboafili
ޛ Thaana Letter Thaalu
ކ Thaana Letter Kaafu
ް Thaana Sukun
ޜ Thaana Letter Zaa
އ Thaana Letter Alifu
ޱ Thaana Letter Naa
ޝ Thaana Letter Sheenu
ވ Thaana Letter Vaavu
ޞ Thaana Letter Saadhu
މ Thaana Letter Meemu
