ก Thai Character Ko Kai
ข Thai Character Kho Khai
ฃ Thai Character Kho Khuat
ค Thai Character Kho Khwai
ฅ Thai Character Kho Khon
ฆ Thai Character Kho Rakhang
ง Thai Character Ngo Ngu
จ Thai Character Cho Chan
ฉ Thai Character Cho Ching
ช Thai Character Cho Chang
ซ Thai Character So So
ฌ Thai Character Cho Choe
ญ Thai Character Yo Ying
ฎ Thai Character Do Chada
ฏ Thai Character To Patak
ฐ Thai Character Tho Than
ฑ Thai Character Tho Nangmontho
ฒ Thai Character Tho Phuthao
ณ Thai Character No Nen
ด Thai Character Do Dek
ต Thai Character To Tao
ถ Thai Character Tho Thung
ท Thai Character Tho Thahan
ธ Thai Character Tho Thong
น Thai Character No Nu
บ Thai Character Bo Baimai
ป Thai Character Po Pla
ผ Thai Character Pho Phung
ฝ Thai Character Fo Fa
พ Thai Character Pho Phan
ฟ Thai Character Fo Fan
ภ Thai Character Pho Samphao
ม Thai Character Mo Ma
ย Thai Character Yo Yak
ร Thai Character Ro Rua
ฤ Thai Character Ru
ล Thai Character Lo Ling
ฦ Thai Character Lu
ว Thai Character Wo Waen
ศ Thai Character So Sala
ษ Thai Character So Rusi
ส Thai Character So Sua
ห Thai Character Ho Hip
ฬ Thai Character Lo Chula
อ Thai Character O Ang
ฮ Thai Character Ho Nokhuk
ฯ Thai Character Paiyannoi
ะ Thai Character Sara A
ั Thai Character Mai Han-Akat
า Thai Character Sara Aa
ำ Thai Character Sara Am
ิ Thai Character Sara I
ี Thai Character Sara Ii
ึ Thai Character Sara Ue
ื Thai Character Sara Uee
ุ Thai Character Sara U
ู Thai Character Sara Uu
ฺ Thai Character Phinthu
฿ Thai Currency Symbol Baht
เ Thai Character Sara E
แ Thai Character Sara Ae
โ Thai Character Sara O
ใ Thai Character Sara Ai Maimuan
ไ Thai Character Sara Ai Maimalai
ๅ Thai Character Lakkhangyao
ๆ Thai Character Maiyamok
็ Thai Character Maitaikhu
่ Thai Character Mai Ek
้ Thai Character Mai Tho
๊ Thai Character Mai Tri
๋ Thai Character Mai Chattawa
์ Thai Character Thanthakhat
ํ Thai Character Nikhahit
๎ Thai Character Yamakkan
๏ Thai Character Fongman
๐ Thai Digit Zero
๑ Thai Digit One
๒ Thai Digit Two
๓ Thai Digit Three
๔ Thai Digit Four
๕ Thai Digit Five
๖ Thai Digit Six
๗ Thai Digit Seven
๘ Thai Digit Eight
๙ Thai Digit Nine
๚ Thai Character Angkhankhu
๛ Thai Character Khomut
