𑓖 Tirhuta Digit Six
𑓗 Tirhuta Digit Seven
𑓘 Tirhuta Digit Eight
𑓙 Tirhuta Digit Nine
𑓕 Tirhuta Digit Five
𑒤 Tirhuta Letter Pha
𑒥 Tirhuta Letter Ba
𑒦 Tirhuta Letter Bha
𑒧 Tirhuta Letter Ma
𑒨 Tirhuta Letter Ya
𑒩 Tirhuta Letter Ra
𑒀 Tirhuta Anji
𑒪 Tirhuta Letter La
𑒁 Tirhuta Letter A
𑒫 Tirhuta Letter Va
𑒂 Tirhuta Letter Aa
𑒬 Tirhuta Letter Sha
𑒃 Tirhuta Letter I
𑒭 Tirhuta Letter Ssa
𑒄 Tirhuta Letter Ii
𑒮 Tirhuta Letter Sa
𑒅 Tirhuta Letter U
𑒯 Tirhuta Letter Ha
𑒆 Tirhuta Letter Uu
𑒰 Tirhuta Vowel Sign Aa
𑒇 Tirhuta Letter Vocalic R
𑒱 Tirhuta Vowel Sign I
𑒈 Tirhuta Letter Vocalic Rr
𑒲 Tirhuta Vowel Sign Ii
𑒉 Tirhuta Letter Vocalic L
𑒳 Tirhuta Vowel Sign U
𑒊 Tirhuta Letter Vocalic Ll
𑒴 Tirhuta Vowel Sign Uu
𑒋 Tirhuta Letter E
𑒵 Tirhuta Vowel Sign Vocalic R
𑒌 Tirhuta Letter Ai
𑒶 Tirhuta Vowel Sign Vocalic Rr
𑒍 Tirhuta Letter O
𑒷 Tirhuta Vowel Sign Vocalic L
𑒸 Tirhuta Vowel Sign Vocalic Ll
𑒎 Tirhuta Letter Au
𑒏 Tirhuta Letter Ka
𑒹 Tirhuta Vowel Sign E
𑒐 Tirhuta Letter Kha
𑒺 Tirhuta Vowel Sign Short E
𑒑 Tirhuta Letter Ga
𑒻 Tirhuta Vowel Sign Ai
𑒒 Tirhuta Letter Gha
𑒼 Tirhuta Vowel Sign O
𑒓 Tirhuta Letter Nga
𑒽 Tirhuta Vowel Sign Short O
𑒔 Tirhuta Letter Ca
𑒾 Tirhuta Vowel Sign Au
𑒕 Tirhuta Letter Cha
𑒿 Tirhuta Sign Candrabindu
𑒖 Tirhuta Letter Ja
𑓀 Tirhuta Sign Anusvara
𑒗 Tirhuta Letter Jha
𑓁 Tirhuta Sign Visarga
𑒘 Tirhuta Letter Nya
𑓂 Tirhuta Sign Virama
𑒙 Tirhuta Letter Tta
𑓃 Tirhuta Sign Nukta
𑒚 Tirhuta Letter Ttha
𑓄 Tirhuta Sign Avagraha
𑒛 Tirhuta Letter Dda
𑓅 Tirhuta Gvang
𑒜 Tirhuta Letter Ddha
𑓆 Tirhuta Abbreviation Sign
𑒝 Tirhuta Letter Nna
𑓇 Tirhuta Om
𑒞 Tirhuta Letter Ta
𑓐 Tirhuta Digit Zero
𑒟 Tirhuta Letter Tha
𑓑 Tirhuta Digit One
𑒠 Tirhuta Letter Da
𑓒 Tirhuta Digit Two
𑒡 Tirhuta Letter Dha
𑓓 Tirhuta Digit Three
𑒢 Tirhuta Letter Na
𑓔 Tirhuta Digit Four
𑒣 Tirhuta Letter Pa
