꒚ Yi Radical Lyr
꓄ Yi Radical Zziet
꒯ Yi Radical Vur
꒛ Yi Radical Bbut
꓅ Yi Radical Nbie
꒰ Yi Radical Shy
꒜ Yi Radical Mop
꓆ Yi Radical Ke
꒱ Yi Radical Vep
꒝ Yi Radical Yo
꒲ Yi Radical Za
꓃ Yi Radical Che
꒞ Yi Radical Put
꒳ Yi Radical Jo
꒟ Yi Radical Hxuo
꒴ Yi Radical Nzup
꒠ Yi Radical Tat
꒵ Yi Radical Jjy
꒡ Yi Radical Ga
꒶ Yi Radical Got
꒢ Yi Radical Zup
꒷ Yi Radical Jjie
꒣ Yi Radical Cyt
꒸ Yi Radical Wo
꒤ Yi Radical Ddur
꒹ Yi Radical Du
꒥ Yi Radical Bur
꒐ Yi Radical Qot
꒺ Yi Radical Shur
꒦ Yi Radical Gguo
꒑ Yi Radical Li
꒻ Yi Radical Lie
꒧ Yi Radical Nyop
꒒ Yi Radical Kit
꒼ Yi Radical Cy
꒨ Yi Radical Tu
꒓ Yi Radical Nyip
꒽ Yi Radical Cuop
꒩ Yi Radical Op
꒔ Yi Radical Cyp
꒾ Yi Radical Cip
꒪ Yi Radical Jjut
꒕ Yi Radical Ssi
꒿ Yi Radical Hxop
꒫ Yi Radical Zot
꒖ Yi Radical Ggop
꓀ Yi Radical Shat
꒬ Yi Radical Pyt
꒗ Yi Radical Gep
꓁ Yi Radical Zur
꒭ Yi Radical Hmo
꒘ Yi Radical Mi
꓂ Yi Radical Shop
꒮ Yi Radical Yit
꒙ Yi Radical Hxit
