ꁨ Yi Syllable Bbop
ꌲ Yi Syllable Ssax
ꐄ Yi Syllable Quot
ꁩ Yi Syllable Bbex
ꌳ Yi Syllable Ssa
ꐅ Yi Syllable Quox
ꁪ Yi Syllable Bbe
ꌴ Yi Syllable Ssap
ꐆ Yi Syllable Quo
ꁫ Yi Syllable Bbep
ꌵ Yi Syllable Ssot
ꐇ Yi Syllable Quop
ꁬ Yi Syllable Bbut
ꌶ Yi Syllable Ssox
ꐈ Yi Syllable Qot
ꁭ Yi Syllable Bbux
ꌷ Yi Syllable Sso
ꐉ Yi Syllable Qox
ꁮ Yi Syllable Bbu
ꌸ Yi Syllable Ssop
ꐊ Yi Syllable Qo
ꁯ Yi Syllable Bbup
ꌹ Yi Syllable Ssex
ꐋ Yi Syllable Qop
ꁰ Yi Syllable Bburx
ꌺ Yi Syllable Sse
ꐌ Yi Syllable Qut
ꁱ Yi Syllable Bbur
ꌻ Yi Syllable Ssep
ꐍ Yi Syllable Qux
ꒅ Yi Syllable Yurx
ꁲ Yi Syllable Bbyt
ꌼ Yi Syllable Ssut
ꐎ Yi Syllable Qu
ꁳ Yi Syllable Bbyx
ꌽ Yi Syllable Ssux
ꐏ Yi Syllable Qup
ꁴ Yi Syllable Bby
ꌾ Yi Syllable Ssu
ꐐ Yi Syllable Qurx
ꁵ Yi Syllable Bbyp
ꌿ Yi Syllable Ssup
ꐑ Yi Syllable Qur
ꁶ Yi Syllable Nbit
ꍀ Yi Syllable Ssyt
ꐒ Yi Syllable Qyt
ꁷ Yi Syllable Nbix
ꍁ Yi Syllable Ssyx
ꐓ Yi Syllable Qyx
ꁸ Yi Syllable Nbi
ꍂ Yi Syllable Ssy
ꐔ Yi Syllable Qy
ꁹ Yi Syllable Nbip
ꍃ Yi Syllable Ssyp
ꐕ Yi Syllable Qyp
ꁺ Yi Syllable Nbiex
ꍄ Yi Syllable Ssyrx
ꐖ Yi Syllable Qyrx
ꁻ Yi Syllable Nbie
ꍅ Yi Syllable Ssyr
ꐗ Yi Syllable Qyr
ꁼ Yi Syllable Nbiep
ꍆ Yi Syllable Zhat
ꐘ Yi Syllable Jjit
ꁽ Yi Syllable Nbat
ꍇ Yi Syllable Zhax
ꐙ Yi Syllable Jjix
ꁾ Yi Syllable Nbax
ꍈ Yi Syllable Zha
ꐚ Yi Syllable Jji
ꁿ Yi Syllable Nba
ꍉ Yi Syllable Zhap
ꐛ Yi Syllable Jjip
ꂀ Yi Syllable Nbap
ꍊ Yi Syllable Zhuox
ꐜ Yi Syllable Jjiet
ꂁ Yi Syllable Nbot
ꍋ Yi Syllable Zhuo
ꐝ Yi Syllable Jjiex
ꂂ Yi Syllable Nbox
ꍌ Yi Syllable Zhuop
ꐞ Yi Syllable Jjie
ꂃ Yi Syllable Nbo
ꍍ Yi Syllable Zhot
ꐟ Yi Syllable Jjiep
ꂄ Yi Syllable Nbop
ꍎ Yi Syllable Zhox
ꐠ Yi Syllable Jjuox
ꂅ Yi Syllable Nbut
ꍏ Yi Syllable Zho
ꐡ Yi Syllable Jjuo
ꂆ Yi Syllable Nbux
ꍐ Yi Syllable Zhop
ꐢ Yi Syllable Jjuop
ꂇ Yi Syllable Nbu
ꍑ Yi Syllable Zhet
ꐣ Yi Syllable Jjot
ꂈ Yi Syllable Nbup
ꍒ Yi Syllable Zhex
ꐤ Yi Syllable Jjox
ꂉ Yi Syllable Nburx
ꍓ Yi Syllable Zhe
ꐥ Yi Syllable Jjo
ꂊ Yi Syllable Nbur
ꍔ Yi Syllable Zhep
ꐦ Yi Syllable Jjop
ꒆ Yi Syllable Yur
ꂋ Yi Syllable Nbyt
ꍕ Yi Syllable Zhut
ꐧ Yi Syllable Jjut
ꂌ Yi Syllable Nbyx
ꍖ Yi Syllable Zhux
ꐨ Yi Syllable Jjux
ꂍ Yi Syllable Nby
ꍗ Yi Syllable Zhu
ꐩ Yi Syllable Jju
ꂎ Yi Syllable Nbyp
ꍘ Yi Syllable Zhup
ꐪ Yi Syllable Jjup
ꂏ Yi Syllable Nbyrx
ꍙ Yi Syllable Zhurx
ꐫ Yi Syllable Jjurx
ꂐ Yi Syllable Nbyr
ꍚ Yi Syllable Zhur
ꐬ Yi Syllable Jjur
ꂑ Yi Syllable Hmit
ꍛ Yi Syllable Zhyt
ꐭ Yi Syllable Jjyt
ꄺ Yi Syllable Ddiex
ꈌ Yi Syllable Ke
ꄻ Yi Syllable Ddie
ꈍ Yi Syllable Kep
ꄼ Yi Syllable Ddiep
ꈎ Yi Syllable Kut
ꄽ Yi Syllable Ddat
ꈏ Yi Syllable Kux
ꄾ Yi Syllable Ddax
ꈐ Yi Syllable Ku
ꀓ Yi Syllable Ex
ꄿ Yi Syllable Dda
ꈑ Yi Syllable Kup
ꅀ Yi Syllable Ddap
ꈒ Yi Syllable Kurx
ꅁ Yi Syllable Dduox
ꈓ Yi Syllable Kur
ꅂ Yi Syllable Dduo
ꈔ Yi Syllable Ggit
ꅃ Yi Syllable Dduop
ꈕ Yi Syllable Ggix
ꅄ Yi Syllable Ddot
ꈖ Yi Syllable Ggi
ꅅ Yi Syllable Ddox
ꈗ Yi Syllable Ggiex
ꅆ Yi Syllable Ddo
ꈘ Yi Syllable Ggie
ꅇ Yi Syllable Ddop
ꈙ Yi Syllable Ggiep
ꅈ Yi Syllable Ddex
ꈚ Yi Syllable Ggat
ꅉ Yi Syllable Dde
ꈛ Yi Syllable Ggax
ꅊ Yi Syllable Ddep
ꈜ Yi Syllable Gga
ꅋ Yi Syllable Ddut
ꈝ Yi Syllable Ggap
ꒇ Yi Syllable Yyt
ꅌ Yi Syllable Ddux
ꈞ Yi Syllable Gguot
ꅍ Yi Syllable Ddu
ꈟ Yi Syllable Gguox
ꅎ Yi Syllable Ddup
ꈠ Yi Syllable Gguo
ꅏ Yi Syllable Ddurx
ꈡ Yi Syllable Gguop
ꅐ Yi Syllable Ddur
ꈢ Yi Syllable Ggot
ꅑ Yi Syllable Ndit
ꈣ Yi Syllable Ggox
