𑨃 Zanabazar Square Vowel Sign U
𑨭 Zanabazar Square Letter Va
𑨘 Zanabazar Square Letter Nna
𑩂 Zanabazar Square Mark Shad
𑨄 Zanabazar Square Vowel Sign E
𑨮 Zanabazar Square Letter Sha
𑨙 Zanabazar Square Letter Ta
𑩃 Zanabazar Square Mark Double Shad
𑨅 Zanabazar Square Vowel Sign Oe
𑨯 Zanabazar Square Letter Ssa
𑨚 Zanabazar Square Letter Tha
𑩄 Zanabazar Square Mark Long Tsheg
𑨆 Zanabazar Square Vowel Sign O
𑨰 Zanabazar Square Letter Sa
𑨛 Zanabazar Square Letter Da
𑩅 Zanabazar Square Initial Double-Lined Head Mark
𑨇 Zanabazar Square Vowel Sign Ai
𑨱 Zanabazar Square Letter Ha
𑨜 Zanabazar Square Letter Dha
𑩆 Zanabazar Square Closing Double-Lined Head Mark
𑨈 Zanabazar Square Vowel Sign Au
𑨲 Zanabazar Square Letter Kssa
𑨝 Zanabazar Square Letter Na
𑩇 Zanabazar Square Subjoiner
𑨉 Zanabazar Square Vowel Sign Reversed I
𑨳 Zanabazar Square Final Consonant Mark
𑨞 Zanabazar Square Letter Pa
𑩁 Zanabazar Square Mark Tsheg
𑨊 Zanabazar Square Vowel Length Mark
𑨴 Zanabazar Square Sign Virama
𑨟 Zanabazar Square Letter Pha
𑨬 Zanabazar Square Letter La
𑨋 Zanabazar Square Letter Ka
𑨵 Zanabazar Square Sign Candrabindu
𑨠 Zanabazar Square Letter Ba
𑨌 Zanabazar Square Letter Kha
𑨶 Zanabazar Square Sign Candrabindu With Ornament
𑨡 Zanabazar Square Letter Bha
𑨍 Zanabazar Square Letter Ga
𑨷 Zanabazar Square Sign Candra With Ornament
𑨢 Zanabazar Square Letter Ma
𑨎 Zanabazar Square Letter Gha
𑨸 Zanabazar Square Sign Anusvara
𑨣 Zanabazar Square Letter Tsa
𑨏 Zanabazar Square Letter Nga
𑨹 Zanabazar Square Sign Visarga
𑨤 Zanabazar Square Letter Tsha
𑨐 Zanabazar Square Letter Ca
𑨺 Zanabazar Square Cluster-Initial Letter Ra
𑨥 Zanabazar Square Letter Dza
𑨑 Zanabazar Square Letter Cha
𑨻 Zanabazar Square Cluster-Final Letter Ya
𑨦 Zanabazar Square Letter Dzha
𑨒 Zanabazar Square Letter Ja
𑨼 Zanabazar Square Cluster-Final Letter Ra
𑨧 Zanabazar Square Letter Zha
𑨓 Zanabazar Square Letter Nya
𑨽 Zanabazar Square Cluster-Final Letter La
𑨨 Zanabazar Square Letter Za
𑨔 Zanabazar Square Letter Tta
𑨾 Zanabazar Square Cluster-Final Letter Va
𑨩 Zanabazar Square Letter -A
𑨕 Zanabazar Square Letter Ttha
𑨿 Zanabazar Square Initial Head Mark
𑨀 Zanabazar Square Letter A
𑨪 Zanabazar Square Letter Ya
𑨖 Zanabazar Square Letter Dda
𑩀 Zanabazar Square Closing Head Mark
𑨁 Zanabazar Square Vowel Sign I
𑨫 Zanabazar Square Letter Ra
𑨗 Zanabazar Square Letter Ddha
𑨂 Zanabazar Square Vowel Sign Ue
