𔐀 Anatolian Hieroglyph A001
𔐁 Anatolian Hieroglyph A002
𔐂 Anatolian Hieroglyph A003
𔐃 Anatolian Hieroglyph A004
𔐄 Anatolian Hieroglyph A005
𔐅 Anatolian Hieroglyph A006
𔐆 Anatolian Hieroglyph A007
𔐇 Anatolian Hieroglyph A008
𔐈 Anatolian Hieroglyph A009
𔐉 Anatolian Hieroglyph A010
𔐊 Anatolian Hieroglyph A010A
𔐋 Anatolian Hieroglyph A011
𔐌 Anatolian Hieroglyph A012
𔐍 Anatolian Hieroglyph A013
𔐎 Anatolian Hieroglyph A014
𔐏 Anatolian Hieroglyph A015
𔐐 Anatolian Hieroglyph A016
𔐑 Anatolian Hieroglyph A017
𔐒 Anatolian Hieroglyph A018
𔐓 Anatolian Hieroglyph A019
𔐔 Anatolian Hieroglyph A020
𔐕 Anatolian Hieroglyph A021
𔐖 Anatolian Hieroglyph A022
𔐗 Anatolian Hieroglyph A023
𔐘 Anatolian Hieroglyph A024
𔐙 Anatolian Hieroglyph A025
𔐚 Anatolian Hieroglyph A026
𔐛 Anatolian Hieroglyph A026A
𔐜 Anatolian Hieroglyph A027
𔐝 Anatolian Hieroglyph A028
𔐞 Anatolian Hieroglyph A029
𔐟 Anatolian Hieroglyph A030
𔐠 Anatolian Hieroglyph A031
𔐡 Anatolian Hieroglyph A032
𔐢 Anatolian Hieroglyph A033
𔐣 Anatolian Hieroglyph A034
𔐤 Anatolian Hieroglyph A035
𔐥 Anatolian Hieroglyph A036
𔐦 Anatolian Hieroglyph A037
𔐧 Anatolian Hieroglyph A038
𔐨 Anatolian Hieroglyph A039
𔐩 Anatolian Hieroglyph A039A
𔐪 Anatolian Hieroglyph A040
𔐫 Anatolian Hieroglyph A041
𔐬 Anatolian Hieroglyph A041A
𔐭 Anatolian Hieroglyph A042
𔐮 Anatolian Hieroglyph A043
𔐯 Anatolian Hieroglyph A044
𔐰 Anatolian Hieroglyph A045
𔐱 Anatolian Hieroglyph A045A
𔐲 Anatolian Hieroglyph A046
𔐳 Anatolian Hieroglyph A046A
𔐴 Anatolian Hieroglyph A046B
𔐵 Anatolian Hieroglyph A047
𔐶 Anatolian Hieroglyph A048
𔐷 Anatolian Hieroglyph A049
𔐸 Anatolian Hieroglyph A050
𔐹 Anatolian Hieroglyph A051
𔐺 Anatolian Hieroglyph A052
𔐻 Anatolian Hieroglyph A053
𔐼 Anatolian Hieroglyph A054
𔐽 Anatolian Hieroglyph A055
𔐾 Anatolian Hieroglyph A056
𔐿 Anatolian Hieroglyph A057
𔑀 Anatolian Hieroglyph A058
𔑁 Anatolian Hieroglyph A059
𔑂 Anatolian Hieroglyph A060
𔑃 Anatolian Hieroglyph A061
