‎𐻂 Arabic Letter Dal With Two Dots Vertically Below
‎𐻃 Arabic Letter Tah With Two Dots Vertically Below
‎𐻄 Arabic Letter Kaf With Two Dots Vertically Below
‎𐻅 Arabic Small Yeh Barree With Two Dots Below
‎𐻆 Arabic Letter Thin Noon
‎𐻇 Arabic Letter Yeh With Four Dots Below
𐻐 Arabic Biblical End Of Verse
𐻑 Arabic Ligature Alayhaa As-Salaatu Was-Salaam
𐻒 Arabic Ligature Alayhim As-Salaatu Was-Salaam
𐻓 Arabic Ligature Alayhimaa As-Salaatu Was-Salaam
𐻔 Arabic Ligature Qaddasa Allaahu Sirrah
𐻕 Arabic Ligature Quddisa Sirruhum
𐻖 Arabic Ligature Quddisa Sirruhumaa
𐻗 Arabic Ligature Quddisat Asraaruhum
𐻘 Arabic Ligature Nawwara Allaahu Marqadah
𐻺 Arabic Double Vertical Bar Below
𐻻 Arabic Small Low Noon
𐻼 Arabic Combining Alef Overlay
𐻽 Arabic Small Low Word Sakta
𐻾 Arabic Small Low Word Qasr
𐻿 Arabic Small Low Word Madda
