‎ﹰ Arabic Fathatan Isolated Form
‎ﹱ Arabic Tatweel With Fathatan Above
‎ﹲ Arabic Dammatan Isolated Form
‎ﹳ Arabic Tail Fragment
‎ﹴ Arabic Kasratan Isolated Form
‎ﹶ Arabic Fatha Isolated Form
‎ﹷ Arabic Fatha Medial Form
‎ﹸ Arabic Damma Isolated Form
‎ﹹ Arabic Damma Medial Form
‎ﹺ Arabic Kasra Isolated Form
‎ﹻ Arabic Kasra Medial Form
‎ﹼ Arabic Shadda Isolated Form
‎ﹽ Arabic Shadda Medial Form
‎ﹾ Arabic Sukun Isolated Form
‎ﹿ Arabic Sukun Medial Form
‎ﺀ Arabic Letter Hamza Isolated Form
‎ﺁ Arabic Letter Alef With Madda Above Isolated Form
‎ﺂ Arabic Letter Alef With Madda Above Final Form
‎ﺃ Arabic Letter Alef With Hamza Above Isolated Form
‎ﺄ Arabic Letter Alef With Hamza Above Final Form
‎ﺅ Arabic Letter Waw With Hamza Above Isolated Form
‎ﺆ Arabic Letter Waw With Hamza Above Final Form
‎ﺇ Arabic Letter Alef With Hamza Below Isolated Form
‎ﺈ Arabic Letter Alef With Hamza Below Final Form
‎ﺉ Arabic Letter Yeh With Hamza Above Isolated Form
‎ﺊ Arabic Letter Yeh With Hamza Above Final Form
‎ﺋ Arabic Letter Yeh With Hamza Above Initial Form
‎ﺌ Arabic Letter Yeh With Hamza Above Medial Form
‎ﺍ Arabic Letter Alef Isolated Form
‎ﺎ Arabic Letter Alef Final Form
‎ﺏ Arabic Letter Beh Isolated Form
‎ﺐ Arabic Letter Beh Final Form
‎ﺑ Arabic Letter Beh Initial Form
‎ﺒ Arabic Letter Beh Medial Form
‎ﺓ Arabic Letter Teh Marbuta Isolated Form
‎ﺔ Arabic Letter Teh Marbuta Final Form
‎ﺕ Arabic Letter Teh Isolated Form
‎ﺖ Arabic Letter Teh Final Form
‎ﺗ Arabic Letter Teh Initial Form
‎ﺘ Arabic Letter Teh Medial Form
‎ﺙ Arabic Letter Theh Isolated Form
‎ﺚ Arabic Letter Theh Final Form
‎ﺛ Arabic Letter Theh Initial Form
‎ﺜ Arabic Letter Theh Medial Form
‎ﺝ Arabic Letter Jeem Isolated Form
‎ﺞ Arabic Letter Jeem Final Form
‎ﺟ Arabic Letter Jeem Initial Form
‎ﺠ Arabic Letter Jeem Medial Form
‎ﺡ Arabic Letter Hah Isolated Form
‎ﺢ Arabic Letter Hah Final Form
‎ﺣ Arabic Letter Hah Initial Form
‎ﺤ Arabic Letter Hah Medial Form
‎ﺥ Arabic Letter Khah Isolated Form
‎ﺦ Arabic Letter Khah Final Form
‎ﺧ Arabic Letter Khah Initial Form
‎ﺨ Arabic Letter Khah Medial Form
‎ﺩ Arabic Letter Dal Isolated Form
‎ﺪ Arabic Letter Dal Final Form
‎ﺫ Arabic Letter Thal Isolated Form
‎ﺬ Arabic Letter Thal Final Form
‎ﺭ Arabic Letter Reh Isolated Form
‎ﺮ Arabic Letter Reh Final Form
‎ﺯ Arabic Letter Zain Isolated Form
‎ﺰ Arabic Letter Zain Final Form
‎ﺱ Arabic Letter Seen Isolated Form
‎ﺲ Arabic Letter Seen Final Form
‎ﺳ Arabic Letter Seen Initial Form
‎ﺴ Arabic Letter Seen Medial Form
‎ﺵ Arabic Letter Sheen Isolated Form
‎ﺶ Arabic Letter Sheen Final Form
‎ﺷ Arabic Letter Sheen Initial Form
‎ﺸ Arabic Letter Sheen Medial Form
‎ﺹ Arabic Letter Sad Isolated Form
‎ﺺ Arabic Letter Sad Final Form
‎ﺻ Arabic Letter Sad Initial Form
‎ﺼ Arabic Letter Sad Medial Form
‎ﺽ Arabic Letter Dad Isolated Form
‎ﺾ Arabic Letter Dad Final Form
‎ﺿ Arabic Letter Dad Initial Form
‎ﻀ Arabic Letter Dad Medial Form
‎ﻁ Arabic Letter Tah Isolated Form
‎ﻂ Arabic Letter Tah Final Form
‎ﻃ Arabic Letter Tah Initial Form
‎ﻄ Arabic Letter Tah Medial Form
