𒕐 Cuneiform Numeric Sign One N01
𒕑 Cuneiform Numeric Sign Two N01
𒕒 Cuneiform Numeric Sign Three N01
𒕓 Cuneiform Numeric Sign Four N01
𒕔 Cuneiform Numeric Sign Five N01
𒕕 Cuneiform Numeric Sign Six N01
𒕖 Cuneiform Numeric Sign Seven N01
𒕗 Cuneiform Numeric Sign Eight N01
𒕘 Cuneiform Numeric Sign Nine N01
𒕙 Cuneiform Numeric Sign One N08
𒕚 Cuneiform Numeric Sign Two N08
𒕛 Cuneiform Numeric Sign Three N08
𒕜 Cuneiform Numeric Sign Four N08
𒕝 Cuneiform Numeric Sign Five N08
𒕞 Cuneiform Numeric Sign Six N08
𒕟 Cuneiform Numeric Sign Seven N08
𒕠 Cuneiform Numeric Sign Eight N08
𒕡 Cuneiform Numeric Sign Nine N08
𒕢 Cuneiform Numeric Sign One N14
𒕣 Cuneiform Numeric Sign Two N14
𒕤 Cuneiform Numeric Sign Three N14
𒕥 Cuneiform Numeric Sign Four N14
𒕦 Cuneiform Numeric Sign Five N14
𒕧 Cuneiform Numeric Sign Six N14
𒕨 Cuneiform Numeric Sign Seven N14
𒕩 Cuneiform Numeric Sign Eight N14
𒕪 Cuneiform Numeric Sign Nine N14
𒕫 Cuneiform Numeric Sign One N34
𒕬 Cuneiform Numeric Sign Two N34
𒕭 Cuneiform Numeric Sign Three N34
𒕮 Cuneiform Numeric Sign Four N34
𒕯 Cuneiform Numeric Sign Five N34
𒕰 Cuneiform Numeric Sign Six N34
𒕱 Cuneiform Numeric Sign Seven N34
𒕲 Cuneiform Numeric Sign Eight N34
𒕳 Cuneiform Numeric Sign Nine N34
𒕴 Cuneiform Numeric Sign One N48
𒕵 Cuneiform Numeric Sign Two N48
𒕶 Cuneiform Numeric Sign Three N48
𒕷 Cuneiform Numeric Sign Four N48
𒕸 Cuneiform Numeric Sign Five N48
𒕹 Cuneiform Numeric Sign One N45
𒕺 Cuneiform Numeric Sign Two N45
𒕻 Cuneiform Numeric Sign Three N45
𒕼 Cuneiform Numeric Sign Four N45
𒕽 Cuneiform Numeric Sign Five N45
𒕾 Cuneiform Numeric Sign Six N45
𒕿 Cuneiform Numeric Sign Seven N45
𒖀 Cuneiform Numeric Sign Eight N45
𒖁 Cuneiform Numeric Sign Nine N45
𒖂 Cuneiform Numeric Sign One N50
𒖃 Cuneiform Numeric Sign Two N50
𒖄 Cuneiform Numeric Sign Three N50
𒖅 Cuneiform Numeric Sign Four N50
𒖆 Cuneiform Numeric Sign Five N50
𒖇 Cuneiform Numeric Sign One Eighth Iku Curved
𒖈 Cuneiform Numeric Sign One Eighth Iku Curved Variant Form
𒖉 Cuneiform Numeric Sign One N01 Reversed
𒖊 Cuneiform Numeric Sign One Quarter Iku Curved Variant Form
𒖋 Cuneiform Numeric Sign One Half Iku Curved Variant Form
𒖌 Cuneiform Numeric Sign One N22
𒖍 Cuneiform Numeric Sign Two N22
𒖎 Cuneiform Numeric Sign One Buru Curved
𒖏 Cuneiform Numeric Sign Two Buru Curved
𒖐 Cuneiform Numeric Sign Three Buru Curved
𒖑 Cuneiform Numeric Sign Four Buru Curved
𒖒 Cuneiform Numeric Sign Five Buru Curved
𒖓 Cuneiform Numeric Sign One Ban2 Curved
𒖔 Cuneiform Numeric Sign Two Ban2 Curved
𒖕 Cuneiform Numeric Sign Three Ban2 Curved
𒖖 Cuneiform Numeric Sign Four Ban2 Curved
𒖗 Cuneiform Numeric Sign Five Ban2 Curved
𒖘 Cuneiform Numeric Sign Ninda2 Times She Plus One Ash Curved
𒖙 Cuneiform Numeric Sign Ninda2 Times She Plus Two Ash Curved
𒖚 Cuneiform Numeric Sign One N51
𒖛 Cuneiform Numeric Sign Two N51
𒖜 Cuneiform Numeric Sign Three N51
𒖝 Cuneiform Numeric Sign Four N51
𒖞 Cuneiform Numeric Sign Five N51
𒖟 Cuneiform Numeric Sign Six N51
𒖠 Cuneiform Numeric Sign Seven N51
𒖡 Cuneiform Numeric Sign Eight N51
𒖢 Cuneiform Numeric Sign Nine N51
𒖣 Cuneiform Numeric Sign One N54
𒖤 Cuneiform Numeric Sign Two N54
𒖥 Cuneiform Numeric Sign Three N54
𒖦 Cuneiform Numeric Sign Four N54
𒖧 Cuneiform Numeric Sign Five N54
𒖨 Cuneiform Numeric Sign One N56
𒖩 Cuneiform Numeric Sign Two N56
𒖪 Cuneiform Numeric Sign One N24
𒖫 Cuneiform Numeric Sign One N26
𒖬 Cuneiform Numeric Sign One N28
𒖭 Cuneiform Numeric Sign One N29A
𒖮 Cuneiform Numeric Sign One N29B
𒖯 Cuneiform Numeric Sign One N30A
𒖰 Cuneiform Numeric Sign One N30C
𒖱 Cuneiform Numeric Sign One N30D
𒖲 Cuneiform Numeric Sign One N30E
𒖳 Cuneiform Numeric Sign One N31
𒖴 Cuneiform Numeric Sign One N32
𒖵 Cuneiform Numeric Sign One N33
𒖶 Cuneiform Numeric Sign One N39A
𒖷 Cuneiform Numeric Sign Two N39A
𒖸 Cuneiform Numeric Sign Three N39A
𒖹 Cuneiform Numeric Sign Four N39A
𒖺 Cuneiform Numeric Sign One N39B
𒖻 Cuneiform Numeric Sign Two N39B
𒖼 Cuneiform Numeric Sign Three N39B
𒖽 Cuneiform Numeric Sign Four N39B
𒖾 Cuneiform Numeric Sign One N02
𒖿 Cuneiform Numeric Sign Two N02
𒗀 Cuneiform Numeric Sign Three N02
𒗁 Cuneiform Numeric Sign Four N02
𒗂 Cuneiform Numeric Sign Five N02
𒗃 Cuneiform Numeric Sign Six N02
𒗄 Cuneiform Numeric Sign Seven N02
𒗅 Cuneiform Numeric Sign Eight N02
𒗆 Cuneiform Numeric Sign Nine N02
𒗇 Cuneiform Numeric Sign One N15
𒗈 Cuneiform Numeric Sign Two N15
𒗉 Cuneiform Numeric Sign Three N15
𒗊 Cuneiform Numeric Sign Four N15
𒗋 Cuneiform Numeric Sign Five N15
𒗌 Cuneiform Numeric Sign One N35
𒗍 Cuneiform Numeric Sign Two N35
𒗎 Cuneiform Numeric Sign Three N35
𒗏 Cuneiform Numeric Sign Four N35
𒗐 Cuneiform Numeric Sign Five N35
𒗑 Cuneiform Numeric Sign One N06
𒗒 Cuneiform Numeric Sign Two N06
𒗓 Cuneiform Numeric Sign Three N06
𒗔 Cuneiform Numeric Sign Four N06
𒗕 Cuneiform Numeric Sign Five N06
𒗖 Cuneiform Numeric Sign Six N06
𒗗 Cuneiform Numeric Sign Seven N06
𒗘 Cuneiform Numeric Sign Eight N06
𒗙 Cuneiform Numeric Sign Nine N06
𒗚 Cuneiform Numeric Sign One N21
𒗛 Cuneiform Numeric Sign Two N21
𒗜 Cuneiform Numeric Sign Three N21
𒗝 Cuneiform Numeric Sign Four N21
𒗞 Cuneiform Numeric Sign Five N21
𒗟 Cuneiform Numeric Sign One N38
𒗠 Cuneiform Numeric Sign One N52
𒗡 Cuneiform Numeric Sign Two N52
𒗢 Cuneiform Numeric Sign Three N52
𒗣 Cuneiform Numeric Sign Four N52
𒗤 Cuneiform Numeric Sign Five N52
𒗥 Cuneiform Numeric Sign Six N52
𒗦 Cuneiform Numeric Sign Seven N52
𒗧 Cuneiform Numeric Sign Eight N52
𒗨 Cuneiform Numeric Sign Nine N52
𒗩 Cuneiform Numeric Sign One N60
𒗪 Cuneiform Numeric Sign One N24A
𒗫 Cuneiform Numeric Sign One N40
𒗬 Cuneiform Numeric Sign Two N40
𒗭 Cuneiform Numeric Sign Three N40
𒗮 Cuneiform Numeric Sign Four N40
𒗯 Cuneiform Numeric Sign One N03
𒗰 Cuneiform Numeric Sign Two N03
𒗱 Cuneiform Numeric Sign Three N03
