𖺠 Beria Erfe Capital Letter Arkab
𖺡 Beria Erfe Capital Letter Basigna
𖺢 Beria Erfe Capital Letter Darbai
𖺣 Beria Erfe Capital Letter Eh
𖺤 Beria Erfe Capital Letter Fitko
𖺥 Beria Erfe Capital Letter Goway
𖺦 Beria Erfe Capital Letter Hirdeabo
𖺧 Beria Erfe Capital Letter I
𖺨 Beria Erfe Capital Letter Djai
𖺩 Beria Erfe Capital Letter Kobo
𖺪 Beria Erfe Capital Letter Lakko
𖺫 Beria Erfe Capital Letter Meri
𖺬 Beria Erfe Capital Letter Nini
𖺭 Beria Erfe Capital Letter Gna
𖺮 Beria Erfe Capital Letter Ngay
𖺯 Beria Erfe Capital Letter Oi
𖺰 Beria Erfe Capital Letter Pi
𖺱 Beria Erfe Capital Letter Erigo
𖺲 Beria Erfe Capital Letter Erigo Tamura
𖺳 Beria Erfe Capital Letter Seri
𖺴 Beria Erfe Capital Letter Shep
𖺵 Beria Erfe Capital Letter Tatasoue
𖺶 Beria Erfe Capital Letter Ui
𖺷 Beria Erfe Capital Letter Wasse
𖺸 Beria Erfe Capital Letter Ay
𖺻 Beria Erfe Small Letter Arkab
𖺼 Beria Erfe Small Letter Basigna
𖺽 Beria Erfe Small Letter Darbai
𖺾 Beria Erfe Small Letter Eh
𖺿 Beria Erfe Small Letter Fitko
𖻀 Beria Erfe Small Letter Goway
𖻁 Beria Erfe Small Letter Hirdeabo
𖻂 Beria Erfe Small Letter I
𖻃 Beria Erfe Small Letter Djai
𖻄 Beria Erfe Small Letter Kobo
𖻅 Beria Erfe Small Letter Lakko
𖻆 Beria Erfe Small Letter Meri
𖻇 Beria Erfe Small Letter Nini
𖻈 Beria Erfe Small Letter Gna
𖻉 Beria Erfe Small Letter Ngay
𖻊 Beria Erfe Small Letter Oi
𖻋 Beria Erfe Small Letter Pi
𖻌 Beria Erfe Small Letter Erigo
𖻍 Beria Erfe Small Letter Erigo Tamura
𖻎 Beria Erfe Small Letter Seri
𖻏 Beria Erfe Small Letter Shep
𖻐 Beria Erfe Small Letter Tatasoue
𖻑 Beria Erfe Small Letter Ui
𖻒 Beria Erfe Small Letter Wasse
𖻓 Beria Erfe Small Letter Ay
