𑰀 Bhaiksuki Letter A
𑰁 Bhaiksuki Letter Aa
𑰂 Bhaiksuki Letter I
𑰃 Bhaiksuki Letter Ii
𑰄 Bhaiksuki Letter U
𑰅 Bhaiksuki Letter Uu
𑰆 Bhaiksuki Letter Vocalic R
𑰇 Bhaiksuki Letter Vocalic Rr
𑰈 Bhaiksuki Letter Vocalic L
𑰊 Bhaiksuki Letter E
𑰋 Bhaiksuki Letter Ai
𑰌 Bhaiksuki Letter O
𑰍 Bhaiksuki Letter Au
𑰎 Bhaiksuki Letter Ka
𑰏 Bhaiksuki Letter Kha
𑰐 Bhaiksuki Letter Ga
𑰑 Bhaiksuki Letter Gha
𑰒 Bhaiksuki Letter Nga
𑰓 Bhaiksuki Letter Ca
𑰔 Bhaiksuki Letter Cha
𑰕 Bhaiksuki Letter Ja
𑰖 Bhaiksuki Letter Jha
𑰗 Bhaiksuki Letter Nya
𑰘 Bhaiksuki Letter Tta
𑰙 Bhaiksuki Letter Ttha
𑰚 Bhaiksuki Letter Dda
𑰛 Bhaiksuki Letter Ddha
𑰜 Bhaiksuki Letter Nna
𑰝 Bhaiksuki Letter Ta
𑰞 Bhaiksuki Letter Tha
𑰟 Bhaiksuki Letter Da
𑰠 Bhaiksuki Letter Dha
𑰡 Bhaiksuki Letter Na
𑰢 Bhaiksuki Letter Pa
𑰣 Bhaiksuki Letter Pha
𑰤 Bhaiksuki Letter Ba
𑰥 Bhaiksuki Letter Bha
𑰦 Bhaiksuki Letter Ma
𑰧 Bhaiksuki Letter Ya
𑰨 Bhaiksuki Letter Ra
𑰩 Bhaiksuki Letter La
𑰪 Bhaiksuki Letter Va
𑰫 Bhaiksuki Letter Sha
𑰬 Bhaiksuki Letter Ssa
𑰭 Bhaiksuki Letter Sa
𑰮 Bhaiksuki Letter Ha
𑰯 Bhaiksuki Vowel Sign Aa
𑰰 Bhaiksuki Vowel Sign I
𑰱 Bhaiksuki Vowel Sign Ii
𑰲 Bhaiksuki Vowel Sign U
𑰳 Bhaiksuki Vowel Sign Uu
𑰴 Bhaiksuki Vowel Sign Vocalic R
𑰵 Bhaiksuki Vowel Sign Vocalic Rr
𑰶 Bhaiksuki Vowel Sign Vocalic L
𑰸 Bhaiksuki Vowel Sign E
𑰹 Bhaiksuki Vowel Sign Ai
𑰺 Bhaiksuki Vowel Sign O
𑰻 Bhaiksuki Vowel Sign Au
𑰼 Bhaiksuki Sign Candrabindu
𑰽 Bhaiksuki Sign Anusvara
𑰾 Bhaiksuki Sign Visarga
𑰿 Bhaiksuki Sign Virama
𑱀 Bhaiksuki Sign Avagraha
𑱁 Bhaiksuki Danda
𑱂 Bhaiksuki Double Danda
𑱃 Bhaiksuki Word Separator
𑱄 Bhaiksuki Gap Filler-1
𑱅 Bhaiksuki Gap Filler-2
𑱐 Bhaiksuki Digit Zero
𑱑 Bhaiksuki Digit One
𑱒 Bhaiksuki Digit Two
𑱓 Bhaiksuki Digit Three
𑱔 Bhaiksuki Digit Four
𑱕 Bhaiksuki Digit Five
𑱖 Bhaiksuki Digit Six
𑱗 Bhaiksuki Digit Seven
𑱘 Bhaiksuki Digit Eight
𑱙 Bhaiksuki Digit Nine
𑱚 Bhaiksuki Number One
𑱛 Bhaiksuki Number Two
𑱜 Bhaiksuki Number Three
𑱝 Bhaiksuki Number Four
𑱞 Bhaiksuki Number Five
𑱟 Bhaiksuki Number Six
𑱠 Bhaiksuki Number Seven
𑱡 Bhaiksuki Number Eight
𑱢 Bhaiksuki Number Nine
𑱣 Bhaiksuki Number Ten
𑱤 Bhaiksuki Number Twenty
𑱥 Bhaiksuki Number Thirty
𑱦 Bhaiksuki Number Forty
𑱧 Bhaiksuki Number Fifty
𑱨 Bhaiksuki Number Sixty
𑱩 Bhaiksuki Number Seventy
𑱪 Bhaiksuki Number Eighty
𑱫 Bhaiksuki Number Ninety
𑱬 Bhaiksuki Hundreds Unit Mark
