𐊠 Carian Letter A
𐊡 Carian Letter P2
𐊢 Carian Letter D
𐊣 Carian Letter L
𐊤 Carian Letter Uuu
𐊥 Carian Letter R
𐊦 Carian Letter Ld
𐊧 Carian Letter A2
𐊨 Carian Letter Q
𐊩 Carian Letter B
𐊪 Carian Letter M
𐊫 Carian Letter O
𐊬 Carian Letter D2
𐊭 Carian Letter T
𐊮 Carian Letter Sh
𐊯 Carian Letter Sh2
𐊰 Carian Letter S
𐊱 Carian Letter C-18
𐊲 Carian Letter U
𐊳 Carian Letter Nn
𐊴 Carian Letter X
𐊵 Carian Letter N
𐊶 Carian Letter Tt2
𐊷 Carian Letter P
𐊸 Carian Letter Ss
𐊹 Carian Letter I
𐊺 Carian Letter E
𐊻 Carian Letter Uuuu
𐊼 Carian Letter K
𐊽 Carian Letter K2
𐊾 Carian Letter Nd
𐊿 Carian Letter Uu
𐋀 Carian Letter G
𐋁 Carian Letter G2
𐋂 Carian Letter St
𐋃 Carian Letter St2
𐋄 Carian Letter Ng
𐋅 Carian Letter Ii
𐋆 Carian Letter C-39
𐋇 Carian Letter Tt
𐋈 Carian Letter Uuu2
𐋉 Carian Letter Rr
𐋊 Carian Letter Mb
𐋋 Carian Letter Mb2
𐋌 Carian Letter Mb3
𐋍 Carian Letter Mb4
𐋎 Carian Letter Ld2
𐋏 Carian Letter E2
𐋐 Carian Letter Uuu3
