一 Il
丁 Ceng
丂 Kyo
七 Chil
丄 Sang
丅 Ha
万 Man Mwuk
丈 Cang
三 Sam
上 Sang
下 Ha
丌 Ki
不 Pwu Pwul
与 Ye
丏 Myen
丐 Kal Kay
丑 Chwuk Chwu
且 Cha Ce
丕 Pi
世 Sey
丘 Kwu
丙 Pyeng
丞 Sung
丟 Cwu
丠 Kwu
両 Lyang
丢 Cwu
丣 Yu
两 Lyang
並 Pyeng
丨 Kon
丩 Kwu
个 Kay Ka
丫 A
中 Cwung
丮 Kuk
丰 Pong
丱 Kwan
串 Koc Kwan Chen
丳 Chan
丵 Chak
丶 Cwu
丷 Ha
丸 Hwan
丹 Tan
主 Cwu
丼 Ceng
丿 Pyel
乀 Pwul
乂 Yey
乃 Nay
久 Kwu
乆 Kwu
乇 Cek
么 Yo
之 Ci
乍 Sa
乎 Ho
乏 Phip
乑 Im
乖 Koy
乗 Sung
乘 Sung
乙 Ul
乜 Mya
九 Kwu Kyu
乞 Kel Ki
也 Ya
乣 Kyu
乤 Hal
乧 Twul
乨 Si
乩 Kyey
乫 Kal
乬 Kel
乭 Tol
乯 Ol
乱 Lan
乲 Cal
乳 Yu
乶 Phol
乷 Sal
乺 Sol
乻 El
乼 Cwul
乾 Kan Ken
亀 Kwi Kyun
亁 Ken Kan
亂 Lan
亄 Uy
亅 Kwel
了 Lyo
亇 Ma
予 Ye
亊 Sa
事 Sa
二 I
亍 Chok Ma
于 Wu
亏 Yu Wu
亐 Wul
云 Wun
互 Ho
亓 Ki
五 O
井 Ceng
亘 Sen Hwan
亙 Kung
些 Sa
亜 A
亝 Cey
亞 A
亟 Kuk Ki
亠 Twu
亡 Mang Mwu
亢 Hang
交 Kyo
亥 Hay
亦 Yek
亨 Hyeng Phayng
享 Hyang
京 Kyeng
亭 Ceng
亮 Lyang
亰 Kyeng
亱 Ya
亳 Pak
亴 Yu
亶 Tan
亷 Lyem
亹 Mi Mwun
人 In
亻 In
亽 La
亾 Mang Mwu
什 Sip Cip
仁 In
仂 Luk
仄 Chuk
仆 Pwu
仇 Kwu
今 Kum
介 Kay
仍 Ing
从 Cong
仏 Pwul
仒 Sya
仔 Ca
仕 Sa
他 Tha
仗 Cang
付 Pwu
仙 Sen
仚 Hen
仛 Cha Thak
仝 Tong
仞 In
仟 Chen
仡 Hul
仢 Cak
代 Tay
令 Lyeng
以 I
仭 In
仮 Ka Pan
仰 Ang
仲 Cwung
仳 Pi
仵 O
件 Ken
价 Kay
任 Im
份 Pin
仿 Pang
伀 Cong
企 Ki
伃 Ye
伅 Ton
伇 Yek
伈 Sim Chim
伉 Hang
伊 I
伋 Kup
伍 O
伎 Ki
伏 Pok Pwu Pwuk
伐 Pel
休 Hyu
伙 Hwa
会 Hoy Koy
伜 Col
伝 Cen
伣 Hyen
伩 Sin
伯 Payk Phay
估 Ko
伴 Pan
伶 Lyeng
伸 Sin
伺 Sa
伻 Phayng
似 Sa
伽 Ka
伾 Pi
佀 Sa
佁 I
佂 Ceng
佃 Cen
但 Tan
佇 Ce
佈 Pho
佉 Kwu Ke
佊 Phi
佋 So
位 Wi
低 Ce
住 Cwu
佐 Cwa
佑 Wu
佒 Ang
体 Pwun Chey
佔 Cem
何 Ha
佖 Phil
佗 Tha
佘 Sa
余 Ye
佚 Il Cil
佛 Pwul Phil
作 Cak Cwu
佝 Kwu
佞 Nyeng
佟 Tong
你 Ni
佩 Phay
佪 Hoy
佯 Yang
佰 Peyk
佳 Ka Kay
佴 I
併 Pyeng
佶 Kil
佷 Hang Han
佸 Kwal
佹 Kwey
佺 Cen
佻 Co
佼 Kyo
佽 Cha
佾 Il
使 Sa Si
侀 Hyeng
侁 Sin
侂 Thak
侃 Kan
侄 Cil
侅 Hay
來 Lay
侇 I
侈 Chi
侉 Kwa
侊 Kwang
例 Lyey
侍 Si
侎 Mi
侏 Cwu
侐 Hyek
侑 Yu
侒 An
侔 Mo
侖 Lyun
侗 Tong
侘 Cha
侙 Chik
侚 Swun
供 Kong
侜 Cwu
依 Uy
侞 Ye
侠 Hyep Kyep
価 Ka
侣 Lye
侤 Ko
侮 Mo
侯 Hwu
侲 Cin
侳 Cwa
侵 Chim
侶 Lye
侷 Kwuk
侸 Twu
侹 Ceng
侻 Thal
便 Phyen Pyen
俁 Yu
係 Kyey
促 Chok
俄 A
俅 Kwu
俇 Kwang
俉 O
俊 Cwun
俋 Up
俌 Po
俍 Lyang
俎 Co
俏 So
俐 Li
俑 Yong
俒 Hun
俓 Kyeng
俔 Hyen
俗 Sok
俘 Pwu
俙 Huy
俚 Li
俛 Myen
俜 Ping
保 Po
俞 Yu
俟 Sa Ki
俠 Hyep Kyep
信 Sin
俣 O
俤 Cey
俥 Ke
修 Swu
俯 Pwu
俰 Hwa
俱 Kwu
俲 Hyo
俳 Pay
俴 Chen
俵 Phyo
俶 Swuk Chek
俷 Pi
俸 Pong
俹 A
俺 Em Ep
俻 Pi
俾 Pi
倀 Chang
倂 Pyeng
倃 Kwu
倄 Hyo
倅 Swi
倆 Lyang
倉 Chang
個 Kay
倌 Kwan
倍 Pay Phay
倎 Cen
倏 Swuk
倐 Swuk
們 Mwun
倒 To
倓 Tam
倔 Kwul
倕 Swu
倖 Hayng
倗 Pwung
倘 Tang
候 Hwu
倚 Uy Ki
倛 Ki
倜 Chek
倝 Kan
倞 Kyeng
借 Cha Cek
倠 Hyu
倡 Chang
倢 Chep
倣 Pang
値 Chi
倥 Kong
倦 Kwen
倧 Cong
倨 Ke
倩 Chen
倪 Yey
倫 Lyun
倬 Thak
倭 Wi Way
倮 La
倰 Lung
倱 Hon
倲 Tong
倳 Sa
倴 Pwun
倶 Kwu
倹 Kem
倻 Ya
值 Chi
偁 Ching
偃 En
偄 Nan Yen
偅 Tong
偆 Chwun
假 Ka Ha
偈 Key Kel
偉 Wi
偊 Yu
偌 Ya
偎 Oy
偏 Phyen
偐 An
偒 Thang
偓 Ak
偕 Hay Hyey
偖 Cha
偘 Kan
做 Cwu Ca
偛 Sap
停 Ceng
偝 Pay
偞 Yep
偟 Hwang
偠 Yo
偢 Cho
健 Ken Kyen
偨 Chi
偩 Pwu
偪 Phip
偫 Chi
偬 Chong
偭 Myen
偯 Uy
偰 Sel
偲 Si
側 Chuk
偵 Ceng
偶 Wu
偷 Thwu
偸 Thwu
偹 Pi
偽 Wi
傀 Koy
傃 So
傅 Pwu
傋 Kang
傌 Ma
傍 Pang Phayng
傎 Cen
傑 Kel
傒 Hyey
傓 Sen
傔 Kyem
傕 Kak
傖 Chang
傘 San
備 Pi
傚 Hyo
傛 Yong
傜 Yo
傝 Thap
