㐀 Qiū
㐁 Tiàn
㐄 Kuà
㐅 Wǔ
㐆 Yǐn
㐌 Yí
㐖 Xié
㐜 Chóu
㐡 Nuò
㐤 Dān
㐨 Xù
㐩 Xíng
㐫 Xiōng
㐬 Liú
㐭 Lǐn
㐮 Xiāng
㐯 Yōng
㐰 Xìn
㐱 Zhěn
㐲 Dài
㐳 Wù
㐴 Pān
㐵 Rú
㐷 Mǎ
㐸 Qiàn
㐹 Yì
㐺 Yín
㐻 Nèi
㐼 Chèng
㐽 Fēng
㑁 Zhuō
㑂 Fǎng
㑃 Ǎo
㑄 Wǔ
㑅 Zuò
㑇 Zhòu
㑈 Dòng
㑉 Sù
㑊 Yì
㑋 Qióng
㑌 Kuāng
㑍 Lèi
㑎 Nǎo
㑏 Zhù
㑐 Shū
㑔 Xǔ
㑗 Shēn
㑘 Jiè
㑙 Dié
㑚 Nuó
㑛 Sù
㑜 Yì
㑝 Lòng
㑞 Yìng
㑟 Běng
㑣 Lán
㑤 Miáo
㑥 Yì
㑦 Lì
㑧 Jì
㑨 Yǔ
㑩 Luó
㑪 Chái
㑮 Hún
㑯 Xǔ
㑰 Huì
㑱 Rǎo
㑳 Zhòu
㑵 Hàn
㑶 Xì
㑷 Tài
㑸 Yáo
㑹 Huì
㑺 Jùn
㑻 Mà
㑼 Lüè
㑽 Táng
㑾 Yáo
㑿 Zhào
㒀 Zhāi
㒁 Yǔ
㒂 Zhuó
㒃 Èr
㒄 Rǎn
㒅 Qǐ
㒆 Chì
㒇 Wǔ
㒈 Hàn
㒉 Tǎng
㒊 Sè
㒋 Sī
㒌 Qióng
㒍 Léi
㒎 Sà
㒑 Kuǐ
㒒 Pú
㒓 Tà
㒔 Shú
㒕 Yāng
㒖 Ǒu
㒗 Tái
㒙 Mián
㒚 Yìn
㒛 Diào
㒜 Yǔ
㒝 Miè
㒞 Jùn
㒟 Niǎo
㒠 Xiè
㒡 Yóu
㒤 Chè
㒥 Fēng
㒦 Lěi
㒧 Lì
㒩 Luǒ
㒫 Jì
㒰 Quán
㒲 Cái
㒳 Liǎng
㒴 Gǔ
㒵 Mào
㒷 Guǎ
㒸 Suì
㒻 Mào
㒼 Mán
㒽 Quān
㒾 Shì
㒿 Lí
㓁 Wǎng
㓂 Kòu
㓃 Dù
㓄 Zhèn
㓅 Tīng
㓈 Bìng
㓉 Huò
㓊 Dòng
㓋 Gòng
㓌 Chēng
㓎 Qīn
㓏 Jiǒng
㓐 Lù
㓑 Xìng
㓓 Nán
㓔 Xiè
㓖 Bì
㓗 Jié
㓘 Sù
㓚 Gōng
㓜 Yòu
㓝 Xíng
㓞 Qià
㓟 Pí
㓠 Diàn
㓡 Fǔ
㓢 Luò
㓣 Qià
㓤 Qià
㓥 Tāng
㓦 Bāi
㓧 Gān
㓨 Cí
㓩 Xuān
㓪 Lǎng
㓭 Shé
㓮 Diāo
㓯 Lí
㓰 Huà
㓱 Tóu
㓲 Piān
㓳 Dī
㓴 Ruǎn
㓵 È
㓶 Qiè
㓷 Yì
㓸 Zhuō
㓹 Ruì
㓺 Jiān
㓼 Chì
㓽 Chóng
㓾 Xī
㔀 Lüè
㔁 Dēng
㔂 Lín
㔃 Jué
㔄 Sù
㔅 Xiào
㔆 Zàn
㔉 Zhǔ
㔊 Zhǎn
㔋 Jiān
㔌 Zòu
㔍 Chuā
㔎 Xiè
㔏 Lì
㔑 Chì
㔒 Xí
㔓 Jiǎn
㔕 Jí
㔗 Fèi
㔘 Chù
㔙 Bēng
㔚 Jié
