⺀ Cjk Radical Repeat
⺁ Cjk Radical Cliff
⺂ Cjk Radical Second One
⺃ Cjk Radical Second Two
⺄ Cjk Radical Second Three
⺅ Cjk Radical Person
⺆ Cjk Radical Box
⺇ Cjk Radical Table
⺈ Cjk Radical Knife One
⺉ Cjk Radical Knife Two
⺊ Cjk Radical Divination
⺋ Cjk Radical Seal
⺌ Cjk Radical Small One
⺍ Cjk Radical Small Two
⺎ Cjk Radical Lame One
⺏ Cjk Radical Lame Two
⺐ Cjk Radical Lame Three
⺑ Cjk Radical Lame Four
⺒ Cjk Radical Snake
⺓ Cjk Radical Thread
⺔ Cjk Radical Snout One
⺕ Cjk Radical Snout Two
⺖ Cjk Radical Heart One
⺗ Cjk Radical Heart Two
⺘ Cjk Radical Hand
⺙ Cjk Radical Rap
⺛ Cjk Radical Choke
⺜ Cjk Radical Sun
⺝ Cjk Radical Moon
⺞ Cjk Radical Death
⺟ Cjk Radical Mother
⺠ Cjk Radical Civilian
⺡ Cjk Radical Water One
⺢ Cjk Radical Water Two
⺣ Cjk Radical Fire
⺤ Cjk Radical Paw One
⺥ Cjk Radical Paw Two
⺦ Cjk Radical Simplified Half Tree Trunk
⺧ Cjk Radical Cow
⺨ Cjk Radical Dog
⺩ Cjk Radical Jade
⺪ Cjk Radical Bolt Of Cloth
⺫ Cjk Radical Eye
⺬ Cjk Radical Spirit One
⺭ Cjk Radical Spirit Two
⺮ Cjk Radical Bamboo
⺯ Cjk Radical Silk
⺰ Cjk Radical C-Simplified Silk
⺱ Cjk Radical Net One
⺲ Cjk Radical Net Two
⺳ Cjk Radical Net Three
⺴ Cjk Radical Net Four
⺵ Cjk Radical Mesh
⺶ Cjk Radical Sheep
⺷ Cjk Radical Ram
⺸ Cjk Radical Ewe
⺹ Cjk Radical Old
⺺ Cjk Radical Brush One
⺻ Cjk Radical Brush Two
⺼ Cjk Radical Meat
⺽ Cjk Radical Mortar
⺾ Cjk Radical Grass One
⺿ Cjk Radical Grass Two
⻀ Cjk Radical Grass Three
⻁ Cjk Radical Tiger
⻂ Cjk Radical Clothes
⻃ Cjk Radical West One
⻄ Cjk Radical West Two
⻅ Cjk Radical C-Simplified See
⻆ Cjk Radical Simplified Horn
⻇ Cjk Radical Horn
⻈ Cjk Radical C-Simplified Speech
⻉ Cjk Radical C-Simplified Shell
⻊ Cjk Radical Foot
⻋ Cjk Radical C-Simplified Cart
⻌ Cjk Radical Simplified Walk
⻍ Cjk Radical Walk One
⻎ Cjk Radical Walk Two
⻏ Cjk Radical City
⻐ Cjk Radical C-Simplified Gold
⻑ Cjk Radical Long One
⻒ Cjk Radical Long Two
⻓ Cjk Radical C-Simplified Long
⻔ Cjk Radical C-Simplified Gate
⻕ Cjk Radical Mound One
⻖ Cjk Radical Mound Two
⻗ Cjk Radical Rain
⻘ Cjk Radical Blue
⻙ Cjk Radical C-Simplified Tanned Leather
⻚ Cjk Radical C-Simplified Leaf
⻛ Cjk Radical C-Simplified Wind
⻜ Cjk Radical C-Simplified Fly
⻝ Cjk Radical Eat One
⻞ Cjk Radical Eat Two
⻟ Cjk Radical Eat Three
⻠ Cjk Radical C-Simplified Eat
⻡ Cjk Radical Head
⻢ Cjk Radical C-Simplified Horse
⻣ Cjk Radical Bone
⻤ Cjk Radical Ghost
⻥ Cjk Radical C-Simplified Fish
⻦ Cjk Radical C-Simplified Bird
⻧ Cjk Radical C-Simplified Salt
⻨ Cjk Radical Simplified Wheat
⻩ Cjk Radical Simplified Yellow
⻪ Cjk Radical C-Simplified Frog
⻫ Cjk Radical J-Simplified Even
⻬ Cjk Radical C-Simplified Even
⻭ Cjk Radical J-Simplified Tooth
⻮ Cjk Radical C-Simplified Tooth
⻯ Cjk Radical J-Simplified Dragon
⻰ Cjk Radical C-Simplified Dragon
⻱ Cjk Radical Turtle
⻲ Cjk Radical J-Simplified Turtle
⻳ Cjk Radical C-Simplified Turtle
