㇀ Cjk Stroke T
㇁ Cjk Stroke Wg
㇂ Cjk Stroke Xg
㇃ Cjk Stroke Bxg
㇄ Cjk Stroke Sw
㇅ Cjk Stroke Hzz
㇆ Cjk Stroke Hzg
㇇ Cjk Stroke Hp
㇈ Cjk Stroke Hzwg
㇉ Cjk Stroke Szwg
㇊ Cjk Stroke Hzt
㇋ Cjk Stroke Hzzp
㇌ Cjk Stroke Hpwg
㇍ Cjk Stroke Hzw
㇎ Cjk Stroke Hzzz
㇏ Cjk Stroke N
㇐ Cjk Stroke H
㇑ Cjk Stroke S
㇒ Cjk Stroke P
㇓ Cjk Stroke Sp
㇔ Cjk Stroke D
㇕ Cjk Stroke Hz
㇖ Cjk Stroke Hg
㇗ Cjk Stroke Sz
㇘ Cjk Stroke Swz
㇙ Cjk Stroke St
㇚ Cjk Stroke Sg
㇛ Cjk Stroke Pd
㇜ Cjk Stroke Pz
㇝ Cjk Stroke Tn
㇞ Cjk Stroke Szz
㇟ Cjk Stroke Swg
㇠ Cjk Stroke Hxwg
㇡ Cjk Stroke Hzzzg
㇢ Cjk Stroke Pg
㇣ Cjk Stroke Q
㇯ Ideographic Description Character Subtraction
