㑫 Nộm
㓟 Phay
㓠 Chẻm
㓶 Khía
㕭 Êu
㕰 Mau
㕵 Uống
㕸 Lắp
㖇 Nhe
㖑 Nhái
㖗 Sùm
㖠 Nhại
㖣 Vòi
㖧 Hôn
㖫 Lừng
㖹 Vồn
㖼 Mỏ
㖽 Hợt
㗑 Bới
㗖 Thào
㗙 Sò
㗚 Trắt
㗜 Súc
㗢 Rống
㗴 Nhằn
㘇 Vang
㘋 Hờn
㘓 Ran
㘨 Nồi
㙤 Hố
㙮 Đắp
㙴 Thềm
㛪 Em
㡴 Lụp
㤓 Bỡn
㤕 Trót
㤡 Sệt
㤳 Bẽ
㥥 Ngùng
㦆 Hú
㦉 Nhát
㦖 Muốn
㧅 Đeo
㧍 Phang
㧼 Bíu
㧾 Hốt
㨔 Giằm
㨢 Nâng
㨶 Đẽo
㩒 Cắm
㩜 Giam
㩡 Dủi
㩢 Mót
㩧 Bẹo
㫻 Luôn
㫼 Xế
㫾 Thửng
㬿 Thôn
㭲 Góc
㮈 Nậy
㮔 Tròng
㯝 Rọ
㯲 Cụm
㯷 Bục
㯿 Xộp
㰁 Lõi
㰙 Nạng
㲸 Ướt
㳉 Ngoét
㳌 Nhớp
㳥 Lỏng
㳪 Vữa
㳯 Tăn
㳶 Nhỏ
㵒 Phè
㵢 Loi
㶤 Tạch
㷚 Đoành
㷝 Dụt
㹥 Chó
㹯 Hươu
㺔 Voi
㺞 Dữ
㺧 Heo
㽳 Võ
㽿 Cùi
㾄 Rù
㾾 Hem
䀡 Xem
䀧 Hòng
䀩 Nhác
䁛 Coi
䇄 Ngất
䇮 Sậy
䇻 Vỉ
䈫 Nắp
䊷 Chài
䋖 Luột
䋥 Lưới
䋦 Mối
䏧 Da
䏴 Teo
䏾 Bọng
䐥 Ỏng
䐭 Giái
䑃 Mông
䒜 Ngâu
䔲 Đắng
䕝 Sắng
䕯 Bèo
䖴 Riêu
䖷 He
䗊 Vẹm
䘆 Hến
䟢 Giẫy
䟬 Kheo
䠣 Rón
䢦 Suốt
䣷 Chua
䤠 Chỉa
䤲 Xích
䱊 Mè
䱕 Mòi
䳂 Sếu
䳱 Vọ
䴌 Mòng
䶶 Đè
一 Nhất
丁 Đinh
七 Thất
万 Vạn
丈 Trượng
三 Tam
上 Thượng
下 Hạ
不 Bất
与 Dữ
丐 Cái
丑 Sửu
且 Thả
丕 Vậy
世 Thế
丘 Khâu
丙 Bính
丞 Thừa
丢 Điêu
个 Cá
丫 A
中 Trung
丰 Phong
串 Xuyến
丸 Hoàn
丹 Đam
主 Chúa
丿 Phết
乂 Nghệ
乃 Nải
久 Cửu
之 Chi
乍 Chạ
乎 Hồ
乏 Phạp
乖 Quai
乘 Thặng
乙 Ất
九 Cửu
乞 Khất
也 Dã
乱 Loạn
乳 Vú
乾 Kiền
亂 Loạn
了 Liễu
予 Nhừ
事 Sự
二 Nhì
亍 Sục
于 Vu
云 Vân
互 Hỗ
五 Ngũ
井 Tỉnh
亙 Cẳng
些 Ta
亟 Cấc
亡 Vong
亢 Cang
交 Giao
亥 Hợi
亨 Hanh
享 Hưởng
京 Kinh
亭 Đình
人 Nhân
什 Thập
仁 Nhân
仃 Đừng
仄 Trắc
仆 Bọc
仇 Cừu
仉 Kẻ
今 Kim
介 Giới
仍 Nhưng
仔 Tử
仕 Sĩ
他 Tha
仗 Trượng
付 Phó
仙 Tiên
仝 Đồng
代 Đại
令 Lệnh
仰 Ngưỡng
件 Kiện
价 Giá
任 Nhậm
份 Phần
仿 Phảng
企 Xí
伊 Y
伍 Ngũ
伎 Kĩ
伏 Phục
伐 Phạt
休 Hưu
会 Hội
伩 Nho
伮 Nó
伯 Bá
伲 Ni
伴 Bạn
伵 Tớ
伶 Rành
似 Tự
伽 Già
佃 Điền
佊 Bè
位 Vị
低 Đây
住 Trú
佐 Tá
体 Thể
余 Dư
佚 Dật
佛 Phật
作 Tác
佞 Nịnh
你 Nể
佳 Giai
併 Tính
佻 Điêu
使 Sứ
侅 Hời
