𞀰 Modifier Letter Cyrillic Small A
𞀱 Modifier Letter Cyrillic Small Be
𞀲 Modifier Letter Cyrillic Small Ve
𞀳 Modifier Letter Cyrillic Small Ghe
𞀴 Modifier Letter Cyrillic Small De
𞀵 Modifier Letter Cyrillic Small Ie
𞀶 Modifier Letter Cyrillic Small Zhe
𞀷 Modifier Letter Cyrillic Small Ze
𞀸 Modifier Letter Cyrillic Small I
𞀹 Modifier Letter Cyrillic Small Ka
𞀺 Modifier Letter Cyrillic Small El
𞀻 Modifier Letter Cyrillic Small Em
𞀼 Modifier Letter Cyrillic Small O
𞀽 Modifier Letter Cyrillic Small Pe
𞀾 Modifier Letter Cyrillic Small Er
𞀿 Modifier Letter Cyrillic Small Es
𞁀 Modifier Letter Cyrillic Small Te
𞁁 Modifier Letter Cyrillic Small U
𞁂 Modifier Letter Cyrillic Small Ef
𞁃 Modifier Letter Cyrillic Small Ha
𞁄 Modifier Letter Cyrillic Small Tse
𞁅 Modifier Letter Cyrillic Small Che
𞁆 Modifier Letter Cyrillic Small Sha
𞁇 Modifier Letter Cyrillic Small Yeru
𞁈 Modifier Letter Cyrillic Small E
𞁉 Modifier Letter Cyrillic Small Yu
𞁊 Modifier Letter Cyrillic Small Dzze
𞁋 Modifier Letter Cyrillic Small Schwa
𞁌 Modifier Letter Cyrillic Small Byelorussian-Ukrainian I
𞁍 Modifier Letter Cyrillic Small Je
𞁎 Modifier Letter Cyrillic Small Barred O
𞁏 Modifier Letter Cyrillic Small Straight U
𞁐 Modifier Letter Cyrillic Small Palochka
𞁑 Cyrillic Subscript Small Letter A
𞁒 Cyrillic Subscript Small Letter Be
𞁓 Cyrillic Subscript Small Letter Ve
𞁔 Cyrillic Subscript Small Letter Ghe
𞁕 Cyrillic Subscript Small Letter De
𞁖 Cyrillic Subscript Small Letter Ie
𞁗 Cyrillic Subscript Small Letter Zhe
𞁘 Cyrillic Subscript Small Letter Ze
𞁙 Cyrillic Subscript Small Letter I
𞁚 Cyrillic Subscript Small Letter Ka
𞁛 Cyrillic Subscript Small Letter El
𞁜 Cyrillic Subscript Small Letter O
𞁝 Cyrillic Subscript Small Letter Pe
𞁞 Cyrillic Subscript Small Letter Es
𞁟 Cyrillic Subscript Small Letter U
𞁠 Cyrillic Subscript Small Letter Ef
𞁡 Cyrillic Subscript Small Letter Ha
𞁢 Cyrillic Subscript Small Letter Tse
𞁣 Cyrillic Subscript Small Letter Che
𞁤 Cyrillic Subscript Small Letter Sha
𞁥 Cyrillic Subscript Small Letter Hard Sign
𞁦 Cyrillic Subscript Small Letter Yeru
𞁧 Cyrillic Subscript Small Letter Ghe With Upturn
𞁨 Cyrillic Subscript Small Letter Byelorussian-Ukrainian I
𞁩 Cyrillic Subscript Small Letter Dze
𞁪 Cyrillic Subscript Small Letter Dzhe
𞁫 Modifier Letter Cyrillic Small Es With Descender
𞁬 Modifier Letter Cyrillic Small Yeru With Back Yer
𞁭 Modifier Letter Cyrillic Small Straight U With Stroke
𞂏 Combining Cyrillic Small Letter Byelorussian-Ukrainian I
