𓀀 Egyptian Hieroglyph A001
𓀁 Egyptian Hieroglyph A002
𓀂 Egyptian Hieroglyph A003
𓀃 Egyptian Hieroglyph A004
𓀄 Egyptian Hieroglyph A005
𓀅 Egyptian Hieroglyph A005A
𓀆 Egyptian Hieroglyph A006
𓀇 Egyptian Hieroglyph A006A
𓀈 Egyptian Hieroglyph A006B
𓀉 Egyptian Hieroglyph A007
𓀊 Egyptian Hieroglyph A008
𓀋 Egyptian Hieroglyph A009
𓀌 Egyptian Hieroglyph A010
𓀍 Egyptian Hieroglyph A011
𓀎 Egyptian Hieroglyph A012
𓀏 Egyptian Hieroglyph A013
𓀐 Egyptian Hieroglyph A014
𓀑 Egyptian Hieroglyph A014A
𓀒 Egyptian Hieroglyph A015
𓀓 Egyptian Hieroglyph A016
𓀔 Egyptian Hieroglyph A017
𓀕 Egyptian Hieroglyph A017A
𓀖 Egyptian Hieroglyph A018
𓀗 Egyptian Hieroglyph A019
𓀘 Egyptian Hieroglyph A020
𓀙 Egyptian Hieroglyph A021
𓀚 Egyptian Hieroglyph A022
𓀛 Egyptian Hieroglyph A023
𓀜 Egyptian Hieroglyph A024
𓀝 Egyptian Hieroglyph A025
𓀞 Egyptian Hieroglyph A026
𓀟 Egyptian Hieroglyph A027
𓀠 Egyptian Hieroglyph A028
𓀡 Egyptian Hieroglyph A029
𓀢 Egyptian Hieroglyph A030
𓀣 Egyptian Hieroglyph A031
𓀤 Egyptian Hieroglyph A032
𓀥 Egyptian Hieroglyph A032A
𓀦 Egyptian Hieroglyph A033
𓀧 Egyptian Hieroglyph A034
𓀨 Egyptian Hieroglyph A035
𓀩 Egyptian Hieroglyph A036
𓀪 Egyptian Hieroglyph A037
𓀫 Egyptian Hieroglyph A038
𓀬 Egyptian Hieroglyph A039
𓀭 Egyptian Hieroglyph A040
𓀮 Egyptian Hieroglyph A040A
𓀯 Egyptian Hieroglyph A041
𓀰 Egyptian Hieroglyph A042
𓀱 Egyptian Hieroglyph A042A
𓀲 Egyptian Hieroglyph A043
