𓑠 Egyptian Hieroglyph-13460
𓑡 Egyptian Hieroglyph-13461
𓑢 Egyptian Hieroglyph-13462
𓑣 Egyptian Hieroglyph-13463
𓑤 Egyptian Hieroglyph-13464
𓑥 Egyptian Hieroglyph-13465
𓑦 Egyptian Hieroglyph-13466
𓑧 Egyptian Hieroglyph-13467
𓑨 Egyptian Hieroglyph-13468
𓑩 Egyptian Hieroglyph-13469
𓑪 Egyptian Hieroglyph-1346A
𓑫 Egyptian Hieroglyph-1346B
𓑬 Egyptian Hieroglyph-1346C
𓑭 Egyptian Hieroglyph-1346D
𓑮 Egyptian Hieroglyph-1346E
𓑯 Egyptian Hieroglyph-1346F
𓑰 Egyptian Hieroglyph-13470
𓑱 Egyptian Hieroglyph-13471
𓑲 Egyptian Hieroglyph-13472
𓑳 Egyptian Hieroglyph-13473
𓑴 Egyptian Hieroglyph-13474
𓑵 Egyptian Hieroglyph-13475
𓑶 Egyptian Hieroglyph-13476
𓑷 Egyptian Hieroglyph-13477
𓑸 Egyptian Hieroglyph-13478
𓑹 Egyptian Hieroglyph-13479
𓑺 Egyptian Hieroglyph-1347A
𓑻 Egyptian Hieroglyph-1347B
𓑼 Egyptian Hieroglyph-1347C
𓑽 Egyptian Hieroglyph-1347D
𓑾 Egyptian Hieroglyph-1347E
𓑿 Egyptian Hieroglyph-1347F
𓒀 Egyptian Hieroglyph-13480
𓒁 Egyptian Hieroglyph-13481
𓒂 Egyptian Hieroglyph-13482
𓒃 Egyptian Hieroglyph-13483
𓒄 Egyptian Hieroglyph-13484
𓒅 Egyptian Hieroglyph-13485
𓒆 Egyptian Hieroglyph-13486
𓒇 Egyptian Hieroglyph-13487
𓒈 Egyptian Hieroglyph-13488
𓒉 Egyptian Hieroglyph-13489
𓒊 Egyptian Hieroglyph-1348A
𓒋 Egyptian Hieroglyph-1348B
𓒌 Egyptian Hieroglyph-1348C
𓒍 Egyptian Hieroglyph-1348D
𓒎 Egyptian Hieroglyph-1348E
𓒏 Egyptian Hieroglyph-1348F
𓒐 Egyptian Hieroglyph-13490
𓒑 Egyptian Hieroglyph-13491
𓒒 Egyptian Hieroglyph-13492
𓒓 Egyptian Hieroglyph-13493
𓒔 Egyptian Hieroglyph-13494
𓒕 Egyptian Hieroglyph-13495
𓒖 Egyptian Hieroglyph-13496
𓒗 Egyptian Hieroglyph-13497
𓒘 Egyptian Hieroglyph-13498
𓒙 Egyptian Hieroglyph-13499
𓒚 Egyptian Hieroglyph-1349A
𓒛 Egyptian Hieroglyph-1349B
𓒜 Egyptian Hieroglyph-1349C
𓒝 Egyptian Hieroglyph-1349D
𓒞 Egyptian Hieroglyph-1349E
𓒟 Egyptian Hieroglyph-1349F
𓒠 Egyptian Hieroglyph-134A0
𓒡 Egyptian Hieroglyph-134A1
𓒢 Egyptian Hieroglyph-134A2
𓒣 Egyptian Hieroglyph-134A3
