㈀ Parenthesized Hangul Kiyeok
㈁ Parenthesized Hangul Nieun
㈂ Parenthesized Hangul Tikeut
㈃ Parenthesized Hangul Rieul
㈄ Parenthesized Hangul Mieum
㈅ Parenthesized Hangul Pieup
㈆ Parenthesized Hangul Sios
㈇ Parenthesized Hangul Ieung
㈈ Parenthesized Hangul Cieuc
㈉ Parenthesized Hangul Chieuch
㈊ Parenthesized Hangul Khieukh
㈋ Parenthesized Hangul Thieuth
㈌ Parenthesized Hangul Phieuph
㈍ Parenthesized Hangul Hieuh
㈎ Parenthesized Hangul Kiyeok A
㈏ Parenthesized Hangul Nieun A
㈐ Parenthesized Hangul Tikeut A
㈑ Parenthesized Hangul Rieul A
㈒ Parenthesized Hangul Mieum A
㈓ Parenthesized Hangul Pieup A
㈔ Parenthesized Hangul Sios A
㈕ Parenthesized Hangul Ieung A
㈖ Parenthesized Hangul Cieuc A
㈗ Parenthesized Hangul Chieuch A
㈘ Parenthesized Hangul Khieukh A
㈙ Parenthesized Hangul Thieuth A
㈚ Parenthesized Hangul Phieuph A
㈛ Parenthesized Hangul Hieuh A
㈜ Parenthesized Hangul Cieuc U
㈝ Parenthesized Korean Character Ojeon
㈞ Parenthesized Korean Character O Hu
㈠ Parenthesized Ideograph One
㈡ Parenthesized Ideograph Two
㈢ Parenthesized Ideograph Three
㈣ Parenthesized Ideograph Four
㈤ Parenthesized Ideograph Five
㈥ Parenthesized Ideograph Six
㈦ Parenthesized Ideograph Seven
㈧ Parenthesized Ideograph Eight
㈨ Parenthesized Ideograph Nine
㈩ Parenthesized Ideograph Ten
㈪ Parenthesized Ideograph Moon
㈫ Parenthesized Ideograph Fire
㈬ Parenthesized Ideograph Water
㈭ Parenthesized Ideograph Wood
㈮ Parenthesized Ideograph Metal
㈯ Parenthesized Ideograph Earth
㈰ Parenthesized Ideograph Sun
㈱ Parenthesized Ideograph Stock
㈲ Parenthesized Ideograph Have
㈳ Parenthesized Ideograph Society
㈴ Parenthesized Ideograph Name
㈵ Parenthesized Ideograph Special
㈶ Parenthesized Ideograph Financial
㈷ Parenthesized Ideograph Congratulation
㈸ Parenthesized Ideograph Labor
㈹ Parenthesized Ideograph Represent
㈺ Parenthesized Ideograph Call
㈻ Parenthesized Ideograph Study
㈼ Parenthesized Ideograph Supervise
㈽ Parenthesized Ideograph Enterprise
㈾ Parenthesized Ideograph Resource
㈿ Parenthesized Ideograph Alliance
㉀ Parenthesized Ideograph Festival
㉁ Parenthesized Ideograph Rest
