𞟠 Ethiopic Syllable Hhya
𞟡 Ethiopic Syllable Hhyu
𞟢 Ethiopic Syllable Hhyi
𞟣 Ethiopic Syllable Hhyaa
𞟤 Ethiopic Syllable Hhyee
𞟥 Ethiopic Syllable Hhye
𞟦 Ethiopic Syllable Hhyo
𞟨 Ethiopic Syllable Gurage Hhwa
𞟩 Ethiopic Syllable Hhwi
𞟪 Ethiopic Syllable Hhwee
𞟫 Ethiopic Syllable Hhwe
𞟭 Ethiopic Syllable Gurage Mwi
𞟮 Ethiopic Syllable Gurage Mwee
𞟰 Ethiopic Syllable Gurage Qwi
𞟱 Ethiopic Syllable Gurage Qwee
𞟲 Ethiopic Syllable Gurage Qwe
𞟳 Ethiopic Syllable Gurage Bwi
𞟴 Ethiopic Syllable Gurage Bwee
𞟵 Ethiopic Syllable Gurage Kwi
𞟶 Ethiopic Syllable Gurage Kwee
𞟷 Ethiopic Syllable Gurage Kwe
𞟸 Ethiopic Syllable Gurage Gwi
𞟹 Ethiopic Syllable Gurage Gwee
𞟺 Ethiopic Syllable Gurage Gwe
𞟻 Ethiopic Syllable Gurage Fwi
𞟼 Ethiopic Syllable Gurage Fwee
𞟽 Ethiopic Syllable Gurage Pwi
𞟾 Ethiopic Syllable Gurage Pwee
