ꗪ 1c
 1c, alt
 3d model
 3ds max
 4d
 a+
 abap
 abif
⍺ acre
 actionscript
 ada
𝈵 adobe
 adobe acrobat
 adobe after effects
 adobe animate
㍳ adobe audition
 adobe bridge
 adobe character animator
 adobe creative cloud
 adobe dimension
 adobe dreamweaver
 adobe flash
 adobe fuse
 adobe illustrator
🆋 adobe incopy
 adobe indesign
 adobe lightroom
 adobe media encoder
 adobe photoshop
 adobe prelude
 adobe premiere
 adobe premiere rush
 adobe xd
æ aeternity
 affectscript
 affinitydesigner
𓅚 agda
 akka
 alacritty
 alacritty, alt
⧋ alex
 alloy
 alpine linux
 amd
⚽ amigaos
 ampl
 amusewiki
 analytica
 angelscript
 animestudio
Ⓐ ansible
a ansible, alt
 antlr
░ antwar
 anyscript
 apache ant
 api blueprint
 api extractor
⍋ apl
 apl, old
🄐 apollo
 apollo guidance computer (agc)
 apple
 appveyor
 arc
A arch linux
 arduino
 arm
ⓐ arttext
 asciidoc
 asciidoctor
 assembly, agc
 assembly, amd
 assembly, arm
 assembly, at&amp;t
 assembly, avr
 assembly, generic
 assembly, hitachi
 assembly, intel
 assembly, motorola
 assembly, ppc
 assembly, risc-v
 assembly, sparc
 assembly, vax
 assembly, zilog
 asymptote
 asymptote, alt
 at&amp;t
♉ atoum
 ats
 audacity
 augeas
 aurelia
 autohotkey
 autoit
 automator
 avr
 avro
🐧 awk
🚀 azure pipelines
 babel
 ballerina
 bazaar
 bazel
 bazel, old
 behat
 bem
 bibtex
 biml
 binder
 bintray
🐂 bison
 bithound
 blender
 blitzbasic
 bloc
 bluespec
⩴ bnf
 boo
👁 bors
 bosque
 brainfuck
 brakeman
 bro
 broccoli
 brotli
 brotli, old
 browserslist
b browsersync
 brunch
 buck
 build boot
 buildkite
 bundler
 byond
 c#
 c# script
 c++
 cabal
🔒 caddy
 caddy, old
 caffe
 caffe2
 cairo
 cake
 cakefile
 cakephp
 cakephp, old
 calva
 carthage
 casc
 ceylon
c chai
 chapel
 chartjs
🐆 cheetah3d
 chef
🍫 chocolatey
 chuck
 circleci
 cirru
 ckeditor
 clarion
 clean
 click
 clips
 clojurejs
 closure template
 cloudfoundry
 cmake
 cnab
 cobol
 cocoapods
 codacy
 code climate
☂ codecov
 codekit
 codemeta
 codemirror
 codeship
 coldfusion
 commitizen
🆑 commitlint
 common lisp
 component pascal
 composer
 computable document format
 conan
 conda
 config
 config, coffeescript
 config, go
 config, haskell
 config, js
 config, perl
 config, python
 config, react
 config, ruby
 config, rust
 config, typescript
 conll
 coq
 cordova
 coreldraw
 coreldraw, alt
✪ coveralls
 cpan
 cpcdosc+
 craft tweaker
 creole
 crowdin
 crystal
 csound
 cubit
 cucumber
 cuneiform
 curl (language)
/ curl (program)
 curry
🐟 cvs
⧙ cwl
 cython
 d3
 dafny
 darcs
 dashboard
 dataweave
 dbase
🗌 default
 delphi
 deno
 dependabot
 devcontainer
 devicetree
🖋 dhall
 dia
 diff
 digdag
☤ dna
𓅧 docbook
 dockerfile
 doclets
↹ docpad
 docz
 dogescript
 dom
🏁 donejs
 dosbox
 dosbox, alt
 dot.js
 doxygen
 dragonflybsd
👌 dragula
 draw.io
 drone
 dub
 dvc
 dyalog
 dylib
E e
 eagle
 easybuild
 ec
 ecere
 eclipse (language)
 edge
 editorconfig
 eiffel
 ejs
 electron
ⓔ elementaryos
 elm
 emacs
 ember
 emberscript
 ensime
 eq
 esdoc
 eslint
 eslint, old
 expo
 fabfile
📜 fabric
 factor
 falcon
 fancy
 fantom
𓅨 fauna
⋀ faust
 fbx
 fexl
 ffmpeg
Ⓕ fiddle
𝒻 final draft
 finder
 firebase
⚡ firebase bolt
🜄 flask
 floobits
 flow
 flutter
 flux
 font
 font, bitmap
 font, outline
ﬀ fontforge
⤳ for the record
⑂ fork
 fortran
 fossa
 fossil
🄵 fountain
 franca
 freedesktop
 freedos
 freemarker
 freemat
 frege
 fthtml
 fuelux
 fusebox
 futhark
 galaxy
 galen
 gamemaker
 gams
 gap
Ⓖ gatsby
 gauss
 gdb
 genshi
∿ genstat
 gentoo
 ghostscript
 gimp
 gitlab
𝖦 gitpod
 glade
 glide
 gltf
G glyphs
 gn
 gnu
📈 gnuplot
 go
 go, old
 godot
 golo
 goreleaser
 gosu
 gradle
 grammatical framework
📉 grapher
 graphite
 graphql
 graphql-codegen
 graphviz
 gravit designer
 greenkeeper
 gridsome
 groovy
 grunt
 gulp
 hack
 haml
 harbour
 hashicorp
 haxe
 haxedevelop
⚕ helix
㏋ hewlett-packard
 hie
 hitachi
 hjson
🍺 homebrew
🦘 hop
 hoplon
🌀 houdini
 houndci
Ⓗ hugo
🐶 husky
 hy
📃 hygen
 hyper
 icomoon
 icu
 idl
 idris
 igor pro
 illumos
 image
⛿ imba
 imba, alt
💠 imba, old
 influxdata
 inform 7
 ink
 inkscape
 inno setup
 intel
 io
 ioke
 ionic project
 isabelle
🕌 istanbul
 j
 jade
 jake
 janet
 jasmine
 jenkins
 jest
 jinja
 jison
 jolie
 jscpd
 json-1
 json-2
 json-ld
 json-ld2
⑸ json5
 jsonnet
 jsx
 jsx, alt
