‎𐵀 Garay Digit Zero
‎𐵁 Garay Digit One
‎𐵂 Garay Digit Two
‎𐵃 Garay Digit Three
‎𐵄 Garay Digit Four
‎𐵅 Garay Digit Five
‎𐵆 Garay Digit Six
‎𐵇 Garay Digit Seven
‎𐵈 Garay Digit Eight
‎𐵉 Garay Digit Nine
‎𐵊 Garay Vowel Sign A
‎𐵋 Garay Vowel Sign I
‎𐵌 Garay Vowel Sign O
‎𐵍 Garay Vowel Sign Ee
‎𐵎 Garay Vowel Length Mark
‎𐵏 Garay Sukun
‎𐵐 Garay Capital Letter A
‎𐵑 Garay Capital Letter Ca
‎𐵒 Garay Capital Letter Ma
‎𐵓 Garay Capital Letter Ka
‎𐵔 Garay Capital Letter Ba
‎𐵕 Garay Capital Letter Ja
‎𐵖 Garay Capital Letter Sa
‎𐵗 Garay Capital Letter Wa
‎𐵘 Garay Capital Letter La
‎𐵙 Garay Capital Letter Ga
‎𐵚 Garay Capital Letter Da
‎𐵛 Garay Capital Letter Xa
‎𐵜 Garay Capital Letter Ya
‎𐵝 Garay Capital Letter Ta
‎𐵞 Garay Capital Letter Ra
‎𐵟 Garay Capital Letter Nya
‎𐵠 Garay Capital Letter Fa
‎𐵡 Garay Capital Letter Na
‎𐵢 Garay Capital Letter Pa
‎𐵣 Garay Capital Letter Ha
‎𐵤 Garay Capital Letter Old Ka
‎𐵥 Garay Capital Letter Old Na
𐵩 Garay Vowel Sign E
𐵪 Garay Consonant Gemination Mark
𐵫 Garay Combining Dot Above
𐵬 Garay Combining Double Dot Above
𐵭 Garay Consonant Nasalization Mark
𐵮 Garay Hyphen
‎𐵯 Garay Reduplication Mark
‎𐵰 Garay Small Letter A
‎𐵱 Garay Small Letter Ca
‎𐵲 Garay Small Letter Ma
‎𐵳 Garay Small Letter Ka
‎𐵴 Garay Small Letter Ba
‎𐵵 Garay Small Letter Ja
‎𐵶 Garay Small Letter Sa
‎𐵷 Garay Small Letter Wa
‎𐵸 Garay Small Letter La
‎𐵹 Garay Small Letter Ga
‎𐵺 Garay Small Letter Da
‎𐵻 Garay Small Letter Xa
‎𐵼 Garay Small Letter Ya
‎𐵽 Garay Small Letter Ta
‎𐵾 Garay Small Letter Ra
‎𐵿 Garay Small Letter Nya
‎𐶀 Garay Small Letter Fa
‎𐶁 Garay Small Letter Na
‎𐶂 Garay Small Letter Pa
‎𐶃 Garay Small Letter Ha
‎𐶄 Garay Small Letter Old Ka
‎𐶅 Garay Small Letter Old Na
‎𐶎 Garay Plus Sign
‎𐶏 Garay Minus Sign
