𞀀 Combining Glagolitic Letter Azu
𞀁 Combining Glagolitic Letter Buky
𞀂 Combining Glagolitic Letter Vede
𞀃 Combining Glagolitic Letter Glagoli
𞀄 Combining Glagolitic Letter Dobro
𞀅 Combining Glagolitic Letter Yestu
𞀆 Combining Glagolitic Letter Zhivete
𞀈 Combining Glagolitic Letter Zemlja
𞀉 Combining Glagolitic Letter Izhe
𞀊 Combining Glagolitic Letter Initial Izhe
𞀋 Combining Glagolitic Letter I
𞀌 Combining Glagolitic Letter Djervi
𞀍 Combining Glagolitic Letter Kako
𞀎 Combining Glagolitic Letter Ljudije
𞀏 Combining Glagolitic Letter Myslite
𞀐 Combining Glagolitic Letter Nashi
𞀑 Combining Glagolitic Letter Onu
𞀒 Combining Glagolitic Letter Pokoji
𞀓 Combining Glagolitic Letter Ritsi
𞀔 Combining Glagolitic Letter Slovo
𞀕 Combining Glagolitic Letter Tvrido
𞀖 Combining Glagolitic Letter Uku
𞀗 Combining Glagolitic Letter Fritu
𞀘 Combining Glagolitic Letter Heru
𞀛 Combining Glagolitic Letter Shta
𞀜 Combining Glagolitic Letter Tsi
𞀝 Combining Glagolitic Letter Chrivi
𞀞 Combining Glagolitic Letter Sha
𞀟 Combining Glagolitic Letter Yeru
𞀠 Combining Glagolitic Letter Yeri
𞀡 Combining Glagolitic Letter Yati
𞀣 Combining Glagolitic Letter Yu
𞀤 Combining Glagolitic Letter Small Yus
𞀦 Combining Glagolitic Letter Yo
𞀧 Combining Glagolitic Letter Iotated Small Yus
𞀨 Combining Glagolitic Letter Big Yus
𞀩 Combining Glagolitic Letter Iotated Big Yus
𞀪 Combining Glagolitic Letter Fita
