ʹ Greek Numeral Sign
͵ Greek Lower Numeral Sign
; Greek Question Mark
΄ Greek Tonos
΅ Greek Dialytika Tonos
· Greek Ano Teleia
϶ Greek Reversed Lunate Epsilon Symbol
᾽ Greek Koronis
᾿ Greek Psili
῀ Greek Perispomeni
῁ Greek Dialytika And Perispomeni
῍ Greek Psili And Varia
῎ Greek Psili And Oxia
῏ Greek Psili And Perispomeni
῝ Greek Dasia And Varia
῞ Greek Dasia And Oxia
῟ Greek Dasia And Perispomeni
῭ Greek Dialytika And Varia
΅ Greek Dialytika And Oxia
` Greek Varia
´ Greek Oxia
῾ Greek Dasia
𐅀 Greek Acrophonic Attic One Quarter
𐅁 Greek Acrophonic Attic One Half
𐅄 Greek Acrophonic Attic Fifty
𐅅 Greek Acrophonic Attic Five Hundred
𐅆 Greek Acrophonic Attic Five Thousand
𐅇 Greek Acrophonic Attic Fifty Thousand
𐅉 Greek Acrophonic Attic Ten Talents
𐅊 Greek Acrophonic Attic Fifty Talents
𐅋 Greek Acrophonic Attic One Hundred Talents
𐅌 Greek Acrophonic Attic Five Hundred Talents
𐅍 Greek Acrophonic Attic One Thousand Talents
𐅎 Greek Acrophonic Attic Five Thousand Talents
𐅐 Greek Acrophonic Attic Ten Staters
𐅑 Greek Acrophonic Attic Fifty Staters
𐅒 Greek Acrophonic Attic One Hundred Staters
𐅓 Greek Acrophonic Attic Five Hundred Staters
𐅔 Greek Acrophonic Attic One Thousand Staters
𐅕 Greek Acrophonic Attic Ten Thousand Staters
𐅖 Greek Acrophonic Attic Fifty Thousand Staters
𐅗 Greek Acrophonic Attic Ten Mnas
𐅠 Greek Acrophonic Troezenian Ten
𐅡 Greek Acrophonic Troezenian Ten Alternate Form
𐅢 Greek Acrophonic Hermionian Ten
𐅣 Greek Acrophonic Messenian Ten
𐅤 Greek Acrophonic Thespian Ten
𐅥 Greek Acrophonic Thespian Thirty
𐅦 Greek Acrophonic Troezenian Fifty
𐅧 Greek Acrophonic Troezenian Fifty Alternate Form
𐅨 Greek Acrophonic Hermionian Fifty
𐅩 Greek Acrophonic Thespian Fifty
𐅪 Greek Acrophonic Thespian One Hundred
𐅫 Greek Acrophonic Thespian Three Hundred
𐅬 Greek Acrophonic Epidaurean Five Hundred
𐅭 Greek Acrophonic Troezenian Five Hundred
𐅮 Greek Acrophonic Thespian Five Hundred
𐅯 Greek Acrophonic Carystian Five Hundred
𐅰 Greek Acrophonic Naxian Five Hundred
𐅱 Greek Acrophonic Thespian One Thousand
𐅲 Greek Acrophonic Thespian Five Thousand
𐅴 Greek Acrophonic Stratian Fifty Mnas
𐅵 Greek One Half Sign
𐅶 Greek One Half Sign Alternate Form
𐅷 Greek Two Thirds Sign
𐅸 Greek Three Quarters Sign
𐅹 Greek Year Sign
𐅺 Greek Talent Sign
𐅻 Greek Drachma Sign
𐅼 Greek Obol Sign
𐅽 Greek Two Obols Sign
𐅾 Greek Three Obols Sign
𐅿 Greek Four Obols Sign
𐆀 Greek Five Obols Sign
𐆁 Greek Metretes Sign
𐆂 Greek Kyathos Base Sign
𐆃 Greek Litra Sign
𐆄 Greek Ounkia Sign
𐆅 Greek Xestes Sign
𐆆 Greek Artabe Sign
𐆇 Greek Aroura Sign
𐆈 Greek Gramma Sign
𐆉 Greek Tryblion Base Sign
𐆋 Greek One Quarter Sign
𐆌 Greek Sinusoid Sign
𐆍 Greek Indiction Sign
𐆠 Greek Symbol Tau Rho
𝈀 Greek Vocal Notation Symbol-1
𝈁 Greek Vocal Notation Symbol-2
𝈂 Greek Vocal Notation Symbol-3
𝈃 Greek Vocal Notation Symbol-4
𝈄 Greek Vocal Notation Symbol-5
𝈅 Greek Vocal Notation Symbol-6
𝈆 Greek Vocal Notation Symbol-7
𝈇 Greek Vocal Notation Symbol-8
𝈈 Greek Vocal Notation Symbol-9
𝈉 Greek Vocal Notation Symbol-10
𝈊 Greek Vocal Notation Symbol-11
𝈋 Greek Vocal Notation Symbol-12
𝈌 Greek Vocal Notation Symbol-13
𝈍 Greek Vocal Notation Symbol-14
𝈎 Greek Vocal Notation Symbol-15
𝈏 Greek Vocal Notation Symbol-16
𝈐 Greek Vocal Notation Symbol-17
𝈑 Greek Vocal Notation Symbol-18
𝈒 Greek Vocal Notation Symbol-19
𝈓 Greek Vocal Notation Symbol-20
𝈔 Greek Vocal Notation Symbol-21
𝈕 Greek Vocal Notation Symbol-22
𝈖 Greek Vocal Notation Symbol-23
𝈗 Greek Vocal Notation Symbol-24
𝈘 Greek Vocal Notation Symbol-50
𝈙 Greek Vocal Notation Symbol-51
𝈚 Greek Vocal Notation Symbol-52
𝈛 Greek Vocal Notation Symbol-53
𝈜 Greek Vocal Notation Symbol-54
𝈝 Greek Instrumental Notation Symbol-1
𝈞 Greek Instrumental Notation Symbol-2
𝈟 Greek Instrumental Notation Symbol-4
𝈠 Greek Instrumental Notation Symbol-5
𝈡 Greek Instrumental Notation Symbol-7
𝈢 Greek Instrumental Notation Symbol-8
𝈣 Greek Instrumental Notation Symbol-11
𝈤 Greek Instrumental Notation Symbol-12
𝈥 Greek Instrumental Notation Symbol-13
𝈦 Greek Instrumental Notation Symbol-14
𝈧 Greek Instrumental Notation Symbol-17
𝈨 Greek Instrumental Notation Symbol-18
𝈩 Greek Instrumental Notation Symbol-19
𝈪 Greek Instrumental Notation Symbol-23
𝈫 Greek Instrumental Notation Symbol-24
𝈬 Greek Instrumental Notation Symbol-25
𝈭 Greek Instrumental Notation Symbol-26
𝈮 Greek Instrumental Notation Symbol-27
𝈯 Greek Instrumental Notation Symbol-29
𝈰 Greek Instrumental Notation Symbol-30
𝈱 Greek Instrumental Notation Symbol-32
𝈲 Greek Instrumental Notation Symbol-36
𝈳 Greek Instrumental Notation Symbol-37
𝈴 Greek Instrumental Notation Symbol-38
𝈵 Greek Instrumental Notation Symbol-39
𝈶 Greek Instrumental Notation Symbol-40
𝈷 Greek Instrumental Notation Symbol-42
𝈸 Greek Instrumental Notation Symbol-43
𝈹 Greek Instrumental Notation Symbol-45
𝈺 Greek Instrumental Notation Symbol-47
𝈻 Greek Instrumental Notation Symbol-48
𝈼 Greek Instrumental Notation Symbol-49
𝈽 Greek Instrumental Notation Symbol-50
𝈾 Greek Instrumental Notation Symbol-51
𝈿 Greek Instrumental Notation Symbol-52
𝉀 Greek Instrumental Notation Symbol-53
𝉁 Greek Instrumental Notation Symbol-54
𝉅 Greek Musical Leimma
𐆊 Greek Zero Sign
𐅂 Greek Acrophonic Attic One Drachma
𐅘 Greek Acrophonic Heraeum One Plethron
𐅙 Greek Acrophonic Thespian One
𐅚 Greek Acrophonic Hermionian One
𐅛 Greek Acrophonic Epidaurean Two
𐅜 Greek Acrophonic Thespian Two
𐅝 Greek Acrophonic Cyrenaic Two Drachmas
𐅞 Greek Acrophonic Epidaurean Two Drachmas
𐅃 Greek Acrophonic Attic Five
𐅈 Greek Acrophonic Attic Five Talents
𐅏 Greek Acrophonic Attic Five Staters
𐅟 Greek Acrophonic Troezenian Five
𐅳 Greek Acrophonic Delphic Five Mnas
α Greek Small Letter Alpha
Α Greek Capital Letter Alpha
ἀ Greek Small Letter Alpha With Psili
Ἀ Greek Capital Letter Alpha With Psili
ἄ Greek Small Letter Alpha With Psili And Oxia
Ἄ Greek Capital Letter Alpha With Psili And Oxia
ᾄ Greek Small Letter Alpha With Psili And Oxia And Ypogegrammeni
ᾌ Greek Capital Letter Alpha With Psili And Oxia And Prosgegrammeni
ἂ Greek Small Letter Alpha With Psili And Varia
Ἂ Greek Capital Letter Alpha With Psili And Varia
ᾂ Greek Small Letter Alpha With Psili And Varia And Ypogegrammeni
ᾊ Greek Capital Letter Alpha With Psili And Varia And Prosgegrammeni
ἆ Greek Small Letter Alpha With Psili And Perispomeni
Ἆ Greek Capital Letter Alpha With Psili And Perispomeni
ᾆ Greek Small Letter Alpha With Psili And Perispomeni And Ypogegrammeni
ᾎ Greek Capital Letter Alpha With Psili And Perispomeni And Prosgegrammeni
ᾀ Greek Small Letter Alpha With Psili And Ypogegrammeni
ᾈ Greek Capital Letter Alpha With Psili And Prosgegrammeni
ἁ Greek Small Letter Alpha With Dasia
Ἁ Greek Capital Letter Alpha With Dasia
ἅ Greek Small Letter Alpha With Dasia And Oxia
Ἅ Greek Capital Letter Alpha With Dasia And Oxia
ᾅ Greek Small Letter Alpha With Dasia And Oxia And Ypogegrammeni
ᾍ Greek Capital Letter Alpha With Dasia And Oxia And Prosgegrammeni
ἃ Greek Small Letter Alpha With Dasia And Varia
Ἃ Greek Capital Letter Alpha With Dasia And Varia
ᾃ Greek Small Letter Alpha With Dasia And Varia And Ypogegrammeni
ᾋ Greek Capital Letter Alpha With Dasia And Varia And Prosgegrammeni
ἇ Greek Small Letter Alpha With Dasia And Perispomeni
Ἇ Greek Capital Letter Alpha With Dasia And Perispomeni
ᾇ Greek Small Letter Alpha With Dasia And Perispomeni And Ypogegrammeni
ᾏ Greek Capital Letter Alpha With Dasia And Perispomeni And Prosgegrammeni
ᾁ Greek Small Letter Alpha With Dasia And Ypogegrammeni
ᾉ Greek Capital Letter Alpha With Dasia And Prosgegrammeni
ά Greek Small Letter Alpha With Tonos
ά Greek Small Letter Alpha With Oxia
Ά Greek Capital Letter Alpha With Tonos
Ά Greek Capital Letter Alpha With Oxia
ᾴ Greek Small Letter Alpha With Oxia And Ypogegrammeni
ὰ Greek Small Letter Alpha With Varia
Ὰ Greek Capital Letter Alpha With Varia
ᾲ Greek Small Letter Alpha With Varia And Ypogegrammeni
ᾰ Greek Small Letter Alpha With Vrachy
Ᾰ Greek Capital Letter Alpha With Vrachy
ᾶ Greek Small Letter Alpha With Perispomeni
ᾷ Greek Small Letter Alpha With Perispomeni And Ypogegrammeni
ᾱ Greek Small Letter Alpha With Macron
Ᾱ Greek Capital Letter Alpha With Macron
ᾳ Greek Small Letter Alpha With Ypogegrammeni
ᾼ Greek Capital Letter Alpha With Prosgegrammeni
β Greek Small Letter Beta
ϐ Greek Beta Symbol
Β Greek Capital Letter Beta
ᵦ Greek Subscript Small Letter Beta
γ Greek Small Letter Gamma
Γ Greek Capital Letter Gamma
ᵧ Greek Subscript Small Letter Gamma
ᴦ Greek Letter Small Capital Gamma
δ Greek Small Letter Delta
Δ Greek Capital Letter Delta
ε Greek Small Letter Epsilon
ϵ Greek Lunate Epsilon Symbol
Ε Greek Capital Letter Epsilon
ἐ Greek Small Letter Epsilon With Psili
Ἐ Greek Capital Letter Epsilon With Psili
ἔ Greek Small Letter Epsilon With Psili And Oxia
Ἔ Greek Capital Letter Epsilon With Psili And Oxia
ἒ Greek Small Letter Epsilon With Psili And Varia
Ἒ Greek Capital Letter Epsilon With Psili And Varia
ἑ Greek Small Letter Epsilon With Dasia
Ἑ Greek Capital Letter Epsilon With Dasia
ἕ Greek Small Letter Epsilon With Dasia And Oxia
Ἕ Greek Capital Letter Epsilon With Dasia And Oxia
ἓ Greek Small Letter Epsilon With Dasia And Varia
Ἓ Greek Capital Letter Epsilon With Dasia And Varia
έ Greek Small Letter Epsilon With Tonos
έ Greek Small Letter Epsilon With Oxia
Έ Greek Capital Letter Epsilon With Tonos
Έ Greek Capital Letter Epsilon With Oxia
ὲ Greek Small Letter Epsilon With Varia
Ὲ Greek Capital Letter Epsilon With Varia
ϝ Greek Small Letter Digamma
Ϝ Greek Letter Digamma
ͷ Greek Small Letter Pamphylian Digamma
Ͷ Greek Capital Letter Pamphylian Digamma
ϛ Greek Small Letter Stigma
Ϛ Greek Letter Stigma
ζ Greek Small Letter Zeta
Ζ Greek Capital Letter Zeta
ͱ Greek Small Letter Heta
Ͱ Greek Capital Letter Heta
η Greek Small Letter Eta
Η Greek Capital Letter Eta
ἠ Greek Small Letter Eta With Psili
Ἠ Greek Capital Letter Eta With Psili
ἤ Greek Small Letter Eta With Psili And Oxia
Ἤ Greek Capital Letter Eta With Psili And Oxia
ᾔ Greek Small Letter Eta With Psili And Oxia And Ypogegrammeni
ᾜ Greek Capital Letter Eta With Psili And Oxia And Prosgegrammeni
ἢ Greek Small Letter Eta With Psili And Varia
Ἢ Greek Capital Letter Eta With Psili And Varia
ᾒ Greek Small Letter Eta With Psili And Varia And Ypogegrammeni
ᾚ Greek Capital Letter Eta With Psili And Varia And Prosgegrammeni
ἦ Greek Small Letter Eta With Psili And Perispomeni
Ἦ Greek Capital Letter Eta With Psili And Perispomeni
ᾖ Greek Small Letter Eta With Psili And Perispomeni And Ypogegrammeni
ᾞ Greek Capital Letter Eta With Psili And Perispomeni And Prosgegrammeni
ᾐ Greek Small Letter Eta With Psili And Ypogegrammeni
ᾘ Greek Capital Letter Eta With Psili And Prosgegrammeni
ἡ Greek Small Letter Eta With Dasia
Ἡ Greek Capital Letter Eta With Dasia
ἥ Greek Small Letter Eta With Dasia And Oxia
Ἥ Greek Capital Letter Eta With Dasia And Oxia
ᾕ Greek Small Letter Eta With Dasia And Oxia And Ypogegrammeni
ᾝ Greek Capital Letter Eta With Dasia And Oxia And Prosgegrammeni
ἣ Greek Small Letter Eta With Dasia And Varia
Ἣ Greek Capital Letter Eta With Dasia And Varia
ᾓ Greek Small Letter Eta With Dasia And Varia And Ypogegrammeni
ᾛ Greek Capital Letter Eta With Dasia And Varia And Prosgegrammeni
ἧ Greek Small Letter Eta With Dasia And Perispomeni
Ἧ Greek Capital Letter Eta With Dasia And Perispomeni
ᾗ Greek Small Letter Eta With Dasia And Perispomeni And Ypogegrammeni
ᾟ Greek Capital Letter Eta With Dasia And Perispomeni And Prosgegrammeni
ᾑ Greek Small Letter Eta With Dasia And Ypogegrammeni
ᾙ Greek Capital Letter Eta With Dasia And Prosgegrammeni
ή Greek Small Letter Eta With Tonos
ή Greek Small Letter Eta With Oxia
Ή Greek Capital Letter Eta With Tonos
Ή Greek Capital Letter Eta With Oxia
ῄ Greek Small Letter Eta With Oxia And Ypogegrammeni
ὴ Greek Small Letter Eta With Varia
Ὴ Greek Capital Letter Eta With Varia
ῂ Greek Small Letter Eta With Varia And Ypogegrammeni
ῆ Greek Small Letter Eta With Perispomeni
ῇ Greek Small Letter Eta With Perispomeni And Ypogegrammeni
ῃ Greek Small Letter Eta With Ypogegrammeni
ῌ Greek Capital Letter Eta With Prosgegrammeni
θ Greek Small Letter Theta
ϑ Greek Theta Symbol
Θ Greek Capital Letter Theta
ϴ Greek Capital Theta Symbol
ι Greek Small Letter Iota
ι Greek Prosgegrammeni
ͺ Greek Ypogegrammeni
Ι Greek Capital Letter Iota
ἰ Greek Small Letter Iota With Psili
Ἰ Greek Capital Letter Iota With Psili
ἴ Greek Small Letter Iota With Psili And Oxia
Ἴ Greek Capital Letter Iota With Psili And Oxia
ἲ Greek Small Letter Iota With Psili And Varia
Ἲ Greek Capital Letter Iota With Psili And Varia
ἶ Greek Small Letter Iota With Psili And Perispomeni
Ἶ Greek Capital Letter Iota With Psili And Perispomeni
ἱ Greek Small Letter Iota With Dasia
Ἱ Greek Capital Letter Iota With Dasia
ἵ Greek Small Letter Iota With Dasia And Oxia
Ἵ Greek Capital Letter Iota With Dasia And Oxia
ἳ Greek Small Letter Iota With Dasia And Varia
Ἳ Greek Capital Letter Iota With Dasia And Varia
ἷ Greek Small Letter Iota With Dasia And Perispomeni
Ἷ Greek Capital Letter Iota With Dasia And Perispomeni
ί Greek Small Letter Iota With Tonos
ί Greek Small Letter Iota With Oxia
Ί Greek Capital Letter Iota With Tonos
Ί Greek Capital Letter Iota With Oxia
ὶ Greek Small Letter Iota With Varia
Ὶ Greek Capital Letter Iota With Varia
ῐ Greek Small Letter Iota With Vrachy
Ῐ Greek Capital Letter Iota With Vrachy
ῖ Greek Small Letter Iota With Perispomeni
ϊ Greek Small Letter Iota With Dialytika
Ϊ Greek Capital Letter Iota With Dialytika
ΐ Greek Small Letter Iota With Dialytika And Tonos
ΐ Greek Small Letter Iota With Dialytika And Oxia
ῒ Greek Small Letter Iota With Dialytika And Varia
ῗ Greek Small Letter Iota With Dialytika And Perispomeni
ῑ Greek Small Letter Iota With Macron
Ῑ Greek Capital Letter Iota With Macron
ϳ Greek Letter Yot
Ϳ Greek Capital Letter Yot
κ Greek Small Letter Kappa
ϰ Greek Kappa Symbol
Κ Greek Capital Letter Kappa
ϗ Greek Kai Symbol
Ϗ Greek Capital Kai Symbol
λ Greek Small Letter Lamda
Λ Greek Capital Letter Lamda
ᴧ Greek Letter Small Capital Lamda
μ Greek Small Letter Mu
Μ Greek Capital Letter Mu
ν Greek Small Letter Nu
Ν Greek Capital Letter Nu
ξ Greek Small Letter Xi
Ξ Greek Capital Letter Xi
ο Greek Small Letter Omicron
Ο Greek Capital Letter Omicron
ὀ Greek Small Letter Omicron With Psili
Ὀ Greek Capital Letter Omicron With Psili
ὄ Greek Small Letter Omicron With Psili And Oxia
Ὄ Greek Capital Letter Omicron With Psili And Oxia
ὂ Greek Small Letter Omicron With Psili And Varia
Ὂ Greek Capital Letter Omicron With Psili And Varia
ὁ Greek Small Letter Omicron With Dasia
Ὁ Greek Capital Letter Omicron With Dasia
ὅ Greek Small Letter Omicron With Dasia And Oxia
Ὅ Greek Capital Letter Omicron With Dasia And Oxia
ὃ Greek Small Letter Omicron With Dasia And Varia
Ὃ Greek Capital Letter Omicron With Dasia And Varia
ό Greek Small Letter Omicron With Tonos
ό Greek Small Letter Omicron With Oxia
Ό Greek Capital Letter Omicron With Tonos
Ό Greek Capital Letter Omicron With Oxia
ὸ Greek Small Letter Omicron With Varia
Ὸ Greek Capital Letter Omicron With Varia
π Greek Small Letter Pi
ϖ Greek Pi Symbol
Π Greek Capital Letter Pi
ᴨ Greek Letter Small Capital Pi
ϻ Greek Small Letter San
Ϻ Greek Capital Letter San
ϟ Greek Small Letter Koppa
Ϟ Greek Letter Koppa
