ઁ Gujarati Sign Candrabindu
ં Gujarati Sign Anusvara
ઃ Gujarati Sign Visarga
અ Gujarati Letter A
આ Gujarati Letter Aa
ઇ Gujarati Letter I
ઈ Gujarati Letter Ii
ઉ Gujarati Letter U
ઊ Gujarati Letter Uu
ઋ Gujarati Letter Vocalic R
ઌ Gujarati Letter Vocalic L
ઍ Gujarati Vowel Candra E
એ Gujarati Letter E
ઐ Gujarati Letter Ai
ઑ Gujarati Vowel Candra O
ઓ Gujarati Letter O
ઔ Gujarati Letter Au
ક Gujarati Letter Ka
ખ Gujarati Letter Kha
ગ Gujarati Letter Ga
ઘ Gujarati Letter Gha
ઙ Gujarati Letter Nga
ચ Gujarati Letter Ca
છ Gujarati Letter Cha
જ Gujarati Letter Ja
ઝ Gujarati Letter Jha
ઞ Gujarati Letter Nya
ટ Gujarati Letter Tta
ઠ Gujarati Letter Ttha
ડ Gujarati Letter Dda
ઢ Gujarati Letter Ddha
ણ Gujarati Letter Nna
ત Gujarati Letter Ta
થ Gujarati Letter Tha
દ Gujarati Letter Da
ધ Gujarati Letter Dha
ન Gujarati Letter Na
પ Gujarati Letter Pa
ફ Gujarati Letter Pha
બ Gujarati Letter Ba
ભ Gujarati Letter Bha
મ Gujarati Letter Ma
ય Gujarati Letter Ya
ર Gujarati Letter Ra
લ Gujarati Letter La
ળ Gujarati Letter Lla
વ Gujarati Letter Va
શ Gujarati Letter Sha
ષ Gujarati Letter Ssa
સ Gujarati Letter Sa
હ Gujarati Letter Ha
઼ Gujarati Sign Nukta
ઽ Gujarati Sign Avagraha
ા Gujarati Vowel Sign Aa
િ Gujarati Vowel Sign I
ી Gujarati Vowel Sign Ii
ુ Gujarati Vowel Sign U
ૂ Gujarati Vowel Sign Uu
ૃ Gujarati Vowel Sign Vocalic R
ૄ Gujarati Vowel Sign Vocalic Rr
ૅ Gujarati Vowel Sign Candra E
ે Gujarati Vowel Sign E
ૈ Gujarati Vowel Sign Ai
ૉ Gujarati Vowel Sign Candra O
ો Gujarati Vowel Sign O
ૌ Gujarati Vowel Sign Au
્ Gujarati Sign Virama
ૐ Gujarati Om
ૠ Gujarati Letter Vocalic Rr
ૡ Gujarati Letter Vocalic Ll
ૢ Gujarati Vowel Sign Vocalic L
ૣ Gujarati Vowel Sign Vocalic Ll
૦ Gujarati Digit Zero
૧ Gujarati Digit One
૨ Gujarati Digit Two
૩ Gujarati Digit Three
૪ Gujarati Digit Four
૫ Gujarati Digit Five
૬ Gujarati Digit Six
૭ Gujarati Digit Seven
૮ Gujarati Digit Eight
૯ Gujarati Digit Nine
૰ Gujarati Abbreviation Sign
૱ Gujarati Rupee Sign
ૹ Gujarati Letter Zha
ૺ Gujarati Sign Sukun
ૻ Gujarati Sign Shadda
ૼ Gujarati Sign Maddah
૽ Gujarati Sign Three-Dot Nukta Above
૾ Gujarati Sign Circle Nukta Above
૿ Gujarati Sign Two-Circle Nukta Above
