𖄀 Gurung Khema Letter A
𖄁 Gurung Khema Letter Ka
𖄂 Gurung Khema Letter Kha
𖄃 Gurung Khema Letter Ga
𖄄 Gurung Khema Letter Gha
𖄅 Gurung Khema Letter Nga
𖄆 Gurung Khema Letter Ca
𖄇 Gurung Khema Letter Cha
𖄈 Gurung Khema Letter Ja
𖄉 Gurung Khema Letter Jha
𖄊 Gurung Khema Letter Ha
𖄋 Gurung Khema Letter Tta
𖄌 Gurung Khema Letter Ttha
𖄍 Gurung Khema Letter Dda
𖄎 Gurung Khema Letter Ddha
𖄏 Gurung Khema Letter Va
𖄐 Gurung Khema Letter Ta
𖄑 Gurung Khema Letter Tha
𖄒 Gurung Khema Letter Da
𖄓 Gurung Khema Letter Dha
𖄔 Gurung Khema Letter Na
𖄕 Gurung Khema Letter Pa
𖄖 Gurung Khema Letter Pha
𖄗 Gurung Khema Letter Ba
𖄘 Gurung Khema Letter Bha
𖄙 Gurung Khema Letter Ma
𖄚 Gurung Khema Letter Ya
𖄛 Gurung Khema Letter Ra
𖄜 Gurung Khema Letter La
𖄝 Gurung Khema Letter Sa
𖄞 Gurung Khema Vowel Sign Aa
𖄟 Gurung Khema Vowel Sign I
𖄠 Gurung Khema Vowel Sign Ii
𖄡 Gurung Khema Vowel Sign U
𖄢 Gurung Khema Vowel Sign Uu
𖄣 Gurung Khema Vowel Sign E
𖄤 Gurung Khema Vowel Sign Ee
𖄥 Gurung Khema Vowel Sign Ai
𖄦 Gurung Khema Vowel Sign O
𖄧 Gurung Khema Vowel Sign Oo
𖄨 Gurung Khema Vowel Sign Au
𖄩 Gurung Khema Vowel Length Mark
𖄪 Gurung Khema Consonant Sign Medial Ya
𖄫 Gurung Khema Consonant Sign Medial Va
𖄬 Gurung Khema Consonant Sign Medial Ha
𖄭 Gurung Khema Sign Anusvara
𖄮 Gurung Khema Consonant Sign Medial Ra
𖄯 Gurung Khema Sign Tholhoma
𖄰 Gurung Khema Digit Zero
𖄱 Gurung Khema Digit One
𖄲 Gurung Khema Digit Two
𖄳 Gurung Khema Digit Three
𖄴 Gurung Khema Digit Four
𖄵 Gurung Khema Digit Five
𖄶 Gurung Khema Digit Six
𖄷 Gurung Khema Digit Seven
𖄸 Gurung Khema Digit Eight
𖄹 Gurung Khema Digit Nine
