ힰ Hangul Jungseong O-Yeo
ힱ Hangul Jungseong O-O-I
ힲ Hangul Jungseong Yo-A
ힳ Hangul Jungseong Yo-Ae
ힴ Hangul Jungseong Yo-Eo
ힵ Hangul Jungseong U-Yeo
ힶ Hangul Jungseong U-I-I
ힷ Hangul Jungseong Yu-Ae
ힸ Hangul Jungseong Yu-O
ힹ Hangul Jungseong Eu-A
ힺ Hangul Jungseong Eu-Eo
ힻ Hangul Jungseong Eu-E
ힼ Hangul Jungseong Eu-O
ힽ Hangul Jungseong I-Ya-O
ힾ Hangul Jungseong I-Yae
ힿ Hangul Jungseong I-Yeo
ퟀ Hangul Jungseong I-Ye
ퟁ Hangul Jungseong I-O-I
ퟂ Hangul Jungseong I-Yo
ퟃ Hangul Jungseong I-Yu
ퟄ Hangul Jungseong I-I
ퟅ Hangul Jungseong Araea-A
ퟆ Hangul Jungseong Araea-E
ퟋ Hangul Jongseong Nieun-Rieul
ퟌ Hangul Jongseong Nieun-Chieuch
ퟍ Hangul Jongseong Ssangtikeut
ퟎ Hangul Jongseong Ssangtikeut-Pieup
ퟏ Hangul Jongseong Tikeut-Pieup
ퟐ Hangul Jongseong Tikeut-Sios
ퟑ Hangul Jongseong Tikeut-Sios-Kiyeok
ퟒ Hangul Jongseong Tikeut-Cieuc
ퟓ Hangul Jongseong Tikeut-Chieuch
ퟔ Hangul Jongseong Tikeut-Thieuth
ퟕ Hangul Jongseong Rieul-Ssangkiyeok
ퟖ Hangul Jongseong Rieul-Kiyeok-Hieuh
ퟗ Hangul Jongseong Ssangrieul-Khieukh
ퟘ Hangul Jongseong Rieul-Mieum-Hieuh
ퟙ Hangul Jongseong Rieul-Pieup-Tikeut
ퟚ Hangul Jongseong Rieul-Pieup-Phieuph
ퟛ Hangul Jongseong Rieul-Yesieung
ퟜ Hangul Jongseong Rieul-Yeorinhieuh-Hieuh
ퟝ Hangul Jongseong Kapyeounrieul
ퟞ Hangul Jongseong Mieum-Nieun
ퟟ Hangul Jongseong Mieum-Ssangnieun
ퟠ Hangul Jongseong Ssangmieum
ퟡ Hangul Jongseong Mieum-Pieup-Sios
ퟢ Hangul Jongseong Mieum-Cieuc
ퟣ Hangul Jongseong Pieup-Tikeut
ퟤ Hangul Jongseong Pieup-Rieul-Phieuph
ퟥ Hangul Jongseong Pieup-Mieum
ퟦ Hangul Jongseong Ssangpieup
ퟧ Hangul Jongseong Pieup-Sios-Tikeut
ퟨ Hangul Jongseong Pieup-Cieuc
ퟩ Hangul Jongseong Pieup-Chieuch
ퟪ Hangul Jongseong Sios-Mieum
ퟫ Hangul Jongseong Sios-Kapyeounpieup
ퟬ Hangul Jongseong Ssangsios-Kiyeok
ퟭ Hangul Jongseong Ssangsios-Tikeut
ퟮ Hangul Jongseong Sios-Pansios
ퟯ Hangul Jongseong Sios-Cieuc
ퟰ Hangul Jongseong Sios-Chieuch
ퟱ Hangul Jongseong Sios-Thieuth
ퟲ Hangul Jongseong Sios-Hieuh
ퟳ Hangul Jongseong Pansios-Pieup
ퟴ Hangul Jongseong Pansios-Kapyeounpieup
ퟵ Hangul Jongseong Yesieung-Mieum
ퟶ Hangul Jongseong Yesieung-Hieuh
ퟷ Hangul Jongseong Cieuc-Pieup
ퟸ Hangul Jongseong Cieuc-Ssangpieup
ퟹ Hangul Jongseong Ssangcieuc
ퟺ Hangul Jongseong Phieuph-Sios
ퟻ Hangul Jongseong Phieuph-Thieuth
