𙆠 Jurchen Radical-01
𙆡 Jurchen Radical-02
𙆢 Jurchen Radical-03
𙆣 Jurchen Radical-04
𙆤 Jurchen Radical-05
𙆥 Jurchen Radical-06
𙆦 Jurchen Radical-07
𙆧 Jurchen Radical-08
𙆨 Jurchen Radical-09
𙆩 Jurchen Radical-10
𙆪 Jurchen Radical-11
𙆫 Jurchen Radical-12
𙆬 Jurchen Radical-13
𙆭 Jurchen Radical-14
𙆮 Jurchen Radical-15
𙆯 Jurchen Radical-16
𙆰 Jurchen Radical-17
𙆱 Jurchen Radical-18
𙆲 Jurchen Radical-19
𙆳 Jurchen Radical-20
𙆴 Jurchen Radical-21
𙆵 Jurchen Radical-22
𙆶 Jurchen Radical-23
𙆷 Jurchen Radical-24
𙆸 Jurchen Radical-25
𙆹 Jurchen Radical-26
𙆺 Jurchen Radical-27
𙆻 Jurchen Radical-28
𙆼 Jurchen Radical-29
𙆽 Jurchen Radical-30
𙆾 Jurchen Radical-31
𙆿 Jurchen Radical-32
𙇀 Jurchen Radical-33
𙇁 Jurchen Radical-34
𙇂 Jurchen Radical-35
𙇃 Jurchen Radical-36
𙇄 Jurchen Radical-37
𙇅 Jurchen Radical-38
𙇆 Jurchen Radical-39
𙇇 Jurchen Radical-40
𙇈 Jurchen Radical-41
𙇉 Jurchen Radical-42
𙇊 Jurchen Radical-43
𙇋 Jurchen Radical-44
𙇌 Jurchen Radical-45
𙇍 Jurchen Radical-46
𙇎 Jurchen Radical-47
𙇏 Jurchen Radical-48
𙇐 Jurchen Radical-49
𙇑 Jurchen Radical-50
𙇒 Jurchen Radical-51
