𑂀 Kaithi Sign Candrabindu
𑂁 Kaithi Sign Anusvara
𑂂 Kaithi Sign Visarga
𑂃 Kaithi Letter A
𑂄 Kaithi Letter Aa
𑂅 Kaithi Letter I
𑂆 Kaithi Letter Ii
𑂇 Kaithi Letter U
𑂈 Kaithi Letter Uu
𑂉 Kaithi Letter E
𑂊 Kaithi Letter Ai
𑂋 Kaithi Letter O
𑂌 Kaithi Letter Au
𑂍 Kaithi Letter Ka
𑂎 Kaithi Letter Kha
𑂏 Kaithi Letter Ga
𑂐 Kaithi Letter Gha
𑂑 Kaithi Letter Nga
𑂒 Kaithi Letter Ca
𑂓 Kaithi Letter Cha
𑂔 Kaithi Letter Ja
𑂕 Kaithi Letter Jha
𑂖 Kaithi Letter Nya
𑂗 Kaithi Letter Tta
𑂘 Kaithi Letter Ttha
𑂙 Kaithi Letter Dda
𑂚 Kaithi Letter Dddha
𑂛 Kaithi Letter Ddha
𑂜 Kaithi Letter Rha
𑂝 Kaithi Letter Nna
𑂞 Kaithi Letter Ta
𑂟 Kaithi Letter Tha
𑂠 Kaithi Letter Da
𑂡 Kaithi Letter Dha
𑂢 Kaithi Letter Na
𑂣 Kaithi Letter Pa
𑂤 Kaithi Letter Pha
𑂥 Kaithi Letter Ba
𑂦 Kaithi Letter Bha
𑂧 Kaithi Letter Ma
𑂨 Kaithi Letter Ya
𑂩 Kaithi Letter Ra
𑂪 Kaithi Letter La
𑂫 Kaithi Letter Va
𑂬 Kaithi Letter Sha
𑂭 Kaithi Letter Ssa
𑂮 Kaithi Letter Sa
𑂯 Kaithi Letter Ha
𑂰 Kaithi Vowel Sign Aa
𑂱 Kaithi Vowel Sign I
𑂲 Kaithi Vowel Sign Ii
𑂳 Kaithi Vowel Sign U
𑂴 Kaithi Vowel Sign Uu
𑂵 Kaithi Vowel Sign E
𑂶 Kaithi Vowel Sign Ai
𑂷 Kaithi Vowel Sign O
𑂸 Kaithi Vowel Sign Au
𑂹 Kaithi Sign Virama
𑂺 Kaithi Sign Nukta
𑂻 Kaithi Abbreviation Sign
𑂼 Kaithi Enumeration Sign
𑂽 Kaithi Number Sign
𑂾 Kaithi Section Mark
𑂿 Kaithi Double Section Mark
𑃀 Kaithi Danda
𑃁 Kaithi Double Danda
𑃂 Kaithi Vowel Sign Vocalic R
𑃍 Kaithi Number Sign Above
