𝋀 Kaktovik Numeral Zero
𝋁 Kaktovik Numeral One
𝋂 Kaktovik Numeral Two
𝋃 Kaktovik Numeral Three
𝋄 Kaktovik Numeral Four
𝋅 Kaktovik Numeral Five
𝋆 Kaktovik Numeral Six
𝋇 Kaktovik Numeral Seven
𝋈 Kaktovik Numeral Eight
𝋉 Kaktovik Numeral Nine
𝋊 Kaktovik Numeral Ten
𝋋 Kaktovik Numeral Eleven
𝋌 Kaktovik Numeral Twelve
𝋍 Kaktovik Numeral Thirteen
𝋎 Kaktovik Numeral Fourteen
𝋏 Kaktovik Numeral Fifteen
𝋐 Kaktovik Numeral Sixteen
𝋑 Kaktovik Numeral Seventeen
𝋒 Kaktovik Numeral Eighteen
𝋓 Kaktovik Numeral Nineteen
