𛄀 Hentaigana Letter Re-3
𛄁 Hentaigana Letter Re-4
𛄂 Hentaigana Letter Ro-1
𛄃 Hentaigana Letter Ro-2
𛄄 Hentaigana Letter Ro-3
𛄅 Hentaigana Letter Ro-4
𛄆 Hentaigana Letter Ro-5
𛄇 Hentaigana Letter Ro-6
𛄈 Hentaigana Letter Wa-1
𛄉 Hentaigana Letter Wa-2
𛄊 Hentaigana Letter Wa-3
𛄋 Hentaigana Letter Wa-4
𛄌 Hentaigana Letter Wa-5
𛄍 Hentaigana Letter Wi-1
𛄎 Hentaigana Letter Wi-2
𛄏 Hentaigana Letter Wi-3
𛄐 Hentaigana Letter Wi-4
𛄑 Hentaigana Letter Wi-5
𛄒 Hentaigana Letter We-1
𛄓 Hentaigana Letter We-2
𛄔 Hentaigana Letter We-3
𛄕 Hentaigana Letter We-4
𛄖 Hentaigana Letter Wo-1
𛄗 Hentaigana Letter Wo-2
𛄘 Hentaigana Letter Wo-3
𛄙 Hentaigana Letter Wo-4
𛄚 Hentaigana Letter Wo-5
𛄛 Hentaigana Letter Wo-6
𛄜 Hentaigana Letter Wo-7
𛄝 Hentaigana Letter N-Mu-Mo-1
𛄞 Hentaigana Letter N-Mu-Mo-2
𛄟 Hiragana Letter Archaic Wu
𛄠 Katakana Letter Archaic Yi
𛄡 Katakana Letter Archaic Ye
𛄢 Katakana Letter Archaic Wu
𛄣 Hiragana Digraph Koto
𛄤 Katakana Digraph Toki
𛄥 Katakana Digraph Tote
𛄦 Katakana Digraph Yori
𛄧 Katakana Letter Alternate Ne
𛄨 Katakana Letter Alternate Wi
