(⊃‿⊂) hide
|_・) hide
|･ω･｀) hide
｜−・;） hide
|ω・） hide
|ω･)و ̑̑༉ hide
( ͒•·̫| hide
┬┴┬┴┤(･_├┬┴┬┴ hide
ﾍ(･_| hide
|₋ॢọ̶̶̷̥᷅๑)‧˚⁺ hide
川o･-･)ﾉ hide, wave
┻┳|･ω･) hide
┻┳|･ω･)ﾉ hide, wave
(*σᴗσ)(ㅎᴗㅎ )　｜‸눈;) hide
| ू•ૅω•́)ᵎᵎᵎ hide
（・⊝・） bird
（・⊝・∞） bird
（・θ・） bird
（＠◇＠） bird
(•∋•) bird
（`･⊝･´ ） bird
(`･⊝･´) bird
(｀Θ´) bird
(°<°) bird
（ﾟ∈ﾟ） bird
(◉Θ◉) bird
(●∈∋●) bird
<（ё）> bird
~~……ヾლ∩з…….~~ bird
⊹⋛⋋( ՞ਊ ՞)⋌⋚⊹ bird
◎▼◎ bird
ˏ₍•ɞ•₎ˎ bird
ˎ₍•ʚ•₎ˏ bird
♡(㋭ ਊ ㋲)♡ bird, love
꜀( ˊ̠˂˃ˋ̠ )꜆ bird
ꉂ (๑¯ਊ¯)σ bird
(╯°□°）╯︵ ┻━┻ table flip
┬──┬◡ﾉ(° -°ﾉ) table flip
(╯°Д°）╯︵/(.□ . \) table flip
(ノಠ益ಠ)ノ彡┻━┻ table flip
(ノಠ ∩ಠ)ノ彡( \o°o)\ table flip
(╯°□°)╯︵ ʞooqǝɔɐℲ table flip
ノ┬─┬ノ ︵ ( \o°o)\ table flip
/( .□.)\ ︵╰(゜益゜)╯︵ /(.□. /) table flip
(∿°○°)∿ ︵ ǝʌol table flip, love
ʕノ•ᴥ•ʔノ ︵ ┻━┻ table flip, animal
(/¯◡ ‿ ◡)/¯ ~ ┻━┻ table flip
( ｀o)ﾉﾉ ┫ table flip
( ﾉo|o)ﾉ ┫｡ﾟ:.: table flip
（；－－）ノノ ┫：・゜’ table flip
(/-o-)/ ⌒ ┤ table flip
(/#-_-)/~┻┻〃 table flip
(/｀ο´)/ ⌒ ┫:’ﾟ:｡･,. 。゜ table flip
（/＞□＜）/亠亠 table flip
(/ToT)/ ~┻┻ table flip
(/ToT)/_┫・.. table flip
(ノ ﾟДﾟ)ノ　＝＝＝＝　┻━━┻ table flip
(ノ-_-)ノ ~┻━┻ table flip
(ノ-_-)ノ ~┻━┻ (/o＼) table flip
(ﾉ-_-)ﾉ ~┻━┻ ☆` table flip
(ノ－＿－）ノ　┫〝〟∵ table flip
（ノ－＿－）ノ・・・~~~┻┻ table flip
(ノ-_-)ノ・・・~~┻━┻ table flip
（ノ－＿－）ノ･･･~┻┻ table flip
(ノ-_-)ノ~┻━┻ table flip
(ノ-。-）ノ┻━┻☆(　　^) table flip
(ノ-0-)ノ　┫∵：． table flip
