𑼀 Kawi Sign Candrabindu
𑼁 Kawi Sign Anusvara
𑼂 Kawi Sign Repha
𑼃 Kawi Sign Visarga
𑼄 Kawi Letter A
𑼅 Kawi Letter Aa
𑼆 Kawi Letter I
𑼇 Kawi Letter Ii
𑼈 Kawi Letter U
𑼉 Kawi Letter Uu
𑼊 Kawi Letter Vocalic R
𑼋 Kawi Letter Vocalic Rr
𑼌 Kawi Letter Vocalic L
𑼍 Kawi Letter Vocalic Ll
𑼎 Kawi Letter E
𑼏 Kawi Letter Ai
𑼐 Kawi Letter O
𑼒 Kawi Letter Ka
𑼓 Kawi Letter Kha
𑼔 Kawi Letter Ga
𑼕 Kawi Letter Gha
𑼖 Kawi Letter Nga
𑼗 Kawi Letter Ca
𑼘 Kawi Letter Cha
𑼙 Kawi Letter Ja
𑼚 Kawi Letter Jha
𑼛 Kawi Letter Nya
𑼜 Kawi Letter Tta
𑼝 Kawi Letter Ttha
𑼞 Kawi Letter Dda
𑼟 Kawi Letter Ddha
𑼠 Kawi Letter Nna
𑼡 Kawi Letter Ta
𑼢 Kawi Letter Tha
𑼣 Kawi Letter Da
𑼤 Kawi Letter Dha
𑼥 Kawi Letter Na
𑼦 Kawi Letter Pa
𑼧 Kawi Letter Pha
𑼨 Kawi Letter Ba
𑼩 Kawi Letter Bha
𑼪 Kawi Letter Ma
𑼫 Kawi Letter Ya
𑼬 Kawi Letter Ra
𑼭 Kawi Letter La
𑼮 Kawi Letter Wa
𑼯 Kawi Letter Sha
𑼰 Kawi Letter Ssa
𑼱 Kawi Letter Sa
𑼲 Kawi Letter Ha
𑼳 Kawi Letter Jnya
𑼴 Kawi Vowel Sign Aa
𑼵 Kawi Vowel Sign Alternate Aa
𑼶 Kawi Vowel Sign I
𑼷 Kawi Vowel Sign Ii
𑼸 Kawi Vowel Sign U
𑼹 Kawi Vowel Sign Uu
𑼺 Kawi Vowel Sign Vocalic R
𑼾 Kawi Vowel Sign E
𑼿 Kawi Vowel Sign Ai
𑽀 Kawi Vowel Sign Eu
𑽁 Kawi Sign Killer
𑽂 Kawi Conjoiner
𑽃 Kawi Danda
𑽄 Kawi Double Danda
𑽅 Kawi Punctuation Section Marker
𑽆 Kawi Punctuation Alternate Section Marker
𑽇 Kawi Punctuation Flower
𑽈 Kawi Punctuation Space Filler
𑽉 Kawi Punctuation Dot
𑽊 Kawi Punctuation Double Dot
𑽋 Kawi Punctuation Triple Dot
𑽌 Kawi Punctuation Circle
𑽍 Kawi Punctuation Filled Circle
𑽎 Kawi Punctuation Spiral
𑽏 Kawi Punctuation Closing Spiral
𑽐 Kawi Digit Zero
𑽑 Kawi Digit One
𑽒 Kawi Digit Two
𑽓 Kawi Digit Three
𑽔 Kawi Digit Four
𑽕 Kawi Digit Five
𑽖 Kawi Digit Six
𑽗 Kawi Digit Seven
𑽘 Kawi Digit Eight
𑽙 Kawi Digit Nine
