𑊰 Khudawadi Letter A
𑊱 Khudawadi Letter Aa
𑊲 Khudawadi Letter I
𑊳 Khudawadi Letter Ii
𑊴 Khudawadi Letter U
𑊵 Khudawadi Letter Uu
𑊶 Khudawadi Letter E
𑊷 Khudawadi Letter Ai
𑊸 Khudawadi Letter O
𑊹 Khudawadi Letter Au
𑊺 Khudawadi Letter Ka
𑊻 Khudawadi Letter Kha
𑊼 Khudawadi Letter Ga
𑊽 Khudawadi Letter Gga
𑊾 Khudawadi Letter Gha
𑊿 Khudawadi Letter Nga
𑋀 Khudawadi Letter Ca
𑋁 Khudawadi Letter Cha
𑋂 Khudawadi Letter Ja
𑋃 Khudawadi Letter Jja
𑋄 Khudawadi Letter Jha
𑋅 Khudawadi Letter Nya
𑋆 Khudawadi Letter Tta
𑋇 Khudawadi Letter Ttha
𑋈 Khudawadi Letter Dda
𑋉 Khudawadi Letter Ddda
𑋊 Khudawadi Letter Rra
𑋋 Khudawadi Letter Ddha
𑋌 Khudawadi Letter Nna
𑋍 Khudawadi Letter Ta
𑋎 Khudawadi Letter Tha
𑋏 Khudawadi Letter Da
𑋐 Khudawadi Letter Dha
𑋑 Khudawadi Letter Na
𑋒 Khudawadi Letter Pa
𑋓 Khudawadi Letter Pha
𑋔 Khudawadi Letter Ba
𑋕 Khudawadi Letter Bba
𑋖 Khudawadi Letter Bha
𑋗 Khudawadi Letter Ma
𑋘 Khudawadi Letter Ya
𑋙 Khudawadi Letter Ra
𑋚 Khudawadi Letter La
𑋛 Khudawadi Letter Va
𑋜 Khudawadi Letter Sha
𑋝 Khudawadi Letter Sa
𑋞 Khudawadi Letter Ha
𑋟 Khudawadi Sign Anusvara
𑋠 Khudawadi Vowel Sign Aa
𑋡 Khudawadi Vowel Sign I
𑋢 Khudawadi Vowel Sign Ii
𑋣 Khudawadi Vowel Sign U
𑋤 Khudawadi Vowel Sign Uu
𑋥 Khudawadi Vowel Sign E
𑋦 Khudawadi Vowel Sign Ai
𑋧 Khudawadi Vowel Sign O
𑋨 Khudawadi Vowel Sign Au
𑋩 Khudawadi Sign Nukta
𑋪 Khudawadi Sign Virama
𑋰 Khudawadi Digit Zero
𑋱 Khudawadi Digit One
𑋲 Khudawadi Digit Two
𑋳 Khudawadi Digit Three
𑋴 Khudawadi Digit Four
𑋵 Khudawadi Digit Five
𑋶 Khudawadi Digit Six
𑋷 Khudawadi Digit Seven
𑋸 Khudawadi Digit Eight
𑋹 Khudawadi Digit Nine
