𖵀 Kirat Rai Sign Anusvara
𖵁 Kirat Rai Sign Tonpi
𖵂 Kirat Rai Sign Visarga
𖵃 Kirat Rai Letter A
𖵄 Kirat Rai Letter Ka
𖵅 Kirat Rai Letter Kha
𖵆 Kirat Rai Letter Ga
𖵇 Kirat Rai Letter Gha
𖵈 Kirat Rai Letter Nga
𖵉 Kirat Rai Letter Ca
𖵊 Kirat Rai Letter Cha
𖵋 Kirat Rai Letter Ja
𖵌 Kirat Rai Letter Jha
𖵍 Kirat Rai Letter Nya
𖵎 Kirat Rai Letter Tta
𖵏 Kirat Rai Letter Ttha
𖵐 Kirat Rai Letter Dda
𖵑 Kirat Rai Letter Ddha
𖵒 Kirat Rai Letter Ta
𖵓 Kirat Rai Letter Tha
𖵔 Kirat Rai Letter Da
𖵕 Kirat Rai Letter Dha
𖵖 Kirat Rai Letter Na
𖵗 Kirat Rai Letter Pa
𖵘 Kirat Rai Letter Pha
𖵙 Kirat Rai Letter Ba
𖵚 Kirat Rai Letter Bha
𖵛 Kirat Rai Letter Ma
𖵜 Kirat Rai Letter Ya
𖵝 Kirat Rai Letter Ra
𖵞 Kirat Rai Letter La
𖵟 Kirat Rai Letter Va
𖵠 Kirat Rai Letter Sa
𖵡 Kirat Rai Letter Sha
𖵢 Kirat Rai Letter Ha
𖵣 Kirat Rai Vowel Sign Aa
𖵤 Kirat Rai Vowel Sign I
𖵥 Kirat Rai Vowel Sign U
𖵦 Kirat Rai Vowel Sign Ue
𖵧 Kirat Rai Vowel Sign E
𖵨 Kirat Rai Vowel Sign Ai
𖵩 Kirat Rai Vowel Sign O
𖵪 Kirat Rai Vowel Sign Au
𖵫 Kirat Rai Sign Virama
𖵬 Kirat Rai Sign Saat
𖵭 Kirat Rai Sign Yupi
𖵮 Kirat Rai Danda
𖵯 Kirat Rai Double Danda
𖵰 Kirat Rai Digit Zero
𖵱 Kirat Rai Digit One
𖵲 Kirat Rai Digit Two
𖵳 Kirat Rai Digit Three
𖵴 Kirat Rai Digit Four
𖵵 Kirat Rai Digit Five
𖵶 Kirat Rai Digit Six
𖵷 Kirat Rai Digit Seven
𖵸 Kirat Rai Digit Eight
𖵹 Kirat Rai Digit Nine
