ກ Lao Letter Ko
ຂ Lao Letter Kho Sung
ຄ Lao Letter Kho Tam
ຆ Lao Letter Pali Gha
ງ Lao Letter Ngo
ຈ Lao Letter Co
ຉ Lao Letter Pali Cha
ຊ Lao Letter So Tam
ຌ Lao Letter Pali Jha
ຍ Lao Letter Nyo
ຎ Lao Letter Pali Nya
ຏ Lao Letter Pali Tta
ຐ Lao Letter Pali Ttha
ຑ Lao Letter Pali Dda
ຒ Lao Letter Pali Ddha
ຓ Lao Letter Pali Nna
ດ Lao Letter Do
ຕ Lao Letter To
ຖ Lao Letter Tho Sung
ທ Lao Letter Tho Tam
ຘ Lao Letter Pali Dha
ນ Lao Letter No
ບ Lao Letter Bo
ປ Lao Letter Po
ຜ Lao Letter Pho Sung
ຝ Lao Letter Fo Tam
ພ Lao Letter Pho Tam
ຟ Lao Letter Fo Sung
ຠ Lao Letter Pali Bha
ມ Lao Letter Mo
ຢ Lao Letter Yo
ຣ Lao Letter Lo Ling
ລ Lao Letter Lo Loot
ວ Lao Letter Wo
ຨ Lao Letter Sanskrit Sha
ຩ Lao Letter Sanskrit Ssa
ສ Lao Letter So Sung
ຫ Lao Letter Ho Sung
ຬ Lao Letter Pali Lla
ອ Lao Letter O
ຮ Lao Letter Ho Tam
ຯ Lao Ellipsis
ະ Lao Vowel Sign A
ັ Lao Vowel Sign Mai Kan
າ Lao Vowel Sign Aa
ຳ Lao Vowel Sign Am
ິ Lao Vowel Sign I
ີ Lao Vowel Sign Ii
ຶ Lao Vowel Sign Y
ື Lao Vowel Sign Yy
ຸ Lao Vowel Sign U
ູ Lao Vowel Sign Uu
຺ Lao Sign Pali Virama
ົ Lao Vowel Sign Mai Kon
ຼ Lao Semivowel Sign Lo
ຽ Lao Semivowel Sign Nyo
ເ Lao Vowel Sign E
ແ Lao Vowel Sign Ei
ໂ Lao Vowel Sign O
ໃ Lao Vowel Sign Ay
ໄ Lao Vowel Sign Ai
ໆ Lao Ko La
່ Lao Tone Mai Ek
້ Lao Tone Mai Tho
໊ Lao Tone Mai Ti
໋ Lao Tone Mai Catawa
໌ Lao Cancellation Mark
ໍ Lao Niggahita
໎ Lao Yamakkan
໐ Lao Digit Zero
໑ Lao Digit One
໒ Lao Digit Two
໓ Lao Digit Three
໔ Lao Digit Four
໕ Lao Digit Five
໖ Lao Digit Six
໗ Lao Digit Seven
໘ Lao Digit Eight
໙ Lao Digit Nine
ໜ Lao Ho No
ໝ Lao Ho Mo
ໞ Lao Letter Khmu Go
ໟ Lao Letter Khmu Nyo
