𑱰 Marchen Head Mark
𑱱 Marchen Mark Shad
𑱲 Marchen Letter Ka
𑱳 Marchen Letter Kha
𑱴 Marchen Letter Ga
𑱵 Marchen Letter Nga
𑱶 Marchen Letter Ca
𑱷 Marchen Letter Cha
𑱸 Marchen Letter Ja
𑱹 Marchen Letter Nya
𑱺 Marchen Letter Ta
𑱻 Marchen Letter Tha
𑱼 Marchen Letter Da
𑱽 Marchen Letter Na
𑱾 Marchen Letter Pa
𑱿 Marchen Letter Pha
𑲀 Marchen Letter Ba
𑲁 Marchen Letter Ma
𑲂 Marchen Letter Tsa
𑲃 Marchen Letter Tsha
𑲄 Marchen Letter Dza
𑲅 Marchen Letter Wa
𑲆 Marchen Letter Zha
𑲇 Marchen Letter Za
𑲈 Marchen Letter -A
𑲉 Marchen Letter Ya
𑲊 Marchen Letter Ra
𑲋 Marchen Letter La
𑲌 Marchen Letter Sha
𑲍 Marchen Letter Sa
𑲎 Marchen Letter Ha
𑲏 Marchen Letter A
𑲒 Marchen Subjoined Letter Ka
𑲓 Marchen Subjoined Letter Kha
𑲔 Marchen Subjoined Letter Ga
𑲕 Marchen Subjoined Letter Nga
𑲖 Marchen Subjoined Letter Ca
𑲗 Marchen Subjoined Letter Cha
𑲘 Marchen Subjoined Letter Ja
𑲙 Marchen Subjoined Letter Nya
𑲚 Marchen Subjoined Letter Ta
𑲛 Marchen Subjoined Letter Tha
𑲜 Marchen Subjoined Letter Da
𑲝 Marchen Subjoined Letter Na
𑲞 Marchen Subjoined Letter Pa
𑲟 Marchen Subjoined Letter Pha
𑲠 Marchen Subjoined Letter Ba
𑲡 Marchen Subjoined Letter Ma
𑲢 Marchen Subjoined Letter Tsa
𑲣 Marchen Subjoined Letter Tsha
𑲤 Marchen Subjoined Letter Dza
𑲥 Marchen Subjoined Letter Wa
𑲦 Marchen Subjoined Letter Zha
𑲧 Marchen Subjoined Letter Za
𑲩 Marchen Subjoined Letter Ya
𑲪 Marchen Subjoined Letter Ra
𑲫 Marchen Subjoined Letter La
𑲬 Marchen Subjoined Letter Sha
𑲭 Marchen Subjoined Letter Sa
𑲮 Marchen Subjoined Letter Ha
𑲯 Marchen Subjoined Letter A
𑲰 Marchen Vowel Sign Aa
𑲱 Marchen Vowel Sign I
𑲲 Marchen Vowel Sign U
𑲳 Marchen Vowel Sign E
𑲴 Marchen Vowel Sign O
𑲵 Marchen Sign Anusvara
𑲶 Marchen Sign Candrabindu
