꜀ Modifier Letter Chinese Tone Yin Ping
꜁ Modifier Letter Chinese Tone Yang Ping
꜂ Modifier Letter Chinese Tone Yin Shang
꜃ Modifier Letter Chinese Tone Yang Shang
꜄ Modifier Letter Chinese Tone Yin Qu
꜅ Modifier Letter Chinese Tone Yang Qu
꜆ Modifier Letter Chinese Tone Yin Ru
꜇ Modifier Letter Chinese Tone Yang Ru
꜈ Modifier Letter Extra-High Dotted Tone Bar
꜉ Modifier Letter High Dotted Tone Bar
꜊ Modifier Letter Mid Dotted Tone Bar
꜋ Modifier Letter Low Dotted Tone Bar
꜌ Modifier Letter Extra-Low Dotted Tone Bar
꜍ Modifier Letter Extra-High Dotted Left-Stem Tone Bar
꜎ Modifier Letter High Dotted Left-Stem Tone Bar
꜏ Modifier Letter Mid Dotted Left-Stem Tone Bar
꜐ Modifier Letter Low Dotted Left-Stem Tone Bar
꜑ Modifier Letter Extra-Low Dotted Left-Stem Tone Bar
꜒ Modifier Letter Extra-High Left-Stem Tone Bar
꜓ Modifier Letter High Left-Stem Tone Bar
꜔ Modifier Letter Mid Left-Stem Tone Bar
꜕ Modifier Letter Low Left-Stem Tone Bar
꜖ Modifier Letter Extra-Low Left-Stem Tone Bar
ꜗ Modifier Letter Dot Vertical Bar
ꜘ Modifier Letter Dot Slash
ꜙ Modifier Letter Dot Horizontal Bar
ꜚ Modifier Letter Lower Right Corner Angle
ꜛ Modifier Letter Raised Up Arrow
ꜜ Modifier Letter Raised Down Arrow
ꜝ Modifier Letter Raised Exclamation Mark
ꜞ Modifier Letter Raised Inverted Exclamation Mark
ꜟ Modifier Letter Low Inverted Exclamation Mark
