𑊀 Multani Letter A
𑊁 Multani Letter I
𑊂 Multani Letter U
𑊃 Multani Letter E
𑊄 Multani Letter Ka
𑊅 Multani Letter Kha
𑊆 Multani Letter Ga
𑊈 Multani Letter Gha
𑊊 Multani Letter Ca
𑊋 Multani Letter Cha
𑊌 Multani Letter Ja
𑊍 Multani Letter Jja
𑊏 Multani Letter Nya
𑊐 Multani Letter Tta
𑊑 Multani Letter Ttha
𑊒 Multani Letter Dda
𑊓 Multani Letter Ddda
𑊔 Multani Letter Ddha
𑊕 Multani Letter Nna
𑊖 Multani Letter Ta
𑊗 Multani Letter Tha
𑊘 Multani Letter Da
𑊙 Multani Letter Dha
𑊚 Multani Letter Na
𑊛 Multani Letter Pa
𑊜 Multani Letter Pha
𑊝 Multani Letter Ba
𑊟 Multani Letter Bha
𑊠 Multani Letter Ma
𑊡 Multani Letter Ya
𑊢 Multani Letter Ra
𑊣 Multani Letter La
𑊤 Multani Letter Va
𑊥 Multani Letter Sa
𑊦 Multani Letter Ha
𑊧 Multani Letter Rra
𑊨 Multani Letter Rha
𑊩 Multani Section Mark
