ꧠ Myanmar Letter Shan Gha
ꧡ Myanmar Letter Shan Cha
ꧢ Myanmar Letter Shan Jha
ꧣ Myanmar Letter Shan Nna
ꧤ Myanmar Letter Shan Bha
ꧥ Myanmar Sign Shan Saw
ꧦ Myanmar Modifier Letter Shan Reduplication
ꧧ Myanmar Letter Tai Laing Nya
ꧨ Myanmar Letter Tai Laing Fa
ꧩ Myanmar Letter Tai Laing Ga
ꧪ Myanmar Letter Tai Laing Gha
ꧫ Myanmar Letter Tai Laing Ja
ꧬ Myanmar Letter Tai Laing Jha
ꧭ Myanmar Letter Tai Laing Dda
ꧮ Myanmar Letter Tai Laing Ddha
ꧯ Myanmar Letter Tai Laing Nna
꧰ Myanmar Tai Laing Digit Zero
꧱ Myanmar Tai Laing Digit One
꧲ Myanmar Tai Laing Digit Two
꧳ Myanmar Tai Laing Digit Three
꧴ Myanmar Tai Laing Digit Four
꧵ Myanmar Tai Laing Digit Five
꧶ Myanmar Tai Laing Digit Six
꧷ Myanmar Tai Laing Digit Seven
꧸ Myanmar Tai Laing Digit Eight
꧹ Myanmar Tai Laing Digit Nine
ꧺ Myanmar Letter Tai Laing Lla
ꧻ Myanmar Letter Tai Laing Da
ꧼ Myanmar Letter Tai Laing Dha
ꧽ Myanmar Letter Tai Laing Ba
ꧾ Myanmar Letter Tai Laing Bha
