𑛐 Myanmar Pao Digit Zero
𑛑 Myanmar Pao Digit One
𑛒 Myanmar Pao Digit Two
𑛓 Myanmar Pao Digit Three
𑛔 Myanmar Pao Digit Four
𑛕 Myanmar Pao Digit Five
𑛖 Myanmar Pao Digit Six
𑛗 Myanmar Pao Digit Seven
𑛘 Myanmar Pao Digit Eight
𑛙 Myanmar Pao Digit Nine
𑛚 Myanmar Eastern Pwo Karen Digit Zero
𑛛 Myanmar Eastern Pwo Karen Digit One
𑛜 Myanmar Eastern Pwo Karen Digit Two
𑛝 Myanmar Eastern Pwo Karen Digit Three
𑛞 Myanmar Eastern Pwo Karen Digit Four
𑛟 Myanmar Eastern Pwo Karen Digit Five
𑛠 Myanmar Eastern Pwo Karen Digit Six
𑛡 Myanmar Eastern Pwo Karen Digit Seven
𑛢 Myanmar Eastern Pwo Karen Digit Eight
𑛣 Myanmar Eastern Pwo Karen Digit Nine
