  Ogham Space Mark
ᚁ Ogham Letter Beith
ᚂ Ogham Letter Luis
ᚃ Ogham Letter Fearn
ᚄ Ogham Letter Sail
ᚅ Ogham Letter Nion
ᚆ Ogham Letter Uath
ᚇ Ogham Letter Dair
ᚈ Ogham Letter Tinne
ᚉ Ogham Letter Coll
ᚊ Ogham Letter Ceirt
ᚋ Ogham Letter Muin
ᚌ Ogham Letter Gort
ᚍ Ogham Letter Ngeadal
ᚎ Ogham Letter Straif
ᚏ Ogham Letter Ruis
ᚐ Ogham Letter Ailm
ᚑ Ogham Letter Onn
ᚒ Ogham Letter Ur
ᚓ Ogham Letter Eadhadh
ᚔ Ogham Letter Iodhadh
ᚕ Ogham Letter Eabhadh
ᚖ Ogham Letter Or
ᚗ Ogham Letter Uilleann
ᚘ Ogham Letter Ifin
ᚙ Ogham Letter Eamhancholl
ᚚ Ogham Letter Peith
᚛ Ogham Feather Mark
᚜ Ogham Reversed Feather Mark
