᱐ Ol Chiki Digit Zero
᱑ Ol Chiki Digit One
᱒ Ol Chiki Digit Two
᱓ Ol Chiki Digit Three
᱔ Ol Chiki Digit Four
᱕ Ol Chiki Digit Five
᱖ Ol Chiki Digit Six
᱗ Ol Chiki Digit Seven
᱘ Ol Chiki Digit Eight
᱙ Ol Chiki Digit Nine
ᱚ Ol Chiki Letter La
ᱛ Ol Chiki Letter At
ᱜ Ol Chiki Letter Ag
ᱝ Ol Chiki Letter Ang
ᱞ Ol Chiki Letter Al
ᱟ Ol Chiki Letter Laa
ᱠ Ol Chiki Letter Aak
ᱡ Ol Chiki Letter Aaj
ᱢ Ol Chiki Letter Aam
ᱣ Ol Chiki Letter Aaw
ᱤ Ol Chiki Letter Li
ᱥ Ol Chiki Letter Is
ᱦ Ol Chiki Letter Ih
ᱧ Ol Chiki Letter Iny
ᱨ Ol Chiki Letter Ir
ᱩ Ol Chiki Letter Lu
ᱪ Ol Chiki Letter Uc
ᱫ Ol Chiki Letter Ud
ᱬ Ol Chiki Letter Unn
ᱭ Ol Chiki Letter Uy
ᱮ Ol Chiki Letter Le
ᱯ Ol Chiki Letter Ep
ᱰ Ol Chiki Letter Edd
ᱱ Ol Chiki Letter En
ᱲ Ol Chiki Letter Err
ᱳ Ol Chiki Letter Lo
ᱴ Ol Chiki Letter Ott
ᱵ Ol Chiki Letter Ob
ᱶ Ol Chiki Letter Ov
ᱷ Ol Chiki Letter Oh
ᱸ Ol Chiki Mu Ttuddag
ᱹ Ol Chiki Gaahlaa Ttuddaag
ᱺ Ol Chiki Mu-Gaahlaa Ttuddaag
ᱻ Ol Chiki Relaa
ᱼ Ol Chiki Phaarkaa
ᱽ Ol Chiki Ahad
᱾ Ol Chiki Punctuation Mucaad
᱿ Ol Chiki Punctuation Double Mucaad
