𞗐 Ol Onal Letter O
𞗑 Ol Onal Letter Om
𞗒 Ol Onal Letter Ong
𞗓 Ol Onal Letter Orr
𞗔 Ol Onal Letter Oo
𞗕 Ol Onal Letter Oy
𞗖 Ol Onal Letter A
𞗗 Ol Onal Letter Ad
𞗘 Ol Onal Letter Ab
𞗙 Ol Onal Letter Ah
𞗚 Ol Onal Letter Al
𞗛 Ol Onal Letter Aw
𞗜 Ol Onal Letter I
𞗝 Ol Onal Letter It
𞗞 Ol Onal Letter Ip
𞗟 Ol Onal Letter Itt
𞗠 Ol Onal Letter Id
𞗡 Ol Onal Letter In
𞗢 Ol Onal Letter U
𞗣 Ol Onal Letter Uk
𞗤 Ol Onal Letter Udd
𞗥 Ol Onal Letter Uj
𞗦 Ol Onal Letter Uny
𞗧 Ol Onal Letter Ur
𞗨 Ol Onal Letter E
𞗩 Ol Onal Letter Es
𞗪 Ol Onal Letter Eh
𞗫 Ol Onal Letter Ec
𞗬 Ol Onal Letter Enn
𞗭 Ol Onal Letter Eg
𞗮 Ol Onal Sign Mu
𞗯 Ol Onal Sign Ikir
𞗰 Ol Onal Sign Hoddond
𞗱 Ol Onal Digit Zero
𞗲 Ol Onal Digit One
𞗳 Ol Onal Digit Two
𞗴 Ol Onal Digit Three
𞗵 Ol Onal Digit Four
𞗶 Ol Onal Digit Five
𞗷 Ol Onal Digit Six
𞗸 Ol Onal Digit Seven
𞗹 Ol Onal Digit Eight
𞗺 Ol Onal Digit Nine
𞗿 Ol Onal Abbreviation Sign
