𐇐 Phaistos Disc Sign Pedestrian
𐇑 Phaistos Disc Sign Plumed Head
𐇒 Phaistos Disc Sign Tattooed Head
𐇓 Phaistos Disc Sign Captive
𐇔 Phaistos Disc Sign Child
𐇕 Phaistos Disc Sign Woman
𐇖 Phaistos Disc Sign Helmet
𐇗 Phaistos Disc Sign Gauntlet
𐇘 Phaistos Disc Sign Tiara
𐇙 Phaistos Disc Sign Arrow
𐇚 Phaistos Disc Sign Bow
𐇛 Phaistos Disc Sign Shield
𐇜 Phaistos Disc Sign Club
𐇝 Phaistos Disc Sign Manacles
𐇞 Phaistos Disc Sign Mattock
𐇟 Phaistos Disc Sign Saw
𐇠 Phaistos Disc Sign Lid
𐇡 Phaistos Disc Sign Boomerang
𐇢 Phaistos Disc Sign Carpentry Plane
𐇣 Phaistos Disc Sign Dolium
𐇤 Phaistos Disc Sign Comb
𐇥 Phaistos Disc Sign Sling
𐇦 Phaistos Disc Sign Column
𐇧 Phaistos Disc Sign Beehive
𐇨 Phaistos Disc Sign Ship
𐇩 Phaistos Disc Sign Horn
𐇪 Phaistos Disc Sign Hide
𐇫 Phaistos Disc Sign Bulls Leg
𐇬 Phaistos Disc Sign Cat
𐇭 Phaistos Disc Sign Ram
𐇮 Phaistos Disc Sign Eagle
𐇯 Phaistos Disc Sign Dove
𐇰 Phaistos Disc Sign Tunny
𐇱 Phaistos Disc Sign Bee
𐇲 Phaistos Disc Sign Plane Tree
𐇳 Phaistos Disc Sign Vine
𐇴 Phaistos Disc Sign Papyrus
𐇵 Phaistos Disc Sign Rosette
𐇶 Phaistos Disc Sign Lily
𐇷 Phaistos Disc Sign Ox Back
𐇸 Phaistos Disc Sign Flute
𐇹 Phaistos Disc Sign Grater
𐇺 Phaistos Disc Sign Strainer
𐇻 Phaistos Disc Sign Small Axe
𐇼 Phaistos Disc Sign Wavy Band
𐇽 Phaistos Disc Sign Combining Oblique Stroke
