‎𐥀 Sidetic Letter N01
‎𐥁 Sidetic Letter N02
‎𐥂 Sidetic Letter N03
‎𐥃 Sidetic Letter N04
‎𐥄 Sidetic Letter N05
‎𐥅 Sidetic Letter N06
‎𐥆 Sidetic Letter N07
‎𐥇 Sidetic Letter N08
‎𐥈 Sidetic Letter N09
‎𐥉 Sidetic Letter N10
‎𐥊 Sidetic Letter N11
‎𐥋 Sidetic Letter N12
‎𐥌 Sidetic Letter N13
‎𐥍 Sidetic Letter N14
‎𐥎 Sidetic Letter N15
‎𐥏 Sidetic Letter N16
‎𐥐 Sidetic Letter N17
‎𐥑 Sidetic Letter N18
‎𐥒 Sidetic Letter N19
‎𐥓 Sidetic Letter N20
‎𐥔 Sidetic Letter N21
‎𐥕 Sidetic Letter N22
‎𐥖 Sidetic Letter N23
‎𐥗 Sidetic Letter N24
‎𐥘 Sidetic Letter N25
‎𐥙 Sidetic Letter N26
