﹐ Small Comma
﹑ Small Ideographic Comma
﹒ Small Full Stop
﹔ Small Semicolon
﹕ Small Colon
﹖ Small Question Mark
﹗ Small Exclamation Mark
﹘ Small Em Dash
﹙ Small Left Parenthesis
﹚ Small Right Parenthesis
﹛ Small Left Curly Bracket
﹜ Small Right Curly Bracket
﹝ Small Left Tortoise Shell Bracket
﹞ Small Right Tortoise Shell Bracket
﹟ Small Number Sign
﹠ Small Ampersand
﹡ Small Asterisk
﹢ Small Plus Sign
﹣ Small Hyphen-Minus
﹤ Small Less-Than Sign
﹥ Small Greater-Than Sign
﹦ Small Equals Sign
﹨ Small Reverse Solidus
﹩ Small Dollar Sign
﹪ Small Percent Sign
﹫ Small Commercial At
