𑩐 Soyombo Letter A
𑩑 Soyombo Vowel Sign I
𑩒 Soyombo Vowel Sign Ue
𑩓 Soyombo Vowel Sign U
𑩔 Soyombo Vowel Sign E
𑩕 Soyombo Vowel Sign O
𑩖 Soyombo Vowel Sign Oe
𑩗 Soyombo Vowel Sign Ai
𑩘 Soyombo Vowel Sign Au
𑩙 Soyombo Vowel Sign Vocalic R
𑩚 Soyombo Vowel Sign Vocalic L
𑩛 Soyombo Vowel Length Mark
𑩜 Soyombo Letter Ka
𑩝 Soyombo Letter Kha
𑩞 Soyombo Letter Ga
𑩟 Soyombo Letter Gha
𑩠 Soyombo Letter Nga
𑩡 Soyombo Letter Ca
𑩢 Soyombo Letter Cha
𑩣 Soyombo Letter Ja
𑩤 Soyombo Letter Jha
𑩥 Soyombo Letter Nya
𑩦 Soyombo Letter Tta
𑩧 Soyombo Letter Ttha
𑩨 Soyombo Letter Dda
𑩩 Soyombo Letter Ddha
𑩪 Soyombo Letter Nna
𑩫 Soyombo Letter Ta
𑩬 Soyombo Letter Tha
𑩭 Soyombo Letter Da
𑩮 Soyombo Letter Dha
𑩯 Soyombo Letter Na
𑩰 Soyombo Letter Pa
𑩱 Soyombo Letter Pha
𑩲 Soyombo Letter Ba
𑩳 Soyombo Letter Bha
𑩴 Soyombo Letter Ma
𑩵 Soyombo Letter Tsa
𑩶 Soyombo Letter Tsha
𑩷 Soyombo Letter Dza
𑩸 Soyombo Letter Zha
𑩹 Soyombo Letter Za
𑩺 Soyombo Letter -A
𑩻 Soyombo Letter Ya
𑩼 Soyombo Letter Ra
𑩽 Soyombo Letter La
𑩾 Soyombo Letter Va
𑩿 Soyombo Letter Sha
𑪀 Soyombo Letter Ssa
𑪁 Soyombo Letter Sa
𑪂 Soyombo Letter Ha
𑪃 Soyombo Letter Kssa
𑪄 Soyombo Sign Jihvamuliya
𑪅 Soyombo Sign Upadhmaniya
𑪆 Soyombo Cluster-Initial Letter Ra
𑪇 Soyombo Cluster-Initial Letter La
𑪈 Soyombo Cluster-Initial Letter Sha
𑪉 Soyombo Cluster-Initial Letter Sa
𑪊 Soyombo Final Consonant Sign G
𑪋 Soyombo Final Consonant Sign K
𑪌 Soyombo Final Consonant Sign Ng
𑪍 Soyombo Final Consonant Sign D
𑪎 Soyombo Final Consonant Sign N
𑪏 Soyombo Final Consonant Sign B
𑪐 Soyombo Final Consonant Sign M
𑪑 Soyombo Final Consonant Sign R
𑪒 Soyombo Final Consonant Sign L
𑪓 Soyombo Final Consonant Sign Sh
𑪔 Soyombo Final Consonant Sign S
𑪕 Soyombo Final Consonant Sign -A
𑪖 Soyombo Sign Anusvara
𑪗 Soyombo Sign Visarga
𑪘 Soyombo Gemination Mark
𑪙 Soyombo Subjoiner
𑪚 Soyombo Mark Tsheg
𑪛 Soyombo Mark Shad
𑪜 Soyombo Mark Double Shad
𑪝 Soyombo Mark Pluta
𑪞 Soyombo Head Mark With Moon And Sun And Triple Flame
𑪟 Soyombo Head Mark With Moon And Sun And Flame
𑪠 Soyombo Head Mark With Moon And Sun
𑪡 Soyombo Terminal Mark-1
𑪢 Soyombo Terminal Mark-2
