𑯀 Sunuwar Letter Devi
𑯁 Sunuwar Letter Tasla
𑯂 Sunuwar Letter Eko
𑯃 Sunuwar Letter Imar
𑯄 Sunuwar Letter Reu
𑯅 Sunuwar Letter Utthi
𑯆 Sunuwar Letter Kik
𑯇 Sunuwar Letter Ma
𑯈 Sunuwar Letter Appho
𑯉 Sunuwar Letter Pip
𑯊 Sunuwar Letter Gil
𑯋 Sunuwar Letter Hamso
𑯌 Sunuwar Letter Carmi
𑯍 Sunuwar Letter Nah
𑯎 Sunuwar Letter Bur
𑯏 Sunuwar Letter Jyah
𑯐 Sunuwar Letter Loacha
𑯑 Sunuwar Letter Otthi
𑯒 Sunuwar Letter Shyele
𑯓 Sunuwar Letter Varca
𑯔 Sunuwar Letter Yat
𑯕 Sunuwar Letter Ava
𑯖 Sunuwar Letter Aal
𑯗 Sunuwar Letter Donga
𑯘 Sunuwar Letter Thari
𑯙 Sunuwar Letter Phar
𑯚 Sunuwar Letter Ngar
𑯛 Sunuwar Letter Kha
𑯜 Sunuwar Letter Shyer
𑯝 Sunuwar Letter Chelap
𑯞 Sunuwar Letter Tentu
𑯟 Sunuwar Letter Thele
𑯠 Sunuwar Letter Kloko
𑯡 Sunuwar Sign Pvo
𑯰 Sunuwar Digit Zero
𑯱 Sunuwar Digit One
𑯲 Sunuwar Digit Two
𑯳 Sunuwar Digit Three
𑯴 Sunuwar Digit Four
𑯵 Sunuwar Digit Five
𑯶 Sunuwar Digit Six
𑯷 Sunuwar Digit Seven
𑯸 Sunuwar Digit Eight
𑯹 Sunuwar Digit Nine
