𞛀 Tai Yo Letter Low Ko
𞛁 Tai Yo Letter High Ko
𞛂 Tai Yo Letter Low Kho
𞛃 Tai Yo Letter High Kho
𞛄 Tai Yo Letter Go
𞛅 Tai Yo Letter Ngo
𞛆 Tai Yo Letter Co
𞛇 Tai Yo Letter Low Xo
𞛈 Tai Yo Letter High Xo
𞛉 Tai Yo Letter Low Nyo
𞛊 Tai Yo Letter High Nyo
𞛋 Tai Yo Letter Do
𞛌 Tai Yo Letter Low To
𞛍 Tai Yo Letter High To
𞛎 Tai Yo Letter Tho
𞛏 Tai Yo Letter No
𞛐 Tai Yo Letter Bo
𞛑 Tai Yo Letter Low Po
𞛒 Tai Yo Letter High Po
𞛓 Tai Yo Letter Pho
𞛔 Tai Yo Letter Low Fo
𞛕 Tai Yo Letter High Fo
𞛖 Tai Yo Letter Mo
𞛗 Tai Yo Letter Yo
𞛘 Tai Yo Letter Lo
𞛙 Tai Yo Letter Vo
𞛚 Tai Yo Letter Low Ho
𞛛 Tai Yo Letter High Ho
𞛜 Tai Yo Letter Qo
𞛝 Tai Yo Letter Low Kvo
𞛞 Tai Yo Letter High Kvo
𞛠 Tai Yo Letter Aa
𞛡 Tai Yo Letter I
𞛢 Tai Yo Letter Ue
𞛣 Tai Yo Sign Ue
𞛤 Tai Yo Letter U
𞛥 Tai Yo Letter Ae
𞛦 Tai Yo Sign Au
𞛧 Tai Yo Letter O
𞛨 Tai Yo Letter E
𞛩 Tai Yo Letter Ia
𞛪 Tai Yo Letter Uea
𞛫 Tai Yo Letter Ua
𞛬 Tai Yo Letter Oo
𞛭 Tai Yo Letter Aue
𞛮 Tai Yo Sign Ay
𞛯 Tai Yo Sign Ang
𞛰 Tai Yo Letter An
𞛱 Tai Yo Letter Am
𞛲 Tai Yo Letter Ak
𞛳 Tai Yo Letter At
𞛴 Tai Yo Letter Ap
𞛵 Tai Yo Sign Om
𞛾 Tai Yo Symbol Mueang
𞛿 Tai Yo Xam Lai
