𑚀 Takri Letter A
𑚁 Takri Letter Aa
𑚂 Takri Letter I
𑚃 Takri Letter Ii
𑚄 Takri Letter U
𑚅 Takri Letter Uu
𑚆 Takri Letter E
𑚇 Takri Letter Ai
𑚈 Takri Letter O
𑚉 Takri Letter Au
𑚊 Takri Letter Ka
𑚋 Takri Letter Kha
𑚌 Takri Letter Ga
𑚍 Takri Letter Gha
𑚎 Takri Letter Nga
𑚏 Takri Letter Ca
𑚐 Takri Letter Cha
𑚑 Takri Letter Ja
𑚒 Takri Letter Jha
𑚓 Takri Letter Nya
𑚔 Takri Letter Tta
𑚕 Takri Letter Ttha
𑚖 Takri Letter Dda
𑚗 Takri Letter Ddha
𑚘 Takri Letter Nna
𑚙 Takri Letter Ta
𑚚 Takri Letter Tha
𑚛 Takri Letter Da
𑚜 Takri Letter Dha
𑚝 Takri Letter Na
𑚞 Takri Letter Pa
𑚟 Takri Letter Pha
𑚠 Takri Letter Ba
𑚡 Takri Letter Bha
𑚢 Takri Letter Ma
𑚣 Takri Letter Ya
𑚤 Takri Letter Ra
𑚥 Takri Letter La
𑚦 Takri Letter Va
𑚧 Takri Letter Sha
𑚨 Takri Letter Sa
𑚩 Takri Letter Ha
𑚪 Takri Letter Rra
𑚫 Takri Sign Anusvara
𑚬 Takri Sign Visarga
𑚭 Takri Vowel Sign Aa
𑚮 Takri Vowel Sign I
𑚯 Takri Vowel Sign Ii
𑚰 Takri Vowel Sign U
𑚱 Takri Vowel Sign Uu
𑚲 Takri Vowel Sign E
𑚳 Takri Vowel Sign Ai
𑚴 Takri Vowel Sign O
𑚵 Takri Vowel Sign Au
𑚶 Takri Sign Virama
𑚷 Takri Sign Nukta
𑚸 Takri Letter Archaic Kha
𑚹 Takri Abbreviation Sign
𑛀 Takri Digit Zero
𑛁 Takri Digit One
𑛂 Takri Digit Two
𑛃 Takri Digit Three
𑛄 Takri Digit Four
𑛅 Takri Digit Five
𑛆 Takri Digit Six
𑛇 Takri Digit Seven
𑛈 Takri Digit Eight
𑛉 Takri Digit Nine
