𖩰 Tangsa Letter Oz
𖩱 Tangsa Letter Oc
𖩲 Tangsa Letter Oq
𖩳 Tangsa Letter Ox
𖩴 Tangsa Letter Az
𖩵 Tangsa Letter Ac
𖩶 Tangsa Letter Aq
𖩷 Tangsa Letter Ax
𖩸 Tangsa Letter Vz
𖩹 Tangsa Letter Vc
𖩺 Tangsa Letter Vq
𖩻 Tangsa Letter Vx
𖩼 Tangsa Letter Ez
𖩽 Tangsa Letter Ec
𖩾 Tangsa Letter Eq
𖩿 Tangsa Letter Ex
𖪀 Tangsa Letter Iz
𖪁 Tangsa Letter Ic
𖪂 Tangsa Letter Iq
𖪃 Tangsa Letter Ix
𖪄 Tangsa Letter Uz
𖪅 Tangsa Letter Uc
𖪆 Tangsa Letter Uq
𖪇 Tangsa Letter Ux
𖪈 Tangsa Letter Awz
𖪉 Tangsa Letter Awc
𖪊 Tangsa Letter Awq
𖪋 Tangsa Letter Awx
𖪌 Tangsa Letter Uiz
𖪍 Tangsa Letter Uic
𖪎 Tangsa Letter Uiq
𖪏 Tangsa Letter Uix
𖪐 Tangsa Letter Final Ng
𖪑 Tangsa Letter Long Uex
𖪒 Tangsa Letter Short Uez
𖪓 Tangsa Letter Short Awx
𖪔 Tangsa Letter Uec
𖪕 Tangsa Letter Uez
𖪖 Tangsa Letter Ueq
𖪗 Tangsa Letter Uex
𖪘 Tangsa Letter Uiuz
𖪙 Tangsa Letter Uiuc
𖪚 Tangsa Letter Uiuq
𖪛 Tangsa Letter Uiux
𖪜 Tangsa Letter Mz
𖪝 Tangsa Letter Mc
𖪞 Tangsa Letter Mq
𖪟 Tangsa Letter Mx
𖪠 Tangsa Letter Ka
𖪡 Tangsa Letter Kha
𖪢 Tangsa Letter Ga
𖪣 Tangsa Letter Nga
𖪤 Tangsa Letter Sa
𖪥 Tangsa Letter Ya
𖪦 Tangsa Letter Wa
𖪧 Tangsa Letter Pa
𖪨 Tangsa Letter Nya
𖪩 Tangsa Letter Pha
𖪪 Tangsa Letter Ba
𖪫 Tangsa Letter Ma
𖪬 Tangsa Letter Na
𖪭 Tangsa Letter Ha
𖪮 Tangsa Letter La
𖪯 Tangsa Letter Hta
𖪰 Tangsa Letter Ta
𖪱 Tangsa Letter Da
𖪲 Tangsa Letter Ra
𖪳 Tangsa Letter Nha
𖪴 Tangsa Letter Sha
𖪵 Tangsa Letter Ca
𖪶 Tangsa Letter Tsa
𖪷 Tangsa Letter Gha
𖪸 Tangsa Letter Htta
𖪹 Tangsa Letter Tha
𖪺 Tangsa Letter Xa
𖪻 Tangsa Letter Fa
𖪼 Tangsa Letter Dha
𖪽 Tangsa Letter Cha
𖪾 Tangsa Letter Za
𖫀 Tangsa Digit Zero
𖫁 Tangsa Digit One
𖫂 Tangsa Digit Two
𖫃 Tangsa Digit Three
𖫄 Tangsa Digit Four
𖫅 Tangsa Digit Five
𖫆 Tangsa Digit Six
𖫇 Tangsa Digit Seven
𖫈 Tangsa Digit Eight
𖫉 Tangsa Digit Nine
