𘶀 Tangut Component-769
𘶁 Tangut Component-770
𘶂 Tangut Component-771
𘶃 Tangut Component-772
𘶄 Tangut Component-773
𘶅 Tangut Component-774
𘶆 Tangut Component-775
𘶇 Tangut Component-776
𘶈 Tangut Component-777
𘶉 Tangut Component-778
𘶊 Tangut Component-779
𘶋 Tangut Component-780
𘶌 Tangut Component-781
𘶍 Tangut Component-782
𘶎 Tangut Component-783
𘶏 Tangut Component-784
𘶐 Tangut Component-785
𘶑 Tangut Component-786
𘶒 Tangut Component-787
𘶓 Tangut Component-788
𘶔 Tangut Component-789
𘶕 Tangut Component-790
𘶖 Tangut Component-791
𘶗 Tangut Component-792
𘶘 Tangut Component-793
𘶙 Tangut Component-794
𘶚 Tangut Component-795
𘶛 Tangut Component-796
𘶜 Tangut Component-797
𘶝 Tangut Component-798
𘶞 Tangut Component-799
𘶟 Tangut Component-800
𘶠 Tangut Component-801
𘶡 Tangut Component-802
𘶢 Tangut Component-803
𘶣 Tangut Component-804
𘶤 Tangut Component-805
𘶥 Tangut Component-806
𘶦 Tangut Component-807
𘶧 Tangut Component-808
𘶨 Tangut Component-809
𘶩 Tangut Component-810
𘶪 Tangut Component-811
𘶫 Tangut Component-812
𘶬 Tangut Component-813
𘶭 Tangut Component-814
𘶮 Tangut Component-815
𘶯 Tangut Component-816
𘶰 Tangut Component-817
𘶱 Tangut Component-818
𘶲 Tangut Component-819
𘶳 Tangut Component-820
𘶴 Tangut Component-821
𘶵 Tangut Component-822
𘶶 Tangut Component-823
𘶷 Tangut Component-824
𘶸 Tangut Component-825
𘶹 Tangut Component-826
𘶺 Tangut Component-827
𘶻 Tangut Component-828
𘶼 Tangut Component-829
𘶽 Tangut Component-830
𘶾 Tangut Component-831
𘶿 Tangut Component-832
𘷀 Tangut Component-833
𘷁 Tangut Component-834
𘷂 Tangut Component-835
𘷃 Tangut Component-836
𘷄 Tangut Component-837
𘷅 Tangut Component-838
𘷆 Tangut Component-839
𘷇 Tangut Component-840
𘷈 Tangut Component-841
𘷉 Tangut Component-842
𘷊 Tangut Component-843
𘷋 Tangut Component-844
𘷌 Tangut Component-845
𘷍 Tangut Component-846
𘷎 Tangut Component-847
𘷏 Tangut Component-848
𘷐 Tangut Component-849
𘷑 Tangut Component-850
𘷒 Tangut Component-851
𘷓 Tangut Component-852
𘷔 Tangut Component-853
𘷕 Tangut Component-854
𘷖 Tangut Component-855
𘷗 Tangut Component-856
𘷘 Tangut Component-857
𘷙 Tangut Component-858
𘷚 Tangut Component-859
𘷛 Tangut Component-860
𘷜 Tangut Component-861
𘷝 Tangut Component-862
𘷞 Tangut Component-863
𘷟 Tangut Component-864
𘷠 Tangut Component-865
𘷡 Tangut Component-866
𘷢 Tangut Component-867
𘷣 Tangut Component-868
𘷤 Tangut Component-869
𘷥 Tangut Component-870
𘷦 Tangut Component-871
𘷧 Tangut Component-872
𘷨 Tangut Component-873
𘷩 Tangut Component-874
𘷪 Tangut Component-875
𘷫 Tangut Component-876
𘷬 Tangut Component-877
𘷭 Tangut Component-878
𘷮 Tangut Component-879
𘷯 Tangut Component-880
𘷰 Tangut Component-881
𘷱 Tangut Component-882
𘷲 Tangut Component-883
