౷ Telugu Sign Siddham
౿ Telugu Sign Tuumu
ఀ Telugu Sign Combining Candrabindu Above
ఁ Telugu Sign Candrabindu
ం Telugu Sign Anusvara
ఄ Telugu Sign Combining Anusvara Above
ః Telugu Sign Visarga
౦ Telugu Digit Zero
౸ Telugu Fraction Digit Zero For Odd Powers Of Four
౧ Telugu Digit One
౹ Telugu Fraction Digit One For Odd Powers Of Four
౼ Telugu Fraction Digit One For Even Powers Of Four
౨ Telugu Digit Two
౺ Telugu Fraction Digit Two For Odd Powers Of Four
౽ Telugu Fraction Digit Two For Even Powers Of Four
౩ Telugu Digit Three
౻ Telugu Fraction Digit Three For Odd Powers Of Four
౾ Telugu Fraction Digit Three For Even Powers Of Four
౪ Telugu Digit Four
౫ Telugu Digit Five
౬ Telugu Digit Six
౭ Telugu Digit Seven
౮ Telugu Digit Eight
౯ Telugu Digit Nine
అ Telugu Letter A
ఆ Telugu Letter Aa
ఇ Telugu Letter I
ఈ Telugu Letter Ii
ఉ Telugu Letter U
ఊ Telugu Letter Uu
ఋ Telugu Letter Vocalic R
ౠ Telugu Letter Vocalic Rr
ఌ Telugu Letter Vocalic L
ౡ Telugu Letter Vocalic Ll
ఎ Telugu Letter E
ఏ Telugu Letter Ee
ఐ Telugu Letter Ai
ఒ Telugu Letter O
ఓ Telugu Letter Oo
ఔ Telugu Letter Au
క Telugu Letter Ka
ఖ Telugu Letter Kha
గ Telugu Letter Ga
ఘ Telugu Letter Gha
ఙ Telugu Letter Nga
చ Telugu Letter Ca
ౘ Telugu Letter Tsa
ఛ Telugu Letter Cha
జ Telugu Letter Ja
ౙ Telugu Letter Dza
ఝ Telugu Letter Jha
ఞ Telugu Letter Nya
ట Telugu Letter Tta
ఠ Telugu Letter Ttha
డ Telugu Letter Dda
ఢ Telugu Letter Ddha
ణ Telugu Letter Nna
త Telugu Letter Ta
థ Telugu Letter Tha
ద Telugu Letter Da
ధ Telugu Letter Dha
న Telugu Letter Na
ప Telugu Letter Pa
ఫ Telugu Letter Pha
బ Telugu Letter Ba
భ Telugu Letter Bha
మ Telugu Letter Ma
య Telugu Letter Ya
ర Telugu Letter Ra
ఱ Telugu Letter Rra
ల Telugu Letter La
వ Telugu Letter Va
శ Telugu Letter Sha
ష Telugu Letter Ssa
స Telugu Letter Sa
హ Telugu Letter Ha
ళ Telugu Letter Lla
ఴ Telugu Letter Llla
ౚ Telugu Letter Rrra
ఽ Telugu Sign Avagraha
ా Telugu Vowel Sign Aa
ి Telugu Vowel Sign I
ీ Telugu Vowel Sign Ii
ు Telugu Vowel Sign U
ూ Telugu Vowel Sign Uu
ృ Telugu Vowel Sign Vocalic R
ౄ Telugu Vowel Sign Vocalic Rr
ౢ Telugu Vowel Sign Vocalic L
ౣ Telugu Vowel Sign Vocalic Ll
ె Telugu Vowel Sign E
ే Telugu Vowel Sign Ee
ై Telugu Vowel Sign Ai
ై Telugu Vowel Sign Ai
ొ Telugu Vowel Sign O
ో Telugu Vowel Sign Oo
ౌ Telugu Vowel Sign Au
్ Telugu Sign Virama
ౕ Telugu Length Mark
ౖ Telugu Ai Length Mark
