‎ހ Thaana Letter Haa
‎ށ Thaana Letter Shaviyani
‎ނ Thaana Letter Noonu
‎ރ Thaana Letter Raa
‎ބ Thaana Letter Baa
‎ޅ Thaana Letter Lhaviyani
‎ކ Thaana Letter Kaafu
‎އ Thaana Letter Alifu
‎ވ Thaana Letter Vaavu
‎މ Thaana Letter Meemu
‎ފ Thaana Letter Faafu
‎ދ Thaana Letter Dhaalu
‎ތ Thaana Letter Thaa
‎ލ Thaana Letter Laamu
‎ގ Thaana Letter Gaafu
‎ޏ Thaana Letter Gnaviyani
‎ސ Thaana Letter Seenu
‎ޑ Thaana Letter Daviyani
‎ޒ Thaana Letter Zaviyani
‎ޓ Thaana Letter Taviyani
‎ޔ Thaana Letter Yaa
‎ޕ Thaana Letter Paviyani
‎ޖ Thaana Letter Javiyani
‎ޗ Thaana Letter Chaviyani
‎ޘ Thaana Letter Ttaa
‎ޙ Thaana Letter Hhaa
‎ޚ Thaana Letter Khaa
‎ޛ Thaana Letter Thaalu
‎ޜ Thaana Letter Zaa
‎ޝ Thaana Letter Sheenu
‎ޞ Thaana Letter Saadhu
‎ޟ Thaana Letter Daadhu
‎ޠ Thaana Letter To
‎ޡ Thaana Letter Zo
‎ޢ Thaana Letter Ainu
‎ޣ Thaana Letter Ghainu
‎ޤ Thaana Letter Qaafu
‎ޥ Thaana Letter Waavu
ަ Thaana Abafili
ާ Thaana Aabaafili
ި Thaana Ibifili
ީ Thaana Eebeefili
ު Thaana Ubufili
ޫ Thaana Ooboofili
ެ Thaana Ebefili
ޭ Thaana Eybeyfili
ޮ Thaana Obofili
ޯ Thaana Oaboafili
ް Thaana Sukun
‎ޱ Thaana Letter Naa
